Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-04-03 09:15:00,422.0,424.0,415.5,416.25,849952,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,9,15
2019-04-03 09:20:00,416.2,417.1,413.7,415.75,482351,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,9,20
2019-04-03 09:25:00,415.75,416.3,411.4,413.4,425418,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,Entry,Sell,413.4,406.9934,424.0,9,25
2019-04-03 09:30:00,413.6,416.65,413.4,416.65,346120,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,9,30
2019-04-03 09:35:00,416.8,419.2,416.05,416.25,455675,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,9,35
2019-04-03 09:40:00,416.25,416.55,414.0,414.85,189133,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,9,40
2019-04-03 09:45:00,414.85,415.0,412.55,412.85,177124,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,9,45
2019-04-03 09:50:00,412.75,413.5,410.7,410.85,373254,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,9,50
2019-04-03 09:55:00,410.9,413.5,410.9,413.35,239540,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,Exit,Buy,411.7464,417.34639999999996,410.7,9,55
2019-04-03 10:00:00,413.35,414.3,412.0,412.0,136043,2019-04-03,2019,403.59999999999997,387.65,434.9,450.25,434.3,403.0,419.8,419.55,418.95,406.9934,399.60659999999996,430.90659999999997,438.2934,356.34999999999997,481.55,,,0.0,0.0,0.0,10,0
