Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,40,84,83200
ASIANPAINT,60417,600,34,58,8800
AXISBANK,1510401,1200,44,67,39400
BAJAJ-AUTO,4267265,250,-40,82,-26400
BAJFINANCE,81153,250,267,93,48150
BAJAJFINSV,4268801,125,903,88,95275
BPCL,134657,1800,-6,68,-24400
BHARTIARTL,2714625,1851,6,64,-1694
INFRATEL,7458561,2000,30,100,40000
BRITANNIA,140033,200,320,75,49000
CIPLA,177665,1000,33,69,19200
COALINDIA,5215745,2200,14,66,17600
DRREDDY,225537,250,57,71,50
EICHERMOT,232961,25,569,60,2225
GAIL,1207553,5334,14,91,56476
GRASIM,315393,750,153,100,94750
HCLTECH,1850625,700,69,71,34100
HDFCBANK,341249,250,-95,48,-33350
HEROMOTOCO,345089,200,86,73,2600
HINDALCO,348929,3500,22,65,64000
HINDUNILVR,356865,300,63,79,3100
HDFC,340481,500,125,81,46300
ICICIBANK,1270529,1375,13,100,-2125
ITC,424961,2400,17,60,28800
IBULHSGFIN,7712001,800,135,89,90200
IOC,415745,3500,5,85,500
INDUSINDBK,1346049,400,63,92,6800
INFY,408065,1200,5,64,-6800
JSWSTEEL,3001089,2000,27,100,34000
KOTAKBANK,492033,400,104,89,23800
LT,2939649,375,97,99,16575
M&M,519937,1000,10,65,-3000
MARUTI,2815745,75,753,80,40475
NTPC,2977281,4800,5,58,12400
ONGC,633601,3750,11,89,23450
POWERGRID,3834113,4000,10,71,25800
RELIANCE,738561,500,80,79,24200
SBIN,779521,3000,34,107,80600
SUNPHARMA,857857,1100,28,107,9400
TCS,2953217,250,154,70,24500
TATAMOTORS,884737,3000,8,109,2200
TATASTEEL,895745,1061,53,100,36233
TECHM,3465729,1200,45,95,35000
TITAN,897537,750,60,89,27200
UPL,2889473,900,-10,60,-21000
ULTRACEMCO,2952193,200,260,99,32200
VEDL,784129,3000,1,70,-11000
WIPRO,969473,3200,-2,83,-23000
YESBANK,3050241,2200,36,78,63600
ZEEL,975873,1300,52,79,51800
