Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,23,59,45700
ASIANPAINT,60417,600,49,60,17400
AXISBANK,1510401,1200,6,63,-5400
BAJAJ-AUTO,4267265,250,45,42,2850
BAJFINANCE,81153,250,380,73,80400
BAJAJFINSV,4268801,125,-282,48,-44850
BPCL,134657,1800,23,63,28800
BHARTIARTL,2714625,1851,47,82,70597
INFRATEL,7458561,2000,25,55,39000
BRITANNIA,140033,200,111,54,11400
CIPLA,177665,1000,32,45,23000
COALINDIA,5215745,2200,8,56,6400
DRREDDY,225537,250,169,58,30650
EICHERMOT,232961,25,2444,43,52500
GAIL,1207553,5334,5,49,16870
GRASIM,315393,750,56,42,33600
HCLTECH,1850625,700,92,53,53800
HDFCBANK,341249,250,228,56,45800
HEROMOTOCO,345089,200,221,53,33600
HINDALCO,348929,3500,-4,62,-26400
HINDUNILVR,356865,300,25,37,100
HDFC,340481,500,105,61,40300
ICICIBANK,1270529,1375,-6,72,-22650
ITC,424961,2400,6,56,3200
IBULHSGFIN,7712001,800,107,68,72000
IOC,415745,3500,21,63,60900
INDUSINDBK,1346049,400,119,60,35600
INFY,408065,1200,24,35,21800
JSWSTEEL,3001089,2000,26,89,34200
KOTAKBANK,492033,400,-7,51,-13000
LT,2939649,375,13,43,-3725
M&M,519937,1000,6,70,-8000
MARUTI,2815745,75,575,58,31525
NTPC,2977281,4800,18,51,76200
ONGC,633601,3750,7,48,16650
POWERGRID,3834113,4000,15,67,46600
RELIANCE,738561,500,69,76,19300
SBIN,779521,3000,13,85,22000
SUNPHARMA,857857,1100,3,75,-11700
TCS,2953217,250,133,42,24850
TATAMOTORS,884737,3000,0,38,-7600
TATASTEEL,895745,1061,42,83,27962
TECHM,3465729,1200,46,66,42000
TITAN,897537,750,47,56,24050
UPL,2889473,900,20,58,6400
ULTRACEMCO,2952193,200,116,53,12600
VEDL,784129,3000,0,67,-13400
WIPRO,969473,3200,8,65,12600
YESBANK,3050241,2200,24,48,43200
ZEEL,975873,1300,32,71,27400
