Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,43,78,91900
ASIANPAINT,60417,600,223,86,116600
AXISBANK,1510401,1200,60,100,52000
BAJAJ-AUTO,4267265,250,317,60,67250
BAJFINANCE,81153,250,108,52,16600
BAJAJFINSV,4268801,125,1097,89,119325
BPCL,134657,1800,58,64,91600
BHARTIARTL,2714625,1851,37,63,55887
INFRATEL,7458561,2000,16,45,23000
BRITANNIA,140033,200,159,51,21600
CIPLA,177665,1000,44,91,25800
COALINDIA,5215745,2200,18,72,25200
DRREDDY,225537,250,117,65,16250
EICHERMOT,232961,25,-253,65,-19325
GAIL,1207553,5334,13,76,54142
GRASIM,315393,750,138,74,88700
HCLTECH,1850625,700,17,69,-1900
HDFCBANK,341249,250,47,73,-2850
HEROMOTOCO,345089,200,40,80,-8000
HINDALCO,348929,3500,27,98,74900
HINDUNILVR,356865,300,-10,90,-21000
HDFC,340481,500,-3,78,-17100
ICICIBANK,1270529,1375,35,93,29525
ITC,424961,2400,-12,81,-45000
IBULHSGFIN,7712001,800,111,90,70800
IOC,415745,3500,13,113,22900
INDUSINDBK,1346049,400,296,82,102000
INFY,408065,1200,34,57,29400
JSWSTEEL,3001089,2000,17,111,11800
KOTAKBANK,492033,400,12,93,-13800
LT,2939649,375,103,110,16625
M&M,519937,1000,20,98,400
MARUTI,2815745,75,-30,48,-11850
NTPC,2977281,4800,-2,71,-23800
ONGC,633601,3750,10,59,25700
POWERGRID,3834113,4000,16,68,50400
RELIANCE,738561,500,54,80,11000
SBIN,779521,3000,29,97,67600
SUNPHARMA,857857,1100,69,89,58100
TCS,2953217,250,318,88,61900
TATAMOTORS,884737,3000,32,98,76400
TATASTEEL,895745,1061,-22,94,-42142
TECHM,3465729,1200,61,72,58800
TITAN,897537,750,140,89,87200
UPL,2889473,900,55,97,30100
ULTRACEMCO,2952193,200,219,58,32200
VEDL,784129,3000,19,71,42800
WIPRO,969473,3200,2,57,-5000
YESBANK,3050241,2200,46,75,86200
ZEEL,975873,1300,113,91,128700
