Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,13,40,24500
ASIANPAINT,60417,600,56,31,27400
AXISBANK,1510401,1200,-36,44,-52000
BAJAJ-AUTO,4267265,250,-35,33,-15350
BAJFINANCE,81153,250,-168,34,-48800
BAJAJFINSV,4268801,125,15,38,-5725
BPCL,134657,1800,-43,45,-86400
BHARTIARTL,2714625,1851,5,37,1855
INFRATEL,7458561,2000,25,40,42000
BRITANNIA,140033,200,-265,27,-58400
CIPLA,177665,1000,-21,36,-28200
COALINDIA,5215745,2200,8,37,10200
DRREDDY,225537,250,146,27,31100
EICHERMOT,232961,25,61,37,-5875
GAIL,1207553,5334,1,48,-4266
GRASIM,315393,750,-4,36,-10200
HCLTECH,1850625,700,-70,39,-56800
HDFCBANK,341249,250,13,36,-3950
HEROMOTOCO,345089,200,-31,29,-12000
HINDALCO,348929,3500,-3,39,-18300
HINDUNILVR,356865,300,23,34,100
HDFC,340481,500,-137,36,-75700
ICICIBANK,1270529,1375,36,31,43300
ITC,424961,2400,5,35,5000
IBULHSGFIN,7712001,800,-33,49,-36200
IOC,415745,3500,4,33,7400
INDUSINDBK,1346049,400,68,34,20400
INFY,408065,1200,17,26,15200
JSWSTEEL,3001089,2000,-20,42,-48400
KOTAKBANK,492033,400,45,30,12000
LT,2939649,375,4,31,-4700
M&M,519937,1000,11,40,3000
MARUTI,2815745,75,351,32,19925
NTPC,2977281,4800,-5,34,-30800
ONGC,633601,3750,-2,37,-14900
POWERGRID,3834113,4000,-4,33,-22600
RELIANCE,738561,500,85,32,36100
SBIN,779521,3000,-3,37,-16400
SUNPHARMA,857857,1100,27,38,22100
TCS,2953217,250,-45,39,-19050
TATAMOTORS,884737,3000,5,48,5400
TATASTEEL,895745,1061,-18,44,-27898
TECHM,3465729,1200,-24,29,-34600
TITAN,897537,750,-95,25,-76250
UPL,2889473,900,-23,36,-27900
ULTRACEMCO,2952193,200,131,31,20000
VEDL,784129,3000,-7,46,-30200
WIPRO,969473,3200,-5,27,-21400
YESBANK,3050241,2200,-6,43,-21800
ZEEL,975873,1300,27,32,28700
