Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,12,21,25800
ASIANPAINT,60417,600,21,33,6000
AXISBANK,1510401,1200,-11,34,-20000
BAJAJ-AUTO,4267265,250,22,24,700
BAJFINANCE,81153,250,67,42,8350
BAJAJFINSV,4268801,125,418,37,44850
BPCL,134657,1800,-3,34,-12200
BHARTIARTL,2714625,1851,-22,37,-48122
INFRATEL,7458561,2000,7,26,8800
BRITANNIA,140033,200,161,36,25000
CIPLA,177665,1000,14,24,9200
COALINDIA,5215745,2200,-1,28,-7800
DRREDDY,225537,250,89,28,16650
EICHERMOT,232961,25,-443,34,-17875
GAIL,1207553,5334,-6,37,-39404
GRASIM,315393,750,24,29,12200
HCLTECH,1850625,700,-17,31,-18100
HDFCBANK,341249,250,45,39,3450
HEROMOTOCO,345089,200,114,34,16000
HINDALCO,348929,3500,-11,38,-46100
HINDUNILVR,356865,300,-187,33,-62700
HDFC,340481,500,-97,33,-55100
ICICIBANK,1270529,1375,32,41,35800
ITC,424961,2400,10,38,16400
IBULHSGFIN,7712001,800,22,32,11200
IOC,415745,3500,4,30,8000
INDUSINDBK,1346049,400,-29,33,-18200
INFY,408065,1200,39,21,42600
JSWSTEEL,3001089,2000,14,44,19200
KOTAKBANK,492033,400,29,44,2800
LT,2939649,375,3,34,-5675
M&M,519937,1000,19,43,10400
MARUTI,2815745,75,215,22,11725
NTPC,2977281,4800,4,25,14200
ONGC,633601,3750,5,33,12150
POWERGRID,3834113,4000,11,31,37800
RELIANCE,738561,500,17,35,1500
SBIN,779521,3000,28,46,74800
SUNPHARMA,857857,1100,-29,36,-39100
TCS,2953217,250,69,37,9850
TATAMOTORS,884737,3000,-24,45,-81000
TATASTEEL,895745,1061,8,43,-112
TECHM,3465729,1200,14,32,10400
TITAN,897537,750,75,29,50450
UPL,2889473,900,-5,39,-12300
ULTRACEMCO,2952193,200,-272,35,-61400
VEDL,784129,3000,-11,36,-40200
WIPRO,969473,3200,4,21,8600
YESBANK,3050241,2200,3,33,0
ZEEL,975873,1300,2,39,-5200
