Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,31,29,71700
ASIANPAINT,60417,600,-109,30,-71400
AXISBANK,1510401,1200,-11,34,-20000
BAJAJ-AUTO,4267265,250,-147,31,-42950
BAJFINANCE,81153,250,121,33,23650
BAJAJFINSV,4268801,125,339,30,36375
BPCL,134657,1800,18,30,26400
BHARTIARTL,2714625,1851,8,30,8808
INFRATEL,7458561,2000,-11,36,-29200
BRITANNIA,140033,200,-3,32,-7000
CIPLA,177665,1000,-20,34,-26800
COALINDIA,5215745,2200,7,30,9400
DRREDDY,225537,250,132,23,28400
EICHERMOT,232961,25,1213,37,22925
GAIL,1207553,5334,-7,38,-44938
GRASIM,315393,750,-40,40,-38000
HCLTECH,1850625,700,56,25,34200
HDFCBANK,341249,250,-32,42,-16400
HEROMOTOCO,345089,200,133,37,19200
HINDALCO,348929,3500,-2,35,-14000
HINDUNILVR,356865,300,65,35,12500
HDFC,340481,500,-11,37,-12900
ICICIBANK,1270529,1375,33,38,37775
ITC,424961,2400,8,37,11800
IBULHSGFIN,7712001,800,0,48,-9600
IOC,415745,3500,0,34,-6800
INDUSINDBK,1346049,400,46,24,13600
INFY,408065,1200,34,32,34400
JSWSTEEL,3001089,2000,-11,39,-29800
KOTAKBANK,492033,400,59,36,16400
LT,2939649,375,-49,42,-26775
M&M,519937,1000,46,53,35400
MARUTI,2815745,75,-196,42,-23100
NTPC,2977281,4800,5,36,16800
ONGC,633601,3750,-2,30,-13500
POWERGRID,3834113,4000,15,36,52800
RELIANCE,738561,500,-48,30,-30000
SBIN,779521,3000,-13,39,-46800
SUNPHARMA,857857,1100,-17,39,-26500
TCS,2953217,250,75,35,11750
TATAMOTORS,884737,3000,9,48,17400
TATASTEEL,895745,1061,2,51,-8078
TECHM,3465729,1200,5,40,-2000
TITAN,897537,750,-32,28,-29600
UPL,2889473,900,-25,33,-29100
ULTRACEMCO,2952193,200,87,26,12200
VEDL,784129,3000,10,36,22800
WIPRO,969473,3200,0,34,-6800
YESBANK,3050241,2200,5,50,1000
ZEEL,975873,1300,-23,40,-37900
