Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-08-05 09:15:00,178.0,178.0,175.45,175.8,296052,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,9,15
2019-08-05 09:20:00,175.7,175.7,174.8,175.2,176558,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,Entry,Sell,175.2,173.54999999999998,178.0,9,20
2019-08-05 09:25:00,175.3,175.45,173.85,173.9,236144,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,9,25
2019-08-05 09:30:00,173.95,174.8,173.4,173.4,182896,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,Exit,Buy,174.4992,176.92209999999997,173.85,9,30
2019-08-05 09:35:00,173.4,173.95,173.15,173.35,114704,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,Exit,Sell,173.85,168.09999999999997,178.0,9,35
2019-08-05 09:40:00,173.25,173.55,172.5,172.65,442155,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,9,40
2019-08-05 09:45:00,172.6,173.15,172.5,172.9,160422,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,9,45
2019-08-05 09:50:00,172.75,173.45,172.4,173.3,202222,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,Exit,Buy,173.1546,175.67749999999995,172.5,9,50
2019-08-05 09:55:00,173.25,173.85,173.15,173.55,175659,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,9,55
2019-08-05 10:00:00,173.65,173.65,172.55,172.7,111996,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,10,0
2019-08-05 10:05:00,172.65,173.7,172.45,173.55,246007,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,Exit,Sell,172.5,166.54999999999995,178.0,10,5
2019-08-05 10:10:00,173.55,173.9,173.4,173.7,114883,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,10,10
2019-08-05 10:15:00,173.65,173.95,173.5,173.65,108709,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,10,15
2019-08-05 10:20:00,173.75,174.25,173.7,173.8,138019,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,10,20
2019-08-05 10:25:00,173.7,174.0,173.35,173.4,49747,2019-08-05,2019,176.7,173.54999999999998,182.65,185.45000000000002,182.3,176.35,179.8,179.85,179.5,177.2271,175.82289999999998,181.7729,183.17710000000002,167.59999999999997,191.40000000000003,,,0.0,0.0,0.0,10,25
