Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,-11,56,-38700
ASIANPAINT,60417,600,-127,31,-82400
AXISBANK,1510401,1200,25,45,21000
BAJAJ-AUTO,4267265,250,-348,53,-97600
BAJFINANCE,81153,250,45,52,850
BAJAJFINSV,4268801,125,414,49,41950
BPCL,134657,1800,43,71,63200
BHARTIARTL,2714625,1851,0,45,-9000
INFRATEL,7458561,2000,6,27,6600
BRITANNIA,140033,200,-67,35,-20400
CIPLA,177665,1000,10,50,0
COALINDIA,5215745,2200,4,75,-6200
DRREDDY,225537,250,49,39,4450
EICHERMOT,232961,25,1239,46,21775
GAIL,1207553,5334,-2,73,-25268
GRASIM,315393,750,100,74,60200
HCLTECH,1850625,700,66,44,37400
HDFCBANK,341249,250,-48,54,-22800
HEROMOTOCO,345089,200,-20,46,-13200
HINDALCO,348929,3500,12,69,28200
HINDUNILVR,356865,300,66,47,10400
HDFC,340481,500,-25,66,-25700
ICICIBANK,1270529,1375,-6,67,-21650
ITC,424961,2400,22,56,41600
IBULHSGFIN,7712001,800,153,86,105200
IOC,415745,3500,0,66,-13200
INDUSINDBK,1346049,400,138,66,42000
INFY,408065,1200,-46,35,-62200
JSWSTEEL,3001089,2000,23,79,30200
KOTAKBANK,492033,400,-57,62,-35200
LT,2939649,375,57,58,9775
M&M,519937,1000,53,72,38600
MARUTI,2815745,75,648,50,38600
NTPC,2977281,4800,2,64,-3200
ONGC,633601,3750,0,75,-15000
POWERGRID,3834113,4000,13,50,42000
RELIANCE,738561,500,50,55,14000
SBIN,779521,3000,21,76,47800
SUNPHARMA,857857,1100,8,51,-1400
TCS,2953217,250,-2,41,-8700
TATAMOTORS,884737,3000,13,73,24400
TATASTEEL,895745,1061,50,84,36250
TECHM,3465729,1200,36,49,33400
TITAN,897537,750,-4,59,-14800
UPL,2889473,900,30,70,13000
ULTRACEMCO,2952193,200,103,63,8000
VEDL,784129,3000,6,65,5000
WIPRO,969473,3200,-4,42,-21200
YESBANK,3050241,2200,18,65,26600
ZEEL,975873,1300,29,60,25700
