Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,23,51,47300
ASIANPAINT,60417,600,35,52,10600
AXISBANK,1510401,1200,36,49,33400
BAJAJ-AUTO,4267265,250,-64,65,-29000
BAJFINANCE,81153,250,-27,59,-18550
BAJAJFINSV,4268801,125,434,57,42850
BPCL,134657,1800,-20,44,-44800
BHARTIARTL,2714625,1851,-19,50,-45169
INFRATEL,7458561,2000,20,75,25000
BRITANNIA,140033,200,182,47,27000
CIPLA,177665,1000,17,53,6400
COALINDIA,5215745,2200,8,53,7000
DRREDDY,225537,250,-50,47,-21900
EICHERMOT,232961,25,-654,52,-26750
GAIL,1207553,5334,-1,60,-17334
GRASIM,315393,750,127,73,80650
HCLTECH,1850625,700,8,47,-3800
HDFCBANK,341249,250,-12,43,-11600
HEROMOTOCO,345089,200,60,58,400
HINDALCO,348929,3500,16,48,46400
HINDUNILVR,356865,300,33,58,-1700
HDFC,340481,500,106,60,41000
ICICIBANK,1270529,1375,-6,52,-18650
ITC,424961,2400,18,43,34600
IBULHSGFIN,7712001,800,47,68,24000
IOC,415745,3500,1,65,-9500
INDUSINDBK,1346049,400,61,71,10200
INFY,408065,1200,-14,45,-25800
JSWSTEEL,3001089,2000,13,66,12800
KOTAKBANK,492033,400,36,74,-400
LT,2939649,375,26,62,-2650
M&M,519937,1000,1,47,-8400
MARUTI,2815745,75,345,58,14275
NTPC,2977281,4800,3,36,7200
ONGC,633601,3750,4,49,5200
POWERGRID,3834113,4000,6,52,13600
RELIANCE,738561,500,48,53,13400
SBIN,779521,3000,19,56,45800
SUNPHARMA,857857,1100,-7,71,-21900
TCS,2953217,250,100,52,14600
TATAMOTORS,884737,3000,-1,62,-15400
TATASTEEL,895745,1061,6,69,-7434
TECHM,3465729,1200,3,53,-7000
TITAN,897537,750,2,58,-10100
UPL,2889473,900,-35,54,-42300
ULTRACEMCO,2952193,200,27,49,-4400
VEDL,784129,3000,-14,61,-54200
WIPRO,969473,3200,-10,66,-45200
YESBANK,3050241,2200,29,51,53600
ZEEL,975873,1300,22,53,18000
