Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,19,71,33300
ASIANPAINT,60417,600,-19,79,-27200
AXISBANK,1510401,1200,75,40,82000
BAJAJ-AUTO,4267265,250,-16,50,-14000
BAJFINANCE,81153,250,26,61,-5700
BAJAJFINSV,4268801,125,802,50,90250
BPCL,134657,1800,12,56,10400
BHARTIARTL,2714625,1851,23,56,31373
INFRATEL,7458561,2000,33,38,58400
BRITANNIA,140033,200,311,64,49400
CIPLA,177665,1000,0,50,-10000
COALINDIA,5215745,2200,21,56,35000
DRREDDY,225537,250,3,62,-11650
EICHERMOT,232961,25,1881,49,37225
GAIL,1207553,5334,-5,33,-33270
GRASIM,315393,750,63,64,34450
HCLTECH,1850625,700,-16,60,-23200
HDFCBANK,341249,250,11,35,-4250
HEROMOTOCO,345089,200,193,52,28200
HINDALCO,348929,3500,-4,88,-31600
HINDUNILVR,356865,300,-65,71,-33700
HDFC,340481,500,82,35,34000
ICICIBANK,1270529,1375,-10,62,-26150
ITC,424961,2400,16,58,26800
IBULHSGFIN,7712001,800,162,93,111000
IOC,415745,3500,7,50,14500
INDUSINDBK,1346049,400,48,77,3800
INFY,408065,1200,25,41,21800
JSWSTEEL,3001089,2000,32,86,46800
KOTAKBANK,492033,400,-77,65,-43800
LT,2939649,375,197,53,63275
M&M,519937,1000,15,57,3600
MARUTI,2815745,75,212,60,3900
NTPC,2977281,4800,-5,58,-35600
ONGC,633601,3750,-1,37,-11150
POWERGRID,3834113,4000,10,54,29200
RELIANCE,738561,500,47,55,12500
SBIN,779521,3000,26,76,62800
SUNPHARMA,857857,1100,17,88,1100
TCS,2953217,250,143,43,27150
TATAMOTORS,884737,3000,15,76,29800
TATASTEEL,895745,1061,29,66,17569
TECHM,3465729,1200,34,49,31000
TITAN,897537,750,-16,56,-23200
UPL,2889473,900,44,73,25000
ULTRACEMCO,2952193,200,165,60,21000
VEDL,784129,3000,9,61,14800
WIPRO,969473,3200,-3,64,-22400
YESBANK,3050241,2200,21,64,33400
ZEEL,975873,1300,57,65,61100
