Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,1,39,-5300
ASIANPAINT,60417,600,69,36,34200
AXISBANK,1510401,1200,13,50,5600
BAJAJ-AUTO,4267265,250,-8,33,-8600
BAJFINANCE,81153,250,270,52,57100
BAJAJFINSV,4268801,125,-536,34,-73800
BPCL,134657,1800,2,40,-4400
BHARTIARTL,2714625,1851,11,56,9161
INFRATEL,7458561,2000,6,41,3800
BRITANNIA,140033,200,15,38,-4600
CIPLA,177665,1000,15,28,9400
COALINDIA,5215745,2200,4,38,1200
DRREDDY,225537,250,110,55,16500
EICHERMOT,232961,25,1522,16,34850
GAIL,1207553,5334,5,41,18470
GRASIM,315393,750,-8,29,-11800
HCLTECH,1850625,700,137,37,88500
HDFCBANK,341249,250,46,39,3700
HEROMOTOCO,345089,200,143,35,21600
HINDALCO,348929,3500,-4,50,-24000
HINDUNILVR,356865,300,-14,26,-9400
HDFC,340481,500,32,38,8400
ICICIBANK,1270529,1375,23,45,22625
ITC,424961,2400,0,37,-7400
IBULHSGFIN,7712001,800,18,62,2000
IOC,415745,3500,16,50,46000
INDUSINDBK,1346049,400,63,34,18400
INFY,408065,1200,17,25,15400
JSWSTEEL,3001089,2000,0,57,-11400
KOTAKBANK,492033,400,-35,36,-21200
LT,2939649,375,20,31,1300
M&M,519937,1000,-14,52,-24400
MARUTI,2815745,75,67,32,-1375
NTPC,2977281,4800,13,39,54600
ONGC,633601,3750,12,46,35800
POWERGRID,3834113,4000,7,38,20400
RELIANCE,738561,500,26,48,3400
SBIN,779521,3000,-3,45,-18000
SUNPHARMA,857857,1100,-10,49,-20800
TCS,2953217,250,54,34,6700
TATAMOTORS,884737,3000,2,32,-400
TATASTEEL,895745,1061,28,43,21108
TECHM,3465729,1200,10,45,3000
TITAN,897537,750,30,50,12500
UPL,2889473,900,10,47,-400
ULTRACEMCO,2952193,200,39,38,200
VEDL,784129,3000,-8,57,-35400
WIPRO,969473,3200,-6,45,-28200
YESBANK,3050241,2200,17,29,31600
ZEEL,975873,1300,7,61,-3100
