Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-03-06 09:15:00,238.1,239.55,238.0,239.45,1559858,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,9,15
2019-03-06 09:20:00,239.45,240.65,239.1,240.3,1452670,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,Entry,Buy,239.55,242.85,238.0,9,20
2019-03-06 09:25:00,240.35,240.4,239.05,239.25,697651,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,9,25
2019-03-06 09:30:00,239.25,239.4,238.75,238.95,456581,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,9,30
2019-03-06 09:35:00,238.9,239.2,237.85,238.15,834793,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,Exit,Sell,238.0,235.0198,240.65,9,35
2019-03-06 09:40:00,238.1,238.3,237.35,237.6,682236,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,9,40
2019-03-06 09:45:00,237.6,238.2,237.4,237.55,412194,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,9,45
2019-03-06 09:50:00,237.65,237.65,237.1,237.15,405885,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,9,50
2019-03-06 09:55:00,237.15,238.2,237.15,238.2,357310,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,9,55
2019-03-06 10:00:00,238.2,238.65,238.0,238.25,328086,2019-03-06,2019,234.25,231.4,240.35,243.6,240.75,234.65,236.0,237.1,237.5,235.1698,233.7302,239.8302,241.2698,225.3,249.7,,,0.0,0.0,0.0,10,0
