Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,14,46,25800
ASIANPAINT,60417,600,11,39,-1200
AXISBANK,1510401,1200,-31,50,-47200
BAJAJ-AUTO,4267265,250,-69,47,-26650
BAJFINANCE,81153,250,-121,40,-38250
BAJAJFINSV,4268801,125,-56,42,-15400
BPCL,134657,1800,-16,67,-42200
BHARTIARTL,2714625,1851,35,54,53985
INFRATEL,7458561,2000,46,56,80800
BRITANNIA,140033,200,-123,40,-32600
CIPLA,177665,1000,0,40,-8000
COALINDIA,5215745,2200,6,50,3200
DRREDDY,225537,250,106,35,19500
EICHERMOT,232961,25,305,41,-575
GAIL,1207553,5334,3,61,3802
GRASIM,315393,750,-7,43,-13850
HCLTECH,1850625,700,-90,46,-72200
HDFCBANK,341249,250,21,46,-3950
HEROMOTOCO,345089,200,39,43,-800
HINDALCO,348929,3500,3,55,-500
HINDUNILVR,356865,300,99,43,21100
HDFC,340481,500,-110,36,-62200
ICICIBANK,1270529,1375,64,46,78800
ITC,424961,2400,3,45,-1800
IBULHSGFIN,7712001,800,-33,68,-40000
IOC,415745,3500,2,38,-600
INDUSINDBK,1346049,400,118,44,38400
INFY,408065,1200,30,33,29400
JSWSTEEL,3001089,2000,16,58,20400
KOTAKBANK,492033,400,11,32,-2000
LT,2939649,375,-23,41,-16825
M&M,519937,1000,0,54,-10800
MARUTI,2815745,75,632,41,39200
NTPC,2977281,4800,-1,54,-15600
ONGC,633601,3750,-3,45,-20250
POWERGRID,3834113,4000,-4,33,-22600
RELIANCE,738561,500,73,38,28900
SBIN,779521,3000,18,56,42800
SUNPHARMA,857857,1100,37,42,32300
TCS,2953217,250,-9,52,-12650
TATAMOTORS,884737,3000,9,66,13800
TATASTEEL,895745,1061,18,50,9098
TECHM,3465729,1200,-51,35,-68200
TITAN,897537,750,-66,31,-55700
UPL,2889473,900,-24,48,-31200
ULTRACEMCO,2952193,200,194,34,32000
VEDL,784129,3000,-10,64,-42800
WIPRO,969473,3200,-3,27,-15000
YESBANK,3050241,2200,1,69,-11600
ZEEL,975873,1300,46,60,47800
