Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,19,35,40500
ASIANPAINT,60417,600,55,37,25600
AXISBANK,1510401,1200,-6,54,-18000
BAJAJ-AUTO,4267265,250,46,31,5300
BAJFINANCE,81153,250,148,48,27400
BAJAJFINSV,4268801,125,347,51,33175
BPCL,134657,1800,5,41,800
BHARTIARTL,2714625,1851,-18,45,-42318
INFRATEL,7458561,2000,6,36,4800
BRITANNIA,140033,200,228,40,37600
CIPLA,177665,1000,21,32,14600
COALINDIA,5215745,2200,-10,60,-34000
DRREDDY,225537,250,67,37,9350
EICHERMOT,232961,25,133,49,-6475
GAIL,1207553,5334,-6,36,-39204
GRASIM,315393,750,52,42,30600
HCLTECH,1850625,700,11,38,100
HDFCBANK,341249,250,66,52,6100
HEROMOTOCO,345089,200,106,57,9800
HINDALCO,348929,3500,-3,45,-19500
HINDUNILVR,356865,300,-177,39,-60900
HDFC,340481,500,-69,46,-43700
ICICIBANK,1270529,1375,13,57,6475
ITC,424961,2400,14,50,23600
IBULHSGFIN,7712001,800,79,52,52800
IOC,415745,3500,5,39,9700
INDUSINDBK,1346049,400,27,50,800
INFY,408065,1200,30,33,29400
JSWSTEEL,3001089,2000,17,58,22400
KOTAKBANK,492033,400,54,52,11200
LT,2939649,375,-73,42,-35775
M&M,519937,1000,15,63,2400
MARUTI,2815745,75,337,35,18275
NTPC,2977281,4800,4,39,11400
ONGC,633601,3750,1,56,-7450
POWERGRID,3834113,4000,11,42,35600
RELIANCE,738561,500,33,46,7300
SBIN,779521,3000,29,62,74600
SUNPHARMA,857857,1100,-9,50,-19900
TCS,2953217,250,50,60,500
TATAMOTORS,884737,3000,-28,59,-95800
TATASTEEL,895745,1061,28,54,18908
TECHM,3465729,1200,9,42,2400
TITAN,897537,750,117,44,78950
UPL,2889473,900,-14,44,-21400
ULTRACEMCO,2952193,200,-200,42,-48400
VEDL,784129,3000,-14,46,-51200
WIPRO,969473,3200,7,24,17600
YESBANK,3050241,2200,2,57,-7000
ZEEL,975873,1300,15,62,7100
