Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-04-03 09:15:00,158.55,159.1,157.5,158.05,322679,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,15
2019-04-03 09:20:00,158.05,158.45,157.75,158.0,131705,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,20
2019-04-03 09:25:00,158.0,158.05,157.65,157.9,91012,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,25
2019-04-03 09:30:00,157.85,157.9,157.5,157.55,103194,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,30
2019-04-03 09:35:00,157.55,157.85,157.55,157.6,73317,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,35
2019-04-03 09:40:00,157.6,157.65,157.05,157.15,177215,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,Entry,Sell,157.15,156.09393333333335,159.1,9,40
2019-04-03 09:45:00,157.15,157.5,157.05,157.45,98637,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,45
2019-04-03 09:50:00,157.45,157.9,157.45,157.85,96985,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,50
2019-04-03 09:55:00,157.85,157.95,157.8,157.95,63004,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,9,55
2019-04-03 10:00:00,157.9,158.1,157.8,157.8,92892,2019-04-03,2019,156.56666666666672,154.83333333333337,159.8666666666667,161.43333333333334,159.7,156.4,159.2,158.3,158.13333333333335,156.87273333333337,156.09393333333335,159.39393333333334,160.17273333333335,151.5333333333334,164.73333333333332,,,0.0,0.0,0.0,10,0
