Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-08-05 09:15:00,1355.0,1358.8,1347.6,1356.7,54153,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,15
2019-08-05 09:20:00,1356.0,1356.55,1348.1,1349.35,40655,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,20
2019-08-05 09:25:00,1349.5,1351.55,1343.75,1344.25,34280,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,Entry,Sell,1344.25,1324.3999999999999,1358.8,9,25
2019-08-05 09:30:00,1343.95,1346.75,1341.35,1344.95,33994,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,30
2019-08-05 09:35:00,1344.5,1344.95,1336.75,1337.55,62061,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,35
2019-08-05 09:40:00,1337.55,1337.55,1330.2,1330.45,74763,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,40
2019-08-05 09:45:00,1330.75,1332.6,1325.05,1328.8,97057,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,45
2019-08-05 09:50:00,1328.45,1331.9,1326.3,1329.3,70773,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,50
2019-08-05 09:55:00,1329.85,1335.0,1329.15,1333.0,79612,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,9,55
2019-08-05 10:00:00,1333.0,1333.75,1327.2,1329.9,61480,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,10,0
2019-08-05 10:05:00,1330.0,1333.25,1327.9,1330.4,34971,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,10,5
2019-08-05 10:10:00,1330.25,1332.95,1330.0,1332.9,23022,2019-08-05,2019,1345.6999999999998,1324.3999999999999,1382.6,1398.2,1376.9,1340.0,1352.6,1367.0,1361.3,1347.2042,1338.4958,1375.3958,1384.1042,1287.4999999999998,1435.1000000000001,,,0.0,0.0,0.0,10,10
