Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,0,58,-11600
ASIANPAINT,60417,600,-35,46,-30200
AXISBANK,1510401,1200,-9,62,-23200
BAJAJ-AUTO,4267265,250,-91,34,-29550
BAJFINANCE,81153,250,41,50,250
BAJAJFINSV,4268801,125,59,56,-3825
BPCL,134657,1800,-11,53,-30400
BHARTIARTL,2714625,1851,1,49,-7949
INFRATEL,7458561,2000,14,52,17600
BRITANNIA,140033,200,238,53,37000
CIPLA,177665,1000,-18,43,-26600
COALINDIA,5215745,2200,10,57,10600
DRREDDY,225537,250,244,38,53400
EICHERMOT,232961,25,961,52,13625
GAIL,1207553,5334,-6,44,-40804
GRASIM,315393,750,56,68,28400
HCLTECH,1850625,700,-31,32,-28100
HDFCBANK,341249,250,-18,42,-12900
HEROMOTOCO,345089,200,53,44,1800
HINDALCO,348929,3500,5,41,9300
HINDUNILVR,356865,300,-63,48,-28500
HDFC,340481,500,-61,47,-39900
ICICIBANK,1270529,1375,-8,40,-19000
ITC,424961,2400,3,38,-400
IBULHSGFIN,7712001,800,86,59,57000
IOC,415745,3500,7,48,14900
INDUSINDBK,1346049,400,40,66,2800
INFY,408065,1200,54,41,56600
JSWSTEEL,3001089,2000,32,62,51600
KOTAKBANK,492033,400,-45,39,-25800
LT,2939649,375,23,27,3225
M&M,519937,1000,-5,53,-15600
MARUTI,2815745,75,344,57,14400
NTPC,2977281,4800,0,64,-12800
ONGC,633601,3750,-5,79,-34550
POWERGRID,3834113,4000,-5,49,-29800
RELIANCE,738561,500,4,42,-6400
SBIN,779521,3000,-3,57,-20400
SUNPHARMA,857857,1100,7,74,-7100
TCS,2953217,250,14,45,-5500
TATAMOTORS,884737,3000,7,59,9200
TATASTEEL,895745,1061,1,63,-11539
TECHM,3465729,1200,16,37,11800
TITAN,897537,750,-40,44,-38800
UPL,2889473,900,-11,40,-17900
ULTRACEMCO,2952193,200,97,44,10600
VEDL,784129,3000,14,77,26600
WIPRO,969473,3200,-9,41,-37000
YESBANK,3050241,2200,23,54,39800
ZEEL,975873,1300,15,61,7300
