Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,17,49,32700
ASIANPAINT,60417,600,-69,38,-49000
AXISBANK,1510401,1200,-13,48,-25200
BAJAJ-AUTO,4267265,250,171,46,33550
BAJFINANCE,81153,250,307,43,68150
BAJAJFINSV,4268801,125,255,41,23675
BPCL,134657,1800,23,59,29600
BHARTIARTL,2714625,1851,-12,47,-31612
INFRATEL,7458561,2000,-20,53,-50600
BRITANNIA,140033,200,-52,42,-18800
CIPLA,177665,1000,-28,49,-37800
COALINDIA,5215745,2200,6,40,5200
DRREDDY,225537,250,251,37,55350
EICHERMOT,232961,25,1605,53,29525
GAIL,1207553,5334,0,48,-9600
GRASIM,315393,750,-63,57,-58650
HCLTECH,1850625,700,24,33,10200
HDFCBANK,341249,250,-34,51,-18700
HEROMOTOCO,345089,200,142,48,18800
HINDALCO,348929,3500,5,46,8300
HINDUNILVR,356865,300,5,41,-6700
HDFC,340481,500,80,51,29800
ICICIBANK,1270529,1375,34,54,35950
ITC,424961,2400,19,54,34800
IBULHSGFIN,7712001,800,-4,66,-16400
IOC,415745,3500,3,44,1700
INDUSINDBK,1346049,400,52,38,13200
INFY,408065,1200,24,41,20600
JSWSTEEL,3001089,2000,-4,67,-21400
KOTAKBANK,492033,400,185,51,63800
LT,2939649,375,-23,62,-21025
M&M,519937,1000,56,67,42600
MARUTI,2815745,75,227,52,6625
NTPC,2977281,4800,10,47,38600
ONGC,633601,3750,1,57,-7650
POWERGRID,3834113,4000,10,50,30000
RELIANCE,738561,500,-12,44,-14800
SBIN,779521,3000,30,72,75600
SUNPHARMA,857857,1100,-5,60,-17500
TCS,2953217,250,94,53,12900
TATAMOTORS,884737,3000,11,56,21800
TATASTEEL,895745,1061,87,85,75307
TECHM,3465729,1200,0,43,-8600
TITAN,897537,750,61,40,37750
UPL,2889473,900,-16,42,-22800
ULTRACEMCO,2952193,200,6,47,-8200
VEDL,784129,3000,11,42,24600
WIPRO,969473,3200,1,52,-7200
YESBANK,3050241,2200,9,74,5000
ZEEL,975873,1300,-25,47,-41900
