Date,Open,High,Low,Close,Volume,DatePart,Year,S1_Pivot_Simple,S2_Pivot_Simple,R1_Pivot_Simple,R2_Pivot_Simple,Day_High,Day_Low,Day_Open,Day_Close,PivotPoint,S1_Pivot_Fibonacci,S2_Pivot_Fibonacci,R1_Pivot_Fibonacci,R2_Pivot_Fibonacci,S3_Pivot_Fibonacci,R3_Pivot_Fibonacci,Order_Status,Order_Signal,Order_Price,Target,Stop_Loss,Hour,Minute
2019-09-05 09:15:00,199.0,203.2,198.0,201.15,870944,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,15
2019-09-05 09:20:00,200.9,201.35,199.45,199.45,652105,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,20
2019-09-05 09:25:00,199.45,201.4,199.2,200.75,318600,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,25
2019-09-05 09:30:00,200.75,201.15,200.4,200.65,123584,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,30
2019-09-05 09:35:00,200.65,201.25,200.5,201.1,133527,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,35
2019-09-05 09:40:00,201.2,201.25,200.15,200.2,122697,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,40
2019-09-05 09:45:00,200.25,200.35,199.6,199.75,648565,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,45
2019-09-05 09:50:00,199.75,200.6,199.75,200.35,62422,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,50
2019-09-05 09:55:00,200.35,200.7,200.3,200.5,69440,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,9,55
2019-09-05 10:00:00,200.6,202.55,200.55,201.6,404492,2019-09-05,2019,195.09999999999997,193.35,198.79999999999995,200.74999999999997,199.0,195.3,197.45,196.85,197.04999999999998,195.6366,194.7634,198.46339999999998,199.33659999999998,189.65,204.44999999999996,,,0.0,0.0,0.0,10,0
