,date,open,high,low,close,volume
0,2019-04-01 09:15:00+05:30,297.0,298.95,296.9,298.6,320621
1,2019-04-01 09:20:00+05:30,298.6,298.85,297.8,297.9,93575
2,2019-04-01 09:25:00+05:30,297.9,298.1,297.45,298.05,71030
3,2019-04-01 09:30:00+05:30,298.1,299.0,298.05,298.15,144711
4,2019-04-01 09:35:00+05:30,298.15,298.65,297.85,297.9,45916
5,2019-04-01 09:40:00+05:30,298.0,298.1,297.75,297.95,32158
6,2019-04-01 09:45:00+05:30,297.95,298.05,297.5,297.65,59913
7,2019-04-01 09:50:00+05:30,297.65,297.95,297.5,297.8,26233
8,2019-04-01 09:55:00+05:30,297.8,297.9,297.5,297.7,38851
9,2019-04-01 10:00:00+05:30,297.65,297.7,296.95,297.1,96707
10,2019-04-01 10:05:00+05:30,297.2,297.6,297.1,297.25,52252
11,2019-04-01 10:10:00+05:30,297.35,297.85,297.3,297.85,29075
12,2019-04-01 10:15:00+05:30,297.85,298.3,297.75,298.3,40056
13,2019-04-01 10:20:00+05:30,298.3,298.7,298.1,298.7,71510
14,2019-04-01 10:25:00+05:30,298.7,298.7,298.35,298.6,45204
15,2019-04-01 10:30:00+05:30,298.5,298.75,298.5,298.5,46095
16,2019-04-01 10:35:00+05:30,298.55,298.7,298.3,298.35,36439
17,2019-04-01 10:40:00+05:30,298.4,298.6,298.25,298.45,52476
18,2019-04-01 10:45:00+05:30,298.45,298.5,297.85,298.05,59066
19,2019-04-01 10:50:00+05:30,298.1,298.2,297.85,297.85,35569
20,2019-04-01 10:55:00+05:30,297.85,298.2,297.55,298.15,91344
21,2019-04-01 11:00:00+05:30,298.1,298.3,297.8,297.9,53303
22,2019-04-01 11:05:00+05:30,297.9,298.0,297.55,297.7,49858
23,2019-04-01 11:10:00+05:30,297.7,297.8,297.5,297.6,37601
24,2019-04-01 11:15:00+05:30,297.6,297.65,297.05,297.35,122076
25,2019-04-01 11:20:00+05:30,297.4,297.6,296.95,297.15,114095
26,2019-04-01 11:25:00+05:30,297.15,297.55,297.0,297.2,76973
27,2019-04-01 11:30:00+05:30,297.25,297.5,297.15,297.25,39761
28,2019-04-01 11:35:00+05:30,297.3,297.8,297.25,297.55,61315
29,2019-04-01 11:40:00+05:30,297.55,297.95,297.55,297.65,45451
30,2019-04-01 11:45:00+05:30,297.75,298.0,297.6,297.8,47873
31,2019-04-01 11:50:00+05:30,297.75,298.25,297.75,297.85,91448
32,2019-04-01 11:55:00+05:30,297.85,298.1,297.55,297.8,72746
33,2019-04-01 12:00:00+05:30,297.8,298.5,297.7,298.25,100780
34,2019-04-01 12:05:00+05:30,298.1,298.3,297.9,298.2,54119
35,2019-04-01 12:10:00+05:30,298.15,298.55,298.1,298.4,90654
36,2019-04-01 12:15:00+05:30,298.5,298.6,298.15,298.35,69333
37,2019-04-01 12:20:00+05:30,298.25,298.5,298.2,298.3,35229
38,2019-04-01 12:25:00+05:30,298.4,298.5,298.3,298.35,41678
39,2019-04-01 12:30:00+05:30,298.35,298.5,298.0,298.0,50002
40,2019-04-01 12:35:00+05:30,298.0,298.4,297.65,298.1,65129
41,2019-04-01 12:40:00+05:30,298.05,298.4,298.05,298.1,68263
42,2019-04-01 12:45:00+05:30,298.05,298.15,297.6,297.65,208461
43,2019-04-01 12:50:00+05:30,297.6,297.75,297.3,297.45,50753
44,2019-04-01 12:55:00+05:30,297.45,297.75,297.4,297.5,46385
45,2019-04-01 13:00:00+05:30,297.4,297.85,297.3,297.55,104829
46,2019-04-01 13:05:00+05:30,297.65,297.85,297.55,297.6,51158
47,2019-04-01 13:10:00+05:30,297.6,297.85,297.4,297.55,47509
48,2019-04-01 13:15:00+05:30,297.55,297.95,297.5,297.7,39944
49,2019-04-01 13:20:00+05:30,297.85,297.95,297.7,297.7,32198
50,2019-04-01 13:25:00+05:30,297.7,297.9,297.6,297.7,22760
51,2019-04-01 13:30:00+05:30,297.7,297.85,297.6,297.65,28124
52,2019-04-01 13:35:00+05:30,297.8,297.95,297.6,297.7,36388
53,2019-04-01 13:40:00+05:30,297.7,297.9,297.6,297.7,34784
54,2019-04-01 13:45:00+05:30,297.7,297.9,297.6,297.75,50053
55,2019-04-01 13:50:00+05:30,297.75,298.3,297.7,298.0,89366
56,2019-04-01 13:55:00+05:30,298.0,298.1,297.75,297.75,56002
57,2019-04-01 14:00:00+05:30,297.7,297.9,297.65,297.75,47753
58,2019-04-01 14:05:00+05:30,297.75,298.15,297.65,297.7,64747
59,2019-04-01 14:10:00+05:30,297.7,298.0,297.5,297.65,60014
60,2019-04-01 14:15:00+05:30,297.65,298.1,297.65,297.9,40380
61,2019-04-01 14:20:00+05:30,298.0,298.25,297.9,298.05,80474
62,2019-04-01 14:25:00+05:30,298.05,298.3,297.7,298.1,173858
63,2019-04-01 14:30:00+05:30,298.1,298.5,298.0,298.15,106214
64,2019-04-01 14:35:00+05:30,298.25,299.2,298.15,298.7,204354
65,2019-04-01 14:40:00+05:30,298.7,298.95,297.6,297.75,185979
66,2019-04-01 14:45:00+05:30,297.75,298.0,297.2,297.7,117855
67,2019-04-01 14:50:00+05:30,297.65,297.7,297.1,297.15,147811
68,2019-04-01 14:55:00+05:30,297.15,297.4,296.7,296.7,111938
69,2019-04-01 15:00:00+05:30,296.9,297.1,296.55,296.75,210325
70,2019-04-01 15:05:00+05:30,296.8,297.5,296.7,297.45,167617
71,2019-04-01 15:10:00+05:30,297.45,297.5,296.9,297.45,175594
72,2019-04-01 15:15:00+05:30,297.45,297.7,297.0,297.6,204062
73,2019-04-01 15:20:00+05:30,297.6,297.8,297.05,297.35,183325
74,2019-04-01 15:25:00+05:30,297.3,297.9,297.15,297.4,130701
75,2019-04-02 09:15:00+05:30,297.4,298.35,297.4,298.25,219402
76,2019-04-02 09:20:00+05:30,298.25,298.3,297.8,297.9,174294
77,2019-04-02 09:25:00+05:30,297.95,298.0,296.9,297.2,140719
78,2019-04-02 09:30:00+05:30,297.25,297.3,296.2,296.4,128406
79,2019-04-02 09:35:00+05:30,296.35,296.7,296.05,296.05,88764
80,2019-04-02 09:40:00+05:30,296.05,296.5,296.05,296.45,61648
81,2019-04-02 09:45:00+05:30,296.4,296.55,295.3,295.35,150894
82,2019-04-02 09:50:00+05:30,295.4,295.75,295.05,295.1,168742
83,2019-04-02 09:55:00+05:30,295.1,295.4,294.65,294.75,183101
84,2019-04-02 10:00:00+05:30,294.7,295.45,294.65,295.35,89719
85,2019-04-02 10:05:00+05:30,295.35,295.85,295.3,295.3,70016
86,2019-04-02 10:10:00+05:30,295.3,295.8,295.3,295.75,71218
87,2019-04-02 10:15:00+05:30,295.8,295.85,295.55,295.65,29964
88,2019-04-02 10:20:00+05:30,295.7,295.8,295.55,295.75,34235
89,2019-04-02 10:25:00+05:30,295.75,295.8,295.25,295.35,38750
90,2019-04-02 10:30:00+05:30,295.35,295.5,295.25,295.25,43734
91,2019-04-02 10:35:00+05:30,295.25,295.4,295.2,295.2,26882
92,2019-04-02 10:40:00+05:30,295.2,295.35,294.95,295.2,55399
93,2019-04-02 10:45:00+05:30,295.2,295.8,295.15,295.8,61948
94,2019-04-02 10:50:00+05:30,295.8,295.95,295.5,295.65,38672
95,2019-04-02 10:55:00+05:30,295.6,295.9,295.5,295.85,35536
96,2019-04-02 11:00:00+05:30,295.85,296.0,295.6,295.6,62488
97,2019-04-02 11:05:00+05:30,295.6,295.8,295.5,295.55,21725
98,2019-04-02 11:10:00+05:30,295.55,295.55,295.05,295.1,46297
99,2019-04-02 11:15:00+05:30,295.1,295.45,295.1,295.25,44203
100,2019-04-02 11:20:00+05:30,295.25,295.7,295.25,295.6,40281
101,2019-04-02 11:25:00+05:30,295.6,296.6,295.5,296.4,219026
102,2019-04-02 11:30:00+05:30,296.35,296.5,296.25,296.35,54387
103,2019-04-02 11:35:00+05:30,296.35,296.8,296.25,296.5,93570
104,2019-04-02 11:40:00+05:30,296.5,296.7,296.05,296.25,83882
105,2019-04-02 11:45:00+05:30,296.25,297.4,296.05,297.3,163171
106,2019-04-02 11:50:00+05:30,297.3,297.45,296.7,297.05,119548
107,2019-04-02 11:55:00+05:30,297.05,297.35,297.0,297.2,52821
108,2019-04-02 12:00:00+05:30,297.2,297.9,297.2,297.65,161046
109,2019-04-02 12:05:00+05:30,297.65,297.9,297.6,297.8,125171
110,2019-04-02 12:10:00+05:30,297.8,297.95,297.7,297.8,124226
111,2019-04-02 12:15:00+05:30,297.8,299.75,297.7,299.3,886360
112,2019-04-02 12:20:00+05:30,299.4,299.65,298.7,299.1,165140
113,2019-04-02 12:25:00+05:30,299.05,299.45,298.7,298.95,152510
114,2019-04-02 12:30:00+05:30,298.95,299.2,298.8,298.9,63096
115,2019-04-02 12:35:00+05:30,298.9,299.1,298.65,298.95,69926
116,2019-04-02 12:40:00+05:30,299.0,299.05,298.8,298.8,38802
117,2019-04-02 12:45:00+05:30,298.9,298.95,298.4,298.75,41794
118,2019-04-02 12:50:00+05:30,298.75,298.8,298.1,298.1,58404
119,2019-04-02 12:55:00+05:30,298.1,298.5,297.9,298.3,52687
120,2019-04-02 13:00:00+05:30,298.3,298.5,297.85,298.1,83226
121,2019-04-02 13:05:00+05:30,298.1,298.5,298.05,298.25,143391
122,2019-04-02 13:10:00+05:30,298.35,298.7,298.25,298.4,67392
123,2019-04-02 13:15:00+05:30,298.35,298.5,297.75,298.1,48194
124,2019-04-02 13:20:00+05:30,298.25,298.55,297.95,298.1,53303
125,2019-04-02 13:25:00+05:30,298.3,298.5,297.85,298.2,49545
