,date,open,high,low,close,volume
0,2019-04-01 09:15:00+05:30,444.7,444.7,440.7,441.5,223759
1,2019-04-01 09:20:00+05:30,441.7,441.75,439.0,441.1,192964
2,2019-04-01 09:25:00+05:30,441.1,442.6,438.2,438.75,133407
3,2019-04-01 09:30:00+05:30,438.7,440.6,438.65,439.1,60392
4,2019-04-01 09:35:00+05:30,439.0,440.2,439.0,439.5,26282
5,2019-04-01 09:40:00+05:30,439.5,439.5,437.55,438.75,99885
6,2019-04-01 09:45:00+05:30,439.0,440.75,438.75,440.55,44160
7,2019-04-01 09:50:00+05:30,440.75,441.4,438.65,438.8,74231
8,2019-04-01 09:55:00+05:30,438.8,440.0,438.5,439.5,29203
9,2019-04-01 10:00:00+05:30,439.5,440.4,438.5,438.9,67059
10,2019-04-01 10:05:00+05:30,439.0,439.9,438.85,439.55,25399
11,2019-04-01 10:10:00+05:30,439.55,440.85,439.15,440.65,29849
12,2019-04-01 10:15:00+05:30,440.65,441.0,439.75,440.35,56744
13,2019-04-01 10:20:00+05:30,440.6,441.0,440.35,440.65,23773
14,2019-04-01 10:25:00+05:30,440.65,441.8,440.5,441.35,40837
15,2019-04-01 10:30:00+05:30,441.1,441.5,440.75,441.15,23220
16,2019-04-01 10:35:00+05:30,441.3,441.3,438.95,439.05,42622
17,2019-04-01 10:40:00+05:30,439.0,439.55,438.1,438.9,57706
18,2019-04-01 10:45:00+05:30,438.85,440.25,438.6,439.6,20338
19,2019-04-01 10:50:00+05:30,439.6,440.45,439.2,440.45,25234
20,2019-04-01 10:55:00+05:30,440.45,441.6,440.05,440.7,64962
21,2019-04-01 11:00:00+05:30,440.8,441.25,440.5,441.1,22457
22,2019-04-01 11:05:00+05:30,441.1,441.5,440.05,440.25,30518
23,2019-04-01 11:10:00+05:30,440.25,440.25,439.5,439.7,21689
24,2019-04-01 11:15:00+05:30,439.7,440.2,439.4,440.2,24974
25,2019-04-01 11:20:00+05:30,440.2,440.85,439.65,439.8,122428
26,2019-04-01 11:25:00+05:30,439.8,440.2,439.8,440.0,7772
27,2019-04-01 11:30:00+05:30,440.0,440.45,439.5,439.5,18462
28,2019-04-01 11:35:00+05:30,439.6,440.95,439.0,439.45,39329
29,2019-04-01 11:40:00+05:30,439.45,440.7,438.25,439.15,49579
30,2019-04-01 11:45:00+05:30,439.1,439.9,438.6,439.45,18157
31,2019-04-01 11:50:00+05:30,439.45,439.7,439.0,439.45,11040
32,2019-04-01 11:55:00+05:30,439.45,440.3,439.3,440.15,19255
33,2019-04-01 12:00:00+05:30,440.15,440.5,439.75,439.85,15517
34,2019-04-01 12:05:00+05:30,439.85,440.3,439.1,439.65,16356
35,2019-04-01 12:10:00+05:30,439.9,439.9,438.75,439.35,23969
36,2019-04-01 12:15:00+05:30,439.5,439.75,439.1,439.45,9637
37,2019-04-01 12:20:00+05:30,439.4,439.6,439.0,439.4,7041
38,2019-04-01 12:25:00+05:30,439.4,439.5,438.05,438.2,42822
39,2019-04-01 12:30:00+05:30,438.25,439.9,438.2,438.5,20377
40,2019-04-01 12:35:00+05:30,438.5,438.55,436.3,436.65,157881
41,2019-04-01 12:40:00+05:30,436.7,437.65,436.5,436.7,57537
42,2019-04-01 12:45:00+05:30,436.7,437.35,435.65,437.35,92905
43,2019-04-01 12:50:00+05:30,437.3,438.25,437.0,437.05,66150
44,2019-04-01 12:55:00+05:30,437.05,437.5,436.5,436.6,23262
45,2019-04-01 13:00:00+05:30,436.5,436.6,433.75,434.7,221909
46,2019-04-01 13:05:00+05:30,434.7,436.0,434.3,435.0,112890
47,2019-04-01 13:10:00+05:30,435.0,435.8,434.5,435.6,46217
48,2019-04-01 13:15:00+05:30,435.55,435.8,433.6,434.15,91733
49,2019-04-01 13:20:00+05:30,434.15,435.35,433.7,435.05,75048
50,2019-04-01 13:25:00+05:30,435.1,435.45,434.9,434.95,58608
51,2019-04-01 13:30:00+05:30,434.95,435.4,434.6,435.2,24905
52,2019-04-01 13:35:00+05:30,435.2,435.4,434.8,435.15,23101
53,2019-04-01 13:40:00+05:30,435.15,435.65,435.05,435.55,26868
54,2019-04-01 13:45:00+05:30,435.55,436.45,435.5,436.3,30051
55,2019-04-01 13:50:00+05:30,436.25,436.4,435.0,435.3,43067
56,2019-04-01 13:55:00+05:30,435.5,435.8,435.15,435.7,17098
57,2019-04-01 14:00:00+05:30,435.7,436.5,435.6,435.75,25320
58,2019-04-01 14:05:00+05:30,435.75,436.4,435.3,436.4,18105
59,2019-04-01 14:10:00+05:30,436.3,436.4,434.6,434.8,38312
60,2019-04-01 14:15:00+05:30,434.75,435.4,434.25,434.55,36186
61,2019-04-01 14:20:00+05:30,434.65,435.8,434.55,435.45,30452
62,2019-04-01 14:25:00+05:30,435.45,435.85,435.05,435.5,33658
63,2019-04-01 14:30:00+05:30,435.5,435.55,434.75,435.35,23714
64,2019-04-01 14:35:00+05:30,435.35,435.9,435.05,435.25,30475
65,2019-04-01 14:40:00+05:30,435.25,435.7,435.05,435.05,33401
66,2019-04-01 14:45:00+05:30,435.1,435.5,434.0,434.85,40446
67,2019-04-01 14:50:00+05:30,434.85,435.65,433.5,434.7,92692
68,2019-04-01 14:55:00+05:30,434.65,435.0,434.05,434.05,36116
69,2019-04-01 15:00:00+05:30,434.15,434.15,432.0,433.2,196967
70,2019-04-01 15:05:00+05:30,433.2,433.5,432.0,432.6,99041
71,2019-04-01 15:10:00+05:30,432.6,432.7,431.0,431.2,161557
72,2019-04-01 15:15:00+05:30,431.2,431.9,430.0,431.3,192740
73,2019-04-01 15:20:00+05:30,431.4,431.8,430.0,430.5,126523
74,2019-04-01 15:25:00+05:30,430.45,431.65,430.35,430.4,139426
75,2019-04-02 09:15:00+05:30,419.8,423.85,414.3,417.7,1215813
76,2019-04-02 09:20:00+05:30,418.0,422.45,417.0,421.9,602637
77,2019-04-02 09:25:00+05:30,421.95,424.45,419.5,423.2,398403
78,2019-04-02 09:30:00+05:30,423.3,428.95,422.65,425.4,571228
79,2019-04-02 09:35:00+05:30,425.5,427.95,425.3,426.5,262373
80,2019-04-02 09:40:00+05:30,426.5,433.4,426.25,432.3,727305
81,2019-04-02 09:45:00+05:30,432.15,432.35,429.55,430.65,318880
82,2019-04-02 09:50:00+05:30,430.65,432.3,429.25,430.75,251394
83,2019-04-02 09:55:00+05:30,430.75,430.75,428.05,428.5,213576
84,2019-04-02 10:00:00+05:30,428.35,429.9,426.85,428.4,158791
85,2019-04-02 10:05:00+05:30,428.45,430.6,427.7,429.45,133396
86,2019-04-02 10:10:00+05:30,429.5,431.7,429.5,431.1,121571
87,2019-04-02 10:15:00+05:30,431.0,434.3,430.8,431.05,376735
88,2019-04-02 10:20:00+05:30,430.95,431.55,430.05,431.0,75161
89,2019-04-02 10:25:00+05:30,431.0,431.0,428.35,428.9,128805
90,2019-04-02 10:30:00+05:30,428.9,430.7,428.15,430.05,83978
91,2019-04-02 10:35:00+05:30,429.75,430.0,428.45,428.9,35859
92,2019-04-02 10:40:00+05:30,428.9,429.7,428.9,429.5,19397
93,2019-04-02 10:45:00+05:30,429.7,430.9,429.3,430.65,42601
94,2019-04-02 10:50:00+05:30,430.65,431.55,430.2,430.25,45823
95,2019-04-02 10:55:00+05:30,430.25,430.6,429.4,429.75,21310
96,2019-04-02 11:00:00+05:30,430.05,430.7,429.15,429.15,20605
97,2019-04-02 11:05:00+05:30,429.2,430.5,429.15,430.25,29915
98,2019-04-02 11:10:00+05:30,430.1,430.3,429.5,429.6,18130
99,2019-04-02 11:15:00+05:30,429.6,430.5,429.45,430.35,14474
100,2019-04-02 11:20:00+05:30,430.35,433.0,430.35,432.3,127739
101,2019-04-02 11:25:00+05:30,432.45,432.6,431.5,431.8,42549
102,2019-04-02 11:30:00+05:30,431.8,432.5,431.6,431.9,50912
103,2019-04-02 11:35:00+05:30,431.9,431.9,431.0,431.2,30031
104,2019-04-02 11:40:00+05:30,431.2,431.7,430.4,430.8,31693
105,2019-04-02 11:45:00+05:30,430.8,431.0,430.25,430.95,21489
106,2019-04-02 11:50:00+05:30,430.6,431.9,430.6,431.7,22786
107,2019-04-02 11:55:00+05:30,431.7,433.35,431.25,433.05,74657
108,2019-04-02 12:00:00+05:30,433.05,433.15,431.6,432.5,55930
109,2019-04-02 12:05:00+05:30,432.55,432.75,431.65,432.0,24435
110,2019-04-02 12:10:00+05:30,432.0,432.25,431.85,432.1,14204
111,2019-04-02 12:15:00+05:30,432.1,432.4,431.4,431.75,22461
112,2019-04-02 12:20:00+05:30,431.75,432.1,430.75,430.85,60188
113,2019-04-02 12:25:00+05:30,431.0,431.5,430.5,430.55,20847
114,2019-04-02 12:30:00+05:30,430.75,431.65,430.75,430.9,29471
115,2019-04-02 12:35:00+05:30,431.15,431.2,430.8,431.0,20857
116,2019-04-02 12:40:00+05:30,431.0,432.0,430.8,431.4,25336
117,2019-04-02 12:45:00+05:30,431.6,431.6,430.8,431.6,29248
118,2019-04-02 12:50:00+05:30,431.6,431.7,430.2,430.7,42566
119,2019-04-02 12:55:00+05:30,430.75,431.25,430.1,430.15,60274
120,2019-04-02 13:00:00+05:30,430.15,430.4,429.15,429.6,59298
121,2019-04-02 13:05:00+05:30,429.6,430.3,429.45,430.0,35533
122,2019-04-02 13:10:00+05:30,430.0,430.5,429.8,430.05,26849
123,2019-04-02 13:15:00+05:30,430.15,430.4,428.45,428.65,90764
124,2019-04-02 13:20:00+05:30,428.6,429.75,428.1,429.5,82181
125,2019-04-02 13:25:00+05:30,429.35,429.65,428.75,429.3,24413
126,2019-04-02 13:30:00+05:30,429.4,429.75,428.45,428.45,39976
127,2019-04-02 13:35:00+05:30,428.4,428.95,425.65,427.4,233445
