,date,open,high,low,close,volume
0,2019-08-01 09:15:00+05:30,189.0,189.25,188.85,189.05,290569
1,2019-08-01 09:20:00+05:30,189.0,189.0,188.1,188.45,189505
2,2019-08-01 09:25:00+05:30,188.4,188.45,187.6,187.65,160869
3,2019-08-01 09:30:00+05:30,187.7,187.7,186.8,187.2,196470
4,2019-08-01 09:35:00+05:30,187.2,187.2,185.1,185.2,393458
5,2019-08-01 09:40:00+05:30,185.2,185.25,184.4,184.4,277715
6,2019-08-01 09:45:00+05:30,184.35,184.45,183.65,183.95,313333
7,2019-08-01 09:50:00+05:30,183.85,184.45,183.8,184.25,162622
8,2019-08-01 09:55:00+05:30,184.25,184.7,183.95,184.25,201235
9,2019-08-01 10:00:00+05:30,184.25,184.25,183.25,183.95,237636
10,2019-08-01 10:05:00+05:30,183.95,184.05,183.4,183.5,175928
11,2019-08-01 10:10:00+05:30,183.5,183.75,182.75,183.2,214754
12,2019-08-01 10:15:00+05:30,183.25,183.35,183.0,183.05,107522
13,2019-08-01 10:20:00+05:30,183.0,183.05,182.8,182.9,117725
14,2019-08-01 10:25:00+05:30,182.95,183.15,182.8,182.8,161073
15,2019-08-01 10:30:00+05:30,182.9,183.0,182.5,182.8,190859
16,2019-08-01 10:35:00+05:30,182.8,182.95,182.7,182.8,70854
17,2019-08-01 10:40:00+05:30,182.75,183.2,182.75,183.05,141038
18,2019-08-01 10:45:00+05:30,183.05,183.05,182.85,182.95,60160
19,2019-08-01 10:50:00+05:30,182.95,183.65,182.9,183.15,164587
20,2019-08-01 10:55:00+05:30,183.2,183.45,183.05,183.3,60390
21,2019-08-01 11:00:00+05:30,183.25,183.3,182.9,183.3,154828
22,2019-08-01 11:05:00+05:30,183.3,183.5,183.25,183.4,84068
23,2019-08-01 11:10:00+05:30,183.35,183.45,183.2,183.3,63067
24,2019-08-01 11:15:00+05:30,183.3,183.4,183.25,183.4,61313
25,2019-08-01 11:20:00+05:30,183.4,183.6,183.35,183.5,111507
26,2019-08-01 11:25:00+05:30,183.5,183.65,183.5,183.6,68486
27,2019-08-01 11:30:00+05:30,183.6,183.65,183.0,183.3,99453
28,2019-08-01 11:35:00+05:30,183.25,183.85,183.15,183.4,127073
29,2019-08-01 11:40:00+05:30,183.4,183.7,183.4,183.5,44788
30,2019-08-01 11:45:00+05:30,183.5,183.75,183.5,183.65,62862
31,2019-08-01 11:50:00+05:30,183.65,183.8,183.6,183.75,124218
32,2019-08-01 11:55:00+05:30,183.75,183.85,183.65,183.85,106795
33,2019-08-01 12:00:00+05:30,183.8,183.85,183.3,183.5,68247
34,2019-08-01 12:05:00+05:30,183.45,183.75,183.45,183.7,86421
35,2019-08-01 12:10:00+05:30,183.7,183.8,183.45,183.65,145571
36,2019-08-01 12:15:00+05:30,183.65,183.65,183.05,183.3,94343
37,2019-08-01 12:20:00+05:30,183.3,183.4,183.1,183.4,91929
