,date,open,high,low,close,volume
0,2019-08-01 09:15:00+05:30,423.25,425.95,423.25,425.6,414486
1,2019-08-01 09:20:00+05:30,425.5,425.75,424.0,424.0,216346
2,2019-08-01 09:25:00+05:30,424.1,424.8,424.0,424.65,86214
3,2019-08-01 09:30:00+05:30,424.7,425.9,424.55,425.9,157401
4,2019-08-01 09:35:00+05:30,425.9,426.3,425.4,425.75,190635
5,2019-08-01 09:40:00+05:30,425.75,426.0,425.0,425.2,151472
6,2019-08-01 09:45:00+05:30,425.2,425.3,424.45,425.1,121835
7,2019-08-01 09:50:00+05:30,425.0,425.5,424.5,424.75,117619
8,2019-08-01 09:55:00+05:30,424.7,425.35,424.65,425.2,90151
9,2019-08-01 10:00:00+05:30,425.2,425.25,424.0,424.05,97829
10,2019-08-01 10:05:00+05:30,424.0,424.05,422.7,422.85,163317
11,2019-08-01 10:10:00+05:30,422.8,423.6,421.8,422.95,255186
12,2019-08-01 10:15:00+05:30,422.85,423.45,422.2,423.2,155079
13,2019-08-01 10:20:00+05:30,423.2,424.0,422.5,422.85,194944
14,2019-08-01 10:25:00+05:30,422.8,423.25,421.9,422.45,243743
15,2019-08-01 10:30:00+05:30,422.45,422.85,421.9,422.3,202227
16,2019-08-01 10:35:00+05:30,422.3,422.65,421.75,422.0,203877
17,2019-08-01 10:40:00+05:30,421.95,422.2,421.2,421.95,865026
18,2019-08-01 10:45:00+05:30,422.05,422.5,420.5,420.85,976312
19,2019-08-01 10:50:00+05:30,420.65,421.05,419.25,419.9,556219
20,2019-08-01 10:55:00+05:30,419.95,420.15,419.05,419.05,399116
21,2019-08-01 11:00:00+05:30,419.05,419.65,418.4,419.45,368723
22,2019-08-01 11:05:00+05:30,419.5,421.25,419.45,420.8,211216
23,2019-08-01 11:10:00+05:30,420.8,421.45,420.7,421.3,154951
24,2019-08-01 11:15:00+05:30,421.3,422.2,421.0,421.15,153029
25,2019-08-01 11:20:00+05:30,421.1,421.2,420.45,420.65,139149
26,2019-08-01 11:25:00+05:30,420.65,421.1,420.45,420.55,152132
