,date,open,high,low,close,volume
0,2019-02-01 09:15:00+05:30,274.25,274.25,270.3,270.45,161500
1,2019-02-01 09:20:00+05:30,270.15,270.4,268.5,270.4,205159
2,2019-02-01 09:25:00+05:30,269.8,270.75,268.8,269.0,163835
3,2019-02-01 09:30:00+05:30,269.1,269.4,267.15,267.7,174355
4,2019-02-01 09:35:00+05:30,267.7,268.25,266.8,267.85,128573
5,2019-02-01 09:40:00+05:30,267.95,268.6,267.6,268.3,55067
6,2019-02-01 09:45:00+05:30,268.3,269.0,267.7,267.85,82789
7,2019-02-01 09:50:00+05:30,267.85,268.65,267.8,268.0,59441
8,2019-02-01 09:55:00+05:30,268.0,268.0,267.0,267.3,90110
9,2019-02-01 10:00:00+05:30,267.3,268.2,267.1,267.3,71373
10,2019-02-01 10:05:00+05:30,267.3,268.5,267.3,268.2,67712
11,2019-02-01 10:10:00+05:30,268.2,268.25,267.4,267.6,43973
12,2019-02-01 10:15:00+05:30,267.6,267.85,267.0,267.5,57995
13,2019-02-01 10:20:00+05:30,267.5,267.95,267.45,267.9,28652
14,2019-02-01 10:25:00+05:30,267.85,268.1,267.7,268.0,51052
15,2019-02-01 10:30:00+05:30,267.9,267.9,266.65,267.0,119460
16,2019-02-01 10:35:00+05:30,267.15,267.55,266.8,266.95,63463
17,2019-02-01 10:40:00+05:30,266.95,267.3,266.7,267.2,48356
18,2019-02-01 10:45:00+05:30,267.2,267.9,267.2,267.8,38315
19,2019-02-01 10:50:00+05:30,267.85,268.1,267.5,268.0,61279
20,2019-02-01 10:55:00+05:30,268.0,268.25,267.65,267.8,46707
21,2019-02-01 11:00:00+05:30,267.8,268.15,267.5,267.85,35867
22,2019-02-01 11:05:00+05:30,267.85,268.25,267.45,267.45,44753
23,2019-02-01 11:10:00+05:30,267.35,267.95,266.9,267.8,50314
24,2019-02-01 11:15:00+05:30,267.8,268.6,267.6,268.6,52730
25,2019-02-01 11:20:00+05:30,268.6,269.25,268.45,268.8,59036
26,2019-02-01 11:25:00+05:30,268.8,270.0,268.6,269.75,99679
27,2019-02-01 11:30:00+05:30,269.75,271.15,269.7,270.95,183056
28,2019-02-01 11:35:00+05:30,270.8,272.0,270.7,270.7,125148
29,2019-02-01 11:40:00+05:30,270.8,271.4,270.2,270.8,72698
30,2019-02-01 11:45:00+05:30,270.8,271.8,270.7,271.5,49502
31,2019-02-01 11:50:00+05:30,271.55,271.65,270.0,270.15,55849
32,2019-02-01 11:55:00+05:30,270.15,270.75,269.8,270.05,59949
33,2019-02-01 12:00:00+05:30,270.05,270.05,269.2,270.0,42964
34,2019-02-01 12:05:00+05:30,270.0,270.1,269.4,269.7,27044
35,2019-02-01 12:10:00+05:30,269.7,270.2,269.6,269.8,25489
36,2019-02-01 12:15:00+05:30,269.8,270.95,269.8,270.5,32764
37,2019-02-01 12:20:00+05:30,270.5,271.7,270.45,271.35,52893
38,2019-02-01 12:25:00+05:30,271.4,271.6,270.95,271.5,36681
39,2019-02-01 12:30:00+05:30,271.6,272.35,271.35,272.35,81590
40,2019-02-01 12:35:00+05:30,272.4,274.5,272.3,273.25,204793
41,2019-02-01 12:40:00+05:30,273.5,273.65,271.55,272.3,62540
42,2019-02-01 12:45:00+05:30,272.2,272.6,270.95,271.65,37400
43,2019-02-01 12:50:00+05:30,271.65,274.2,271.4,274.0,99230
44,2019-02-01 12:55:00+05:30,274.0,278.75,273.4,277.4,337960
45,2019-02-01 13:00:00+05:30,277.4,280.0,277.4,278.4,200016
46,2019-02-01 13:05:00+05:30,278.25,279.4,277.75,278.0,105327
47,2019-02-01 13:10:00+05:30,278.05,279.0,277.8,277.95,57002
48,2019-02-01 13:15:00+05:30,277.95,278.05,276.8,277.0,62112
49,2019-02-01 13:20:00+05:30,277.0,278.0,276.4,277.75,50059
50,2019-02-01 13:25:00+05:30,278.1,278.45,276.75,277.4,76798
51,2019-02-01 13:30:00+05:30,277.4,277.7,276.5,277.15,42383
52,2019-02-01 13:35:00+05:30,277.15,277.3,276.15,276.15,59732
53,2019-02-01 13:40:00+05:30,276.15,276.5,275.95,276.15,51328
54,2019-02-01 13:45:00+05:30,276.0,276.45,274.95,275.0,67355
55,2019-02-01 13:50:00+05:30,275.0,276.0,274.55,275.7,64314
56,2019-02-01 13:55:00+05:30,275.7,275.7,274.05,274.3,67274
57,2019-02-01 14:00:00+05:30,274.3,274.45,272.0,273.2,159194
58,2019-02-01 14:05:00+05:30,273.05,273.15,271.1,271.7,89115
59,2019-02-01 14:10:00+05:30,271.75,273.9,271.4,273.1,78871
60,2019-02-01 14:15:00+05:30,273.2,273.4,271.65,271.7,66028
61,2019-02-01 14:20:00+05:30,271.7,272.25,270.55,271.55,86238
62,2019-02-01 14:25:00+05:30,271.6,272.0,270.55,270.55,51736
63,2019-02-01 14:30:00+05:30,270.6,271.3,269.5,271.25,97132
64,2019-02-01 14:35:00+05:30,271.25,272.25,270.1,272.25,69600
65,2019-02-01 14:40:00+05:30,272.4,274.0,272.15,273.2,97799
66,2019-02-01 14:45:00+05:30,273.45,273.85,272.3,273.5,61689
67,2019-02-01 14:50:00+05:30,273.5,273.5,272.05,272.55,31680
68,2019-02-01 14:55:00+05:30,272.65,273.1,271.8,272.45,33403
69,2019-02-01 15:00:00+05:30,272.6,275.6,272.45,274.5,137668
70,2019-02-01 15:05:00+05:30,274.5,276.5,274.0,275.1,153545
71,2019-02-01 15:10:00+05:30,275.15,275.45,273.25,274.05,146070
72,2019-02-01 15:15:00+05:30,274.05,276.5,274.05,276.4,157299
73,2019-02-01 15:20:00+05:30,276.45,276.6,272.9,274.75,207729
74,2019-02-01 15:25:00+05:30,274.75,275.8,273.95,274.5,113251
75,2019-02-04 09:15:00+05:30,275.45,276.3,272.15,273.6,233919
76,2019-02-04 09:20:00+05:30,273.4,275.95,273.1,275.75,126016
77,2019-02-04 09:25:00+05:30,275.7,275.75,273.7,275.0,132270
78,2019-02-04 09:30:00+05:30,275.15,275.6,273.95,273.95,124858
79,2019-02-04 09:35:00+05:30,273.95,275.4,273.75,274.1,107494
80,2019-02-04 09:40:00+05:30,274.1,274.25,273.25,273.85,62915
81,2019-02-04 09:45:00+05:30,273.85,274.25,273.3,273.35,66915
82,2019-02-04 09:50:00+05:30,273.35,274.0,272.7,273.05,102832
83,2019-02-04 09:55:00+05:30,273.05,273.5,272.6,272.65,49785
84,2019-02-04 10:00:00+05:30,272.65,272.65,271.3,272.1,143627
85,2019-02-04 10:05:00+05:30,272.1,272.4,271.4,271.55,48548
