,date,open,high,low,close,volume
0,2019-02-01 09:15:00+05:30,533.15,533.15,526.95,531.05,285987
1,2019-02-01 09:20:00+05:30,530.95,531.35,523.9,524.85,182993
2,2019-02-01 09:25:00+05:30,524.8,527.35,524.45,526.4,71134
3,2019-02-01 09:30:00+05:30,526.05,526.45,524.0,524.85,52648
4,2019-02-01 09:35:00+05:30,524.95,525.35,521.45,521.45,107843
5,2019-02-01 09:40:00+05:30,521.85,522.4,516.95,520.0,114924
6,2019-02-01 09:45:00+05:30,519.85,522.25,519.35,521.5,53698
7,2019-02-01 09:50:00+05:30,521.5,522.45,520.15,522.35,29064
8,2019-02-01 09:55:00+05:30,523.25,523.35,521.65,522.65,43524
9,2019-02-01 10:00:00+05:30,522.95,524.2,522.65,524.0,36497
10,2019-02-01 10:05:00+05:30,524.0,524.65,521.65,522.35,47748
11,2019-02-01 10:10:00+05:30,522.35,523.25,521.35,521.85,23500
12,2019-02-01 10:15:00+05:30,521.85,521.95,520.2,521.5,28030
13,2019-02-01 10:20:00+05:30,521.5,522.15,520.65,520.85,25180
14,2019-02-01 10:25:00+05:30,520.85,521.8,519.35,519.85,32589
15,2019-02-01 10:30:00+05:30,519.85,520.0,517.55,520.0,57495
16,2019-02-01 10:35:00+05:30,520.0,521.0,519.65,520.25,23881
17,2019-02-01 10:40:00+05:30,520.25,521.0,519.15,520.05,22150
18,2019-02-01 10:45:00+05:30,520.05,522.6,520.0,522.35,32309
19,2019-02-01 10:50:00+05:30,522.35,522.85,521.75,522.45,20951
20,2019-02-01 10:55:00+05:30,522.55,522.55,521.85,522.45,12888
21,2019-02-01 11:00:00+05:30,522.45,522.65,521.75,522.0,15529
22,2019-02-01 11:05:00+05:30,521.95,522.65,521.85,522.0,25254
23,2019-02-01 11:10:00+05:30,522.15,522.25,520.0,520.6,20852
24,2019-02-01 11:15:00+05:30,520.6,521.35,519.15,520.85,19523
25,2019-02-01 11:20:00+05:30,520.85,522.65,520.65,522.4,35008
26,2019-02-01 11:25:00+05:30,522.4,524.0,522.35,523.0,39460
27,2019-02-01 11:30:00+05:30,523.15,523.2,522.65,522.85,21891
28,2019-02-01 11:35:00+05:30,522.75,524.4,522.65,524.35,32229
29,2019-02-01 11:40:00+05:30,524.0,524.35,522.65,522.65,31959
30,2019-02-01 11:45:00+05:30,522.85,523.6,522.65,523.35,22256
31,2019-02-01 11:50:00+05:30,523.35,523.6,522.0,522.0,21586
32,2019-02-01 11:55:00+05:30,522.0,522.25,520.15,520.2,34485
33,2019-02-01 12:00:00+05:30,520.2,522.0,520.2,521.75,46333
34,2019-02-01 12:05:00+05:30,521.85,523.0,521.75,522.0,19153
35,2019-02-01 12:10:00+05:30,522.05,522.05,520.65,521.45,17654
36,2019-02-01 12:15:00+05:30,521.45,522.6,521.35,522.05,10944
37,2019-02-01 12:20:00+05:30,522.05,523.15,522.0,522.3,10320
38,2019-02-01 12:25:00+05:30,522.3,522.6,522.0,522.55,14617
39,2019-02-01 12:30:00+05:30,522.55,523.05,522.2,522.45,9536
40,2019-02-01 12:35:00+05:30,522.6,525.75,522.45,524.8,44435
41,2019-02-01 12:40:00+05:30,525.05,525.05,522.0,522.4,34026
42,2019-02-01 12:45:00+05:30,522.35,523.85,522.0,522.5,49697
43,2019-02-01 12:50:00+05:30,522.5,524.5,522.15,524.0,20425
44,2019-02-01 12:55:00+05:30,523.8,524.25,523.2,523.6,21027
45,2019-02-01 13:00:00+05:30,523.6,525.35,523.6,524.45,27691
