,date,open,high,low,close,volume
0,2019-01-01 09:15:00+05:30,124.13,124.13,123.46,123.67,23650
1,2019-01-01 09:20:00+05:30,123.67,124.63,123.42,124.63,37709
2,2019-01-01 09:25:00+05:30,124.63,124.67,123.92,124.13,25982
3,2019-01-01 09:30:00+05:30,124.13,124.17,123.79,123.83,46010
4,2019-01-01 09:35:00+05:30,123.83,123.92,123.67,123.79,32815
5,2019-01-01 09:40:00+05:30,123.79,123.88,123.71,123.75,6938
6,2019-01-01 09:45:00+05:30,123.75,123.75,123.63,123.75,11773
7,2019-01-01 09:50:00+05:30,123.75,123.75,123.58,123.58,9570
8,2019-01-01 09:55:00+05:30,123.63,123.63,123.33,123.33,39638
9,2019-01-01 10:00:00+05:30,123.33,123.63,123.17,123.63,57897
10,2019-01-01 10:05:00+05:30,123.63,123.63,123.42,123.54,37297
11,2019-01-01 10:10:00+05:30,123.54,123.54,123.38,123.38,32248
12,2019-01-01 10:15:00+05:30,123.38,123.54,123.38,123.54,9105
13,2019-01-01 10:20:00+05:30,123.54,123.58,123.38,123.5,14430
14,2019-01-01 10:25:00+05:30,123.5,123.5,123.38,123.5,5089
15,2019-01-01 10:30:00+05:30,123.5,123.54,123.33,123.38,14615
16,2019-01-01 10:35:00+05:30,123.38,123.5,123.38,123.46,15570
17,2019-01-01 10:40:00+05:30,123.42,123.46,123.17,123.25,32299
18,2019-01-01 10:45:00+05:30,123.21,123.42,123.21,123.42,8080
19,2019-01-01 10:50:00+05:30,123.29,123.46,123.29,123.38,11956
20,2019-01-01 10:55:00+05:30,123.42,123.42,123.25,123.29,24108
21,2019-01-01 11:00:00+05:30,123.29,123.33,123.21,123.29,12658
22,2019-01-01 11:05:00+05:30,123.29,123.42,123.25,123.25,24017
23,2019-01-01 11:10:00+05:30,123.25,123.33,123.17,123.25,41299
24,2019-01-01 11:15:00+05:30,123.25,123.25,123.0,123.04,25960
25,2019-01-01 11:20:00+05:30,123.08,123.17,123.0,123.0,20564
26,2019-01-01 11:25:00+05:30,123.0,123.17,123.0,123.17,18017
27,2019-01-01 11:30:00+05:30,123.17,123.17,123.0,123.04,20769
28,2019-01-01 11:35:00+05:30,123.04,123.21,123.0,123.13,21527
29,2019-01-01 11:40:00+05:30,123.13,123.21,123.08,123.13,17405
30,2019-01-01 11:45:00+05:30,123.13,123.21,123.04,123.04,13490
31,2019-01-01 11:50:00+05:30,123.04,123.13,123.0,123.0,14945
32,2019-01-01 11:55:00+05:30,123.04,123.13,123.0,123.13,19099
33,2019-01-01 12:00:00+05:30,123.13,123.13,122.88,123.0,34333
34,2019-01-01 12:05:00+05:30,122.92,123.04,122.88,122.88,15563
35,2019-01-01 12:10:00+05:30,122.88,123.0,122.88,122.92,17895
36,2019-01-01 12:15:00+05:30,122.92,123.0,122.88,122.96,34115
37,2019-01-01 12:20:00+05:30,122.96,123.04,122.92,122.92,23689
38,2019-01-01 12:25:00+05:30,122.92,123.08,122.92,123.08,30537
39,2019-01-01 12:30:00+05:30,123.08,123.13,122.96,122.96,37065
40,2019-01-01 12:35:00+05:30,122.96,123.13,122.92,122.96,41885
41,2019-01-01 12:40:00+05:30,123.08,123.08,122.88,122.92,17320
42,2019-01-01 12:45:00+05:30,122.92,122.92,122.83,122.88,18423
43,2019-01-01 12:50:00+05:30,122.88,123.0,122.88,122.88,11149
44,2019-01-01 12:55:00+05:30,122.88,123.0,122.88,122.96,10194
45,2019-01-01 13:00:00+05:30,122.92,123.0,122.92,122.96,14257
46,2019-01-01 13:05:00+05:30,122.96,123.0,122.92,122.92,13718
47,2019-01-01 13:10:00+05:30,122.92,123.0,122.92,123.0,14078
48,2019-01-01 13:15:00+05:30,122.92,123.0,122.88,122.92,14252
49,2019-01-01 13:20:00+05:30,122.92,122.96,122.83,122.83,15263
50,2019-01-01 13:25:00+05:30,122.88,122.96,122.79,122.88,28171
51,2019-01-01 13:30:00+05:30,122.88,123.04,122.21,122.38,276475
52,2019-01-01 13:35:00+05:30,122.38,122.46,122.17,122.38,55373
53,2019-01-01 13:40:00+05:30,122.38,122.58,122.33,122.42,64865
54,2019-01-01 13:45:00+05:30,122.42,122.54,122.42,122.5,69721
55,2019-01-01 13:50:00+05:30,122.5,122.63,122.33,122.42,38277
56,2019-01-01 13:55:00+05:30,122.46,122.46,122.33,122.42,47997
57,2019-01-01 14:00:00+05:30,122.42,122.54,122.42,122.42,35395
58,2019-01-01 14:05:00+05:30,122.42,122.54,122.33,122.46,43881
59,2019-01-01 14:10:00+05:30,122.54,122.63,122.42,122.58,48203
60,2019-01-01 14:15:00+05:30,122.63,122.83,122.54,122.79,64199
61,2019-01-01 14:20:00+05:30,122.83,122.92,122.75,122.75,67552
62,2019-01-01 14:25:00+05:30,122.83,122.96,122.75,122.92,54816
63,2019-01-01 14:30:00+05:30,122.92,123.13,122.83,123.0,87433
64,2019-01-01 14:35:00+05:30,123.0,123.08,122.92,123.0,55020
65,2019-01-01 14:40:00+05:30,123.0,123.21,123.0,123.08,81407
66,2019-01-01 14:45:00+05:30,123.17,123.46,123.08,123.38,110524
67,2019-01-01 14:50:00+05:30,123.46,123.46,123.08,123.42,98763
68,2019-01-01 14:55:00+05:30,123.33,123.63,123.21,123.58,133036
69,2019-01-01 15:00:00+05:30,123.58,123.79,123.54,123.75,116760
70,2019-01-01 15:05:00+05:30,123.75,123.88,123.67,123.83,114135
71,2019-01-01 15:10:00+05:30,123.79,124.17,123.75,124.17,129719
72,2019-01-01 15:15:00+05:30,124.04,124.17,123.5,124.04,217731
73,2019-01-01 15:20:00+05:30,124.17,124.29,123.96,124.25,129145
74,2019-01-01 15:25:00+05:30,124.25,124.33,123.83,124.0,60587
75,2019-01-02 09:15:00+05:30,123.29,123.92,123.17,123.17,48566
76,2019-01-02 09:20:00+05:30,123.17,123.33,123.0,123.04,29890
77,2019-01-02 09:25:00+05:30,123.0,123.17,122.83,122.96,42460
78,2019-01-02 09:30:00+05:30,122.96,123.0,122.75,122.88,23454
79,2019-01-02 09:35:00+05:30,122.92,123.0,122.83,122.92,10382
80,2019-01-02 09:40:00+05:30,122.92,122.92,122.71,122.75,25030
81,2019-01-02 09:45:00+05:30,122.75,123.04,122.75,123.04,14989
82,2019-01-02 09:50:00+05:30,123.04,123.04,122.79,123.0,22862
83,2019-01-02 09:55:00+05:30,123.0,123.04,122.88,123.0,14470
84,2019-01-02 10:00:00+05:30,122.96,123.13,122.92,123.0,8379
85,2019-01-02 10:05:00+05:30,123.0,123.04,122.88,122.96,10698
86,2019-01-02 10:10:00+05:30,123.0,123.17,122.96,123.08,8802
87,2019-01-02 10:15:00+05:30,123.08,123.33,123.08,123.33,17916
88,2019-01-02 10:20:00+05:30,123.33,123.5,123.21,123.29,29266
89,2019-01-02 10:25:00+05:30,123.29,123.33,123.17,123.17,13046
90,2019-01-02 10:30:00+05:30,123.17,123.29,123.17,123.25,3232
91,2019-01-02 10:35:00+05:30,123.25,123.33,122.96,123.0,21551
92,2019-01-02 10:40:00+05:30,123.0,123.04,122.83,122.96,27905
93,2019-01-02 10:45:00+05:30,122.96,123.04,122.83,122.83,9309
94,2019-01-02 10:50:00+05:30,122.83,122.96,122.79,122.83,17498
95,2019-01-02 10:55:00+05:30,122.83,122.96,122.75,122.75,16362
96,2019-01-02 11:00:00+05:30,122.79,123.04,122.75,122.92,21459
97,2019-01-02 11:05:00+05:30,122.92,123.04,122.83,122.83,22332
98,2019-01-02 11:10:00+05:30,122.83,122.92,122.71,122.83,24191
99,2019-01-02 11:15:00+05:30,122.83,123.25,122.79,123.17,108508
100,2019-01-02 11:20:00+05:30,123.17,123.25,122.92,123.04,54145
101,2019-01-02 11:25:00+05:30,123.04,123.13,122.83,122.83,40168
102,2019-01-02 11:30:00+05:30,122.83,122.96,122.5,122.71,98850
103,2019-01-02 11:35:00+05:30,122.71,122.88,122.63,122.79,25337
104,2019-01-02 11:40:00+05:30,122.79,122.88,122.58,122.71,38702
105,2019-01-02 11:45:00+05:30,122.71,122.83,122.54,122.67,57019
106,2019-01-02 11:50:00+05:30,122.67,122.75,122.63,122.63,15971
107,2019-01-02 11:55:00+05:30,122.63,122.83,122.63,122.67,30011
108,2019-01-02 12:00:00+05:30,122.67,122.83,122.67,122.75,16622
109,2019-01-02 12:05:00+05:30,122.75,122.88,122.67,122.88,38623
110,2019-01-02 12:10:00+05:30,122.88,123.04,122.83,122.96,24997
111,2019-01-02 12:15:00+05:30,122.96,123.04,122.92,122.92,21199
112,2019-01-02 12:20:00+05:30,122.92,123.0,122.63,122.67,35217
113,2019-01-02 12:25:00+05:30,122.67,122.88,122.67,122.75,28384
114,2019-01-02 12:30:00+05:30,122.75,122.83,122.63,122.67,33632
115,2019-01-02 12:35:00+05:30,122.67,122.71,122.54,122.58,38868
116,2019-01-02 12:40:00+05:30,122.58,122.63,122.21,122.25,457746
117,2019-01-02 12:45:00+05:30,122.25,122.58,122.08,122.46,75917
118,2019-01-02 12:50:00+05:30,122.54,122.58,122.46,122.54,19682
119,2019-01-02 12:55:00+05:30,122.58,122.67,122.5,122.54,15853
120,2019-01-02 13:00:00+05:30,122.58,122.67,122.5,122.54,9229
121,2019-01-02 13:05:00+05:30,122.54,122.58,122.5,122.54,22689
122,2019-01-02 13:10:00+05:30,122.54,122.58,122.5,122.5,14144
123,2019-01-02 13:15:00+05:30,122.54,122.58,122.5,122.54,15583
124,2019-01-02 13:20:00+05:30,122.58,122.58,122.46,122.5,46214
125,2019-01-02 13:25:00+05:30,122.54,122.58,122.5,122.5,30053
126,2019-01-02 13:30:00+05:30,122.54,122.63,122.5,122.5,32749
127,2019-01-02 13:35:00+05:30,122.58,122.63,122.33,122.5,86482
128,2019-01-02 13:40:00+05:30,122.58,122.58,122.5,122.5,35196
129,2019-01-02 13:45:00+05:30,122.58,122.58,122.46,122.5,128995
130,2019-01-02 13:50:00+05:30,122.5,122.54,122.46,122.5,130292
131,2019-01-02 13:55:00+05:30,122.5,122.88,122.42,122.58,94186
132,2019-01-02 14:00:00+05:30,122.58,122.67,122.5,122.5,256738
133,2019-01-02 14:05:00+05:30,122.58,122.71,122.46,122.71,115729
134,2019-01-02 14:10:00+05:30,122.63,122.71,122.08,122.21,79996
135,2019-01-02 14:15:00+05:30,122.21,122.33,121.79,122.04,186593
136,2019-01-02 14:20:00+05:30,121.96,122.33,121.83,122.29,86271
137,2019-01-02 14:25:00+05:30,122.17,122.42,122.08,122.42,71154
138,2019-01-02 14:30:00+05:30,122.38,122.83,122.29,122.71,122759
139,2019-01-02 14:35:00+05:30,122.83,122.83,122.58,122.63,56838
140,2019-01-02 14:40:00+05:30,122.71,122.83,122.5,122.67,84431
141,2019-01-02 14:45:00+05:30,122.67,122.79,122.38,122.5,69260
142,2019-01-02 14:50:00+05:30,122.5,122.71,122.42,122.58,71117
143,2019-01-02 14:55:00+05:30,122.67,122.79,122.5,122.79,85797
144,2019-01-02 15:00:00+05:30,122.79,122.96,122.67,122.92,98190
145,2019-01-02 15:05:00+05:30,122.92,122.92,122.67,122.79,64387
146,2019-01-02 15:10:00+05:30,122.79,122.79,122.54,122.67,107771
147,2019-01-02 15:15:00+05:30,122.71,122.71,122.13,122.42,183893
148,2019-01-02 15:20:00+05:30,122.38,122.58,122.0,122.0,133666
149,2019-01-02 15:25:00+05:30,122.0,122.25,121.79,122.17,52187
150,2019-01-03 09:15:00+05:30,122.5,122.54,121.67,122.08,122384
151,2019-01-03 09:20:00+05:30,122.13,122.13,121.71,121.92,142586
152,2019-01-03 09:25:00+05:30,121.92,122.21,121.88,121.96,41762
153,2019-01-03 09:30:00+05:30,121.92,122.17,121.75,121.96,68776
154,2019-01-03 09:35:00+05:30,121.96,122.13,121.83,122.0,43409
155,2019-01-03 09:40:00+05:30,121.92,122.08,121.75,122.0,54256
156,2019-01-03 09:45:00+05:30,122.0,122.17,121.92,122.0,48969
157,2019-01-03 09:50:00+05:30,122.0,122.04,121.92,121.92,20221
158,2019-01-03 09:55:00+05:30,121.88,121.96,121.71,121.92,34733
159,2019-01-03 10:00:00+05:30,121.88,122.08,121.88,122.0,16141
160,2019-01-03 10:05:00+05:30,122.0,122.04,121.79,121.83,18760
161,2019-01-03 10:10:00+05:30,121.83,122.0,121.83,122.0,12003
162,2019-01-03 10:15:00+05:30,122.0,122.08,121.92,122.0,18789
163,2019-01-03 10:20:00+05:30,122.0,122.04,121.88,121.88,11497
164,2019-01-03 10:25:00+05:30,121.88,122.0,121.88,121.92,12177
165,2019-01-03 10:30:00+05:30,121.92,121.96,121.67,121.67,23000
166,2019-01-03 10:35:00+05:30,121.67,121.79,121.33,121.33,48688
167,2019-01-03 10:40:00+05:30,121.42,121.42,121.08,121.17,46995
168,2019-01-03 10:45:00+05:30,121.29,121.29,121.08,121.17,27581
