,date,open,high,low,close,volume
0,2019-07-01 09:15:00+05:30,274.4,275.1,274.4,275.05,296998
1,2019-07-01 09:20:00+05:30,275.0,275.15,274.95,275.0,121289
2,2019-07-01 09:25:00+05:30,275.0,275.45,274.95,275.3,97836
3,2019-07-01 09:30:00+05:30,275.35,275.8,275.3,275.6,97174
4,2019-07-01 09:35:00+05:30,275.65,275.85,275.3,275.45,80696
5,2019-07-01 09:40:00+05:30,275.45,275.5,275.2,275.2,87440
6,2019-07-01 09:45:00+05:30,275.2,275.25,274.8,275.2,84087
7,2019-07-01 09:50:00+05:30,275.2,275.25,274.85,274.95,55626
8,2019-07-01 09:55:00+05:30,275.05,275.4,274.95,275.15,55111
9,2019-07-01 10:00:00+05:30,275.25,275.25,274.9,275.1,34667
10,2019-07-01 10:05:00+05:30,275.1,275.35,275.0,275.3,26873
11,2019-07-01 10:10:00+05:30,275.3,275.45,275.15,275.3,24889
12,2019-07-01 10:15:00+05:30,275.3,275.5,275.05,275.2,35108
13,2019-07-01 10:20:00+05:30,275.2,275.35,275.05,275.15,24446
14,2019-07-01 10:25:00+05:30,275.15,275.2,274.95,275.2,46935
15,2019-07-01 10:30:00+05:30,275.2,275.35,275.05,275.2,61271
16,2019-07-01 10:35:00+05:30,275.2,275.3,275.0,275.25,53079
17,2019-07-01 10:40:00+05:30,275.25,275.25,275.05,275.25,27635
18,2019-07-01 10:45:00+05:30,275.25,275.35,275.2,275.2,19176
19,2019-07-01 10:50:00+05:30,275.25,275.3,275.1,275.25,20611
20,2019-07-01 10:55:00+05:30,275.25,275.3,275.1,275.3,28867
21,2019-07-01 11:00:00+05:30,275.3,275.65,275.25,275.6,54942
22,2019-07-01 11:05:00+05:30,275.6,275.75,275.5,275.7,43678
23,2019-07-01 11:10:00+05:30,275.7,275.75,275.5,275.7,29992
24,2019-07-01 11:15:00+05:30,275.7,276.0,275.3,276.0,141400
25,2019-07-01 11:20:00+05:30,276.0,276.25,275.8,276.2,75936
26,2019-07-01 11:25:00+05:30,276.2,276.25,276.0,276.15,49961
27,2019-07-01 11:30:00+05:30,276.15,276.2,275.5,275.95,66754
28,2019-07-01 11:35:00+05:30,275.95,275.95,275.25,275.35,57058
29,2019-07-01 11:40:00+05:30,275.4,275.8,275.35,275.45,25033
30,2019-07-01 11:45:00+05:30,275.45,275.75,275.35,275.65,24728
31,2019-07-01 11:50:00+05:30,275.65,275.75,275.5,275.55,22706
32,2019-07-01 11:55:00+05:30,275.55,275.75,275.5,275.7,22381
33,2019-07-01 12:00:00+05:30,275.7,275.75,275.55,275.65,15663
34,2019-07-01 12:05:00+05:30,275.65,276.15,275.45,275.95,91537
35,2019-07-01 12:10:00+05:30,276.1,276.25,275.85,275.9,50866
36,2019-07-01 12:15:00+05:30,275.9,276.0,275.65,275.8,41641
37,2019-07-01 12:20:00+05:30,275.8,276.0,275.55,275.75,28186
38,2019-07-01 12:25:00+05:30,275.75,276.0,275.7,275.85,42323
39,2019-07-01 12:30:00+05:30,275.85,276.05,275.3,275.35,82681
40,2019-07-01 12:35:00+05:30,275.35,275.7,275.3,275.55,27175
41,2019-07-01 12:40:00+05:30,275.55,275.65,275.5,275.65,24740
42,2019-07-01 12:45:00+05:30,275.65,275.65,275.05,275.2,101742
43,2019-07-01 12:50:00+05:30,275.2,275.3,275.1,275.3,39752
44,2019-07-01 12:55:00+05:30,275.3,275.45,274.9,275.0,83114
45,2019-07-01 13:00:00+05:30,275.0,275.1,274.8,274.95,43465
46,2019-07-01 13:05:00+05:30,274.95,275.1,274.85,275.05,41969
47,2019-07-01 13:10:00+05:30,275.05,275.05,274.6,274.7,50959
48,2019-07-01 13:15:00+05:30,274.7,274.7,274.15,274.55,101207
49,2019-07-01 13:20:00+05:30,274.55,274.6,274.4,274.5,49207
50,2019-07-01 13:25:00+05:30,274.5,274.55,274.25,274.5,45496
51,2019-07-01 13:30:00+05:30,274.55,274.85,274.5,274.55,51438
52,2019-07-01 13:35:00+05:30,274.55,274.8,274.55,274.6,47029
53,2019-07-01 13:40:00+05:30,274.6,274.8,274.4,274.55,53586
54,2019-07-01 13:45:00+05:30,274.7,274.95,274.55,274.8,37556
55,2019-07-01 13:50:00+05:30,274.9,275.0,274.75,274.9,37910
56,2019-07-01 13:55:00+05:30,275.0,275.2,274.9,275.0,43064
57,2019-07-01 14:00:00+05:30,275.05,275.25,274.95,275.05,33448
58,2019-07-01 14:05:00+05:30,275.2,275.4,275.05,275.4,40350
59,2019-07-01 14:10:00+05:30,275.4,275.4,275.05,275.3,32126
60,2019-07-01 14:15:00+05:30,275.3,275.3,274.85,274.95,39088
61,2019-07-01 14:20:00+05:30,275.0,275.55,274.95,275.5,73833
62,2019-07-01 14:25:00+05:30,275.5,275.55,274.95,275.05,163609
63,2019-07-01 14:30:00+05:30,275.0,275.0,274.55,274.9,55062
64,2019-07-01 14:35:00+05:30,274.9,275.1,274.85,275.0,35691
