,date,open,high,low,close,volume
0,2019-07-01 09:15:00+05:30,630.0,637.75,630.0,633.75,217072
1,2019-07-01 09:20:00+05:30,634.15,634.15,630.0,630.3,128164
2,2019-07-01 09:25:00+05:30,630.25,631.65,627.55,631.0,84509
3,2019-07-01 09:30:00+05:30,631.0,631.15,628.65,630.1,43858
4,2019-07-01 09:35:00+05:30,630.0,630.1,627.4,627.85,42977
5,2019-07-01 09:40:00+05:30,627.85,628.6,627.45,627.75,27243
6,2019-07-01 09:45:00+05:30,627.85,629.35,627.45,628.6,30156
7,2019-07-01 09:50:00+05:30,628.6,629.0,625.55,626.35,51310
8,2019-07-01 09:55:00+05:30,626.35,627.35,626.05,626.25,26553
9,2019-07-01 10:00:00+05:30,626.45,628.35,626.15,628.05,23339
10,2019-07-01 10:05:00+05:30,628.05,628.15,626.65,627.5,16677
11,2019-07-01 10:10:00+05:30,627.5,627.75,624.65,626.05,30300
12,2019-07-01 10:15:00+05:30,626.15,626.55,623.9,624.8,28555
13,2019-07-01 10:20:00+05:30,624.65,626.55,624.65,626.2,34230
14,2019-07-01 10:25:00+05:30,626.0,628.65,625.95,628.65,46364
15,2019-07-01 10:30:00+05:30,628.65,629.6,628.35,629.5,38188
16,2019-07-01 10:35:00+05:30,629.35,629.65,629.0,629.0,20057
17,2019-07-01 10:40:00+05:30,628.65,629.25,628.2,628.95,14869
18,2019-07-01 10:45:00+05:30,629.05,629.05,628.25,628.75,10598
19,2019-07-01 10:50:00+05:30,628.75,628.85,626.65,627.0,22667
20,2019-07-01 10:55:00+05:30,627.0,628.05,626.8,627.75,8213
21,2019-07-01 11:00:00+05:30,627.75,628.85,627.35,628.5,10437
22,2019-07-01 11:05:00+05:30,628.5,628.8,628.45,628.6,11366
23,2019-07-01 11:10:00+05:30,628.6,630.35,628.15,630.15,42810
24,2019-07-01 11:15:00+05:30,630.35,631.85,630.0,630.35,32555
25,2019-07-01 11:20:00+05:30,630.35,630.75,630.0,630.75,16613
26,2019-07-01 11:25:00+05:30,630.75,631.2,630.4,631.2,14179
27,2019-07-01 11:30:00+05:30,631.2,631.65,630.8,631.3,15386
28,2019-07-01 11:35:00+05:30,631.3,631.9,631.2,631.9,8903
29,2019-07-01 11:40:00+05:30,631.9,635.1,631.45,634.55,123548
30,2019-07-01 11:45:00+05:30,634.55,634.55,634.0,634.0,64947
31,2019-07-01 11:50:00+05:30,634.0,636.7,634.0,635.75,70642
32,2019-07-01 11:55:00+05:30,635.95,635.95,634.0,634.15,78355
33,2019-07-01 12:00:00+05:30,634.15,635.35,634.0,634.65,22405
34,2019-07-01 12:05:00+05:30,634.65,635.05,634.0,634.75,12738
35,2019-07-01 12:10:00+05:30,635.0,635.05,634.0,634.1,15090
36,2019-07-01 12:15:00+05:30,634.1,634.25,633.2,633.75,67602
37,2019-07-01 12:20:00+05:30,633.75,634.15,632.7,633.85,26279
38,2019-07-01 12:25:00+05:30,633.85,635.3,633.85,634.55,18263
39,2019-07-01 12:30:00+05:30,634.55,636.15,634.5,635.65,24742
40,2019-07-01 12:35:00+05:30,635.65,636.55,634.2,634.35,24381
41,2019-07-01 12:40:00+05:30,634.35,634.35,633.35,633.75,24332
42,2019-07-01 12:45:00+05:30,633.75,634.55,633.55,634.55,9291
43,2019-07-01 12:50:00+05:30,634.4,634.55,633.0,633.65,30943
44,2019-07-01 12:55:00+05:30,633.35,633.65,633.0,633.35,13100
45,2019-07-01 13:00:00+05:30,633.35,633.85,631.5,632.35,51444
46,2019-07-01 13:05:00+05:30,632.35,633.0,631.65,632.85,33156
47,2019-07-01 13:10:00+05:30,632.85,632.85,630.35,631.1,34539
48,2019-07-01 13:15:00+05:30,631.15,631.5,630.4,631.15,24403
49,2019-07-01 13:20:00+05:30,630.85,630.85,629.5,630.55,28354
50,2019-07-01 13:25:00+05:30,630.55,632.0,629.8,631.95,18184
51,2019-07-01 13:30:00+05:30,631.95,634.0,631.7,633.65,55550
52,2019-07-01 13:35:00+05:30,633.65,633.65,633.15,633.45,29429
53,2019-07-01 13:40:00+05:30,633.45,633.85,633.35,633.6,7485
54,2019-07-01 13:45:00+05:30,633.65,634.45,632.75,633.75,29396
55,2019-07-01 13:50:00+05:30,633.75,635.0,633.65,634.2,28426
56,2019-07-01 13:55:00+05:30,634.2,634.2,633.35,633.75,15998
57,2019-07-01 14:00:00+05:30,633.7,634.0,633.35,633.7,9790
58,2019-07-01 14:05:00+05:30,633.7,633.8,632.15,632.9,22896
59,2019-07-01 14:10:00+05:30,632.75,633.8,632.75,633.55,13583
60,2019-07-01 14:15:00+05:30,633.55,633.55,632.65,632.9,39958
61,2019-07-01 14:20:00+05:30,632.9,634.0,632.7,633.35,9290
62,2019-07-01 14:25:00+05:30,633.35,633.85,633.15,633.2,11243
63,2019-07-01 14:30:00+05:30,633.2,633.2,632.35,632.5,30571
64,2019-07-01 14:35:00+05:30,632.5,633.25,632.0,632.95,42054
65,2019-07-01 14:40:00+05:30,632.95,633.0,632.0,632.25,21314
66,2019-07-01 14:45:00+05:30,632.25,632.45,631.35,631.6,25729
67,2019-07-01 14:50:00+05:30,631.6,633.65,631.45,633.35,27983
68,2019-07-01 14:55:00+05:30,633.5,633.65,632.65,632.85,33460
69,2019-07-01 15:00:00+05:30,632.85,632.95,631.35,632.15,32837
70,2019-07-01 15:05:00+05:30,632.2,632.85,631.65,632.85,32754
71,2019-07-01 15:10:00+05:30,632.85,633.6,632.1,632.65,66617
72,2019-07-01 15:15:00+05:30,632.9,633.6,632.0,632.55,82423
73,2019-07-01 15:20:00+05:30,632.35,632.45,631.35,631.5,59670
74,2019-07-01 15:25:00+05:30,631.5,632.0,629.35,630.0,42657
75,2019-07-02 09:15:00+05:30,637.4,639.0,629.85,637.45,414377
76,2019-07-02 09:20:00+05:30,637.1,646.95,637.0,646.4,402822
77,2019-07-02 09:25:00+05:30,646.6,646.6,640.9,641.25,219676
78,2019-07-02 09:30:00+05:30,640.95,643.0,639.1,642.2,181679
79,2019-07-02 09:35:00+05:30,642.2,642.8,640.0,641.85,82245
80,2019-07-02 09:40:00+05:30,641.45,642.5,640.5,642.45,56757
81,2019-07-02 09:45:00+05:30,642.15,643.65,642.15,642.15,71021
82,2019-07-02 09:50:00+05:30,642.5,645.7,642.25,645.6,118360
83,2019-07-02 09:55:00+05:30,645.5,647.35,644.15,647.15,130282
84,2019-07-02 10:00:00+05:30,647.1,649.9,646.05,649.7,212225
85,2019-07-02 10:05:00+05:30,649.7,652.7,647.25,647.8,450104
86,2019-07-02 10:10:00+05:30,647.85,651.45,647.8,649.5,156465
87,2019-07-02 10:15:00+05:30,649.5,652.0,649.15,651.3,106828
88,2019-07-02 10:20:00+05:30,651.3,652.0,649.5,649.55,108485
89,2019-07-02 10:25:00+05:30,649.55,651.6,649.4,651.35,54737
90,2019-07-02 10:30:00+05:30,651.35,651.4,648.65,648.9,88350
91,2019-07-02 10:35:00+05:30,649.0,649.9,645.9,648.15,130296
92,2019-07-02 10:40:00+05:30,648.15,650.95,647.8,650.0,52639
93,2019-07-02 10:45:00+05:30,650.0,650.5,649.0,649.5,39686
94,2019-07-02 10:50:00+05:30,649.5,649.6,648.45,649.2,34037
95,2019-07-02 10:55:00+05:30,649.2,649.75,648.45,648.8,25352
96,2019-07-02 11:00:00+05:30,648.8,649.6,646.85,649.05,73492
97,2019-07-02 11:05:00+05:30,648.45,650.4,648.45,649.5,211358
98,2019-07-02 11:10:00+05:30,649.5,649.65,648.5,648.9,15387
99,2019-07-02 11:15:00+05:30,648.9,649.7,648.7,649.5,21181
100,2019-07-02 11:20:00+05:30,649.5,649.7,648.6,648.85,16242
101,2019-07-02 11:25:00+05:30,648.85,649.0,648.5,648.8,14845
102,2019-07-02 11:30:00+05:30,648.8,650.25,648.8,649.3,142143
103,2019-07-02 11:35:00+05:30,649.3,649.65,649.0,649.3,20861
104,2019-07-02 11:40:00+05:30,649.45,649.7,647.3,648.3,43624
105,2019-07-02 11:45:00+05:30,648.3,649.5,648.0,649.0,23436
106,2019-07-02 11:50:00+05:30,648.9,650.5,648.6,649.85,97077
