,date,open,high,low,close,volume
0,2019-07-01 09:15:00+05:30,177.0,177.1,175.75,175.75,369764
1,2019-07-01 09:20:00+05:30,175.85,176.4,175.3,176.35,267255
2,2019-07-01 09:25:00+05:30,176.3,176.7,176.1,176.3,165755
3,2019-07-01 09:30:00+05:30,176.25,176.6,176.0,176.05,123684
4,2019-07-01 09:35:00+05:30,176.05,176.15,174.85,174.95,275187
5,2019-07-01 09:40:00+05:30,174.95,175.7,174.95,175.7,61366
6,2019-07-01 09:45:00+05:30,175.7,176.1,175.5,175.8,69029
7,2019-07-01 09:50:00+05:30,175.8,175.9,175.1,175.25,55183
8,2019-07-01 09:55:00+05:30,175.2,175.45,174.6,174.95,228348
9,2019-07-01 10:00:00+05:30,174.85,175.35,174.75,175.15,64456
10,2019-07-01 10:05:00+05:30,175.15,175.25,174.95,175.0,69699
11,2019-07-01 10:10:00+05:30,175.0,175.25,174.8,175.25,26948
12,2019-07-01 10:15:00+05:30,175.25,175.9,175.15,175.65,85322
13,2019-07-01 10:20:00+05:30,175.65,175.7,175.05,175.45,34012
14,2019-07-01 10:25:00+05:30,175.45,175.75,175.4,175.65,20369
15,2019-07-01 10:30:00+05:30,175.65,175.8,175.35,175.4,36592
16,2019-07-01 10:35:00+05:30,174.9,175.0,174.1,174.35,211688
17,2019-07-01 10:40:00+05:30,174.35,174.75,174.25,174.7,64933
18,2019-07-01 10:45:00+05:30,174.7,174.95,174.5,174.8,34709
19,2019-07-01 10:50:00+05:30,174.9,175.2,174.75,175.1,52964
20,2019-07-01 10:55:00+05:30,175.1,175.1,174.95,175.05,14661
21,2019-07-01 11:00:00+05:30,175.05,175.05,174.45,174.5,42024
22,2019-07-01 11:05:00+05:30,174.5,175.0,174.5,174.95,27957
23,2019-07-01 11:10:00+05:30,174.85,174.95,174.65,174.75,30302
24,2019-07-01 11:15:00+05:30,174.75,175.1,174.7,175.1,56588
25,2019-07-01 11:20:00+05:30,175.1,175.1,174.8,174.9,37151
26,2019-07-01 11:25:00+05:30,174.9,174.95,174.8,174.9,23442
27,2019-07-01 11:30:00+05:30,174.95,174.95,174.4,174.55,44922
28,2019-07-01 11:35:00+05:30,174.55,174.8,173.75,174.2,203065
29,2019-07-01 11:40:00+05:30,174.2,174.4,173.8,174.0,56160
30,2019-07-01 11:45:00+05:30,174.0,174.15,173.85,173.95,42677
31,2019-07-01 11:50:00+05:30,173.9,174.0,173.3,173.9,93891
32,2019-07-01 11:55:00+05:30,173.9,174.15,173.55,173.75,46827
33,2019-07-01 12:00:00+05:30,173.75,173.95,173.5,173.55,25626
34,2019-07-01 12:05:00+05:30,173.55,173.9,173.5,173.7,46223
35,2019-07-01 12:10:00+05:30,173.7,173.8,173.5,173.75,30410
36,2019-07-01 12:15:00+05:30,173.75,173.8,173.45,173.7,36348
37,2019-07-01 12:20:00+05:30,173.7,173.75,173.1,173.65,87406
38,2019-07-01 12:25:00+05:30,173.7,173.75,173.55,173.7,26264
39,2019-07-01 12:30:00+05:30,173.7,174.15,173.65,174.0,131070
40,2019-07-01 12:35:00+05:30,174.0,174.15,173.5,173.55,51475
41,2019-07-01 12:40:00+05:30,173.55,173.75,173.4,173.65,37275
42,2019-07-01 12:45:00+05:30,173.65,173.75,173.6,173.75,14158
43,2019-07-01 12:50:00+05:30,173.75,174.1,173.5,173.5,36023
44,2019-07-01 12:55:00+05:30,173.5,173.7,173.25,173.35,25421
45,2019-07-01 13:00:00+05:30,173.35,173.35,172.55,173.1,173435
46,2019-07-01 13:05:00+05:30,173.1,173.55,172.85,173.35,65091
47,2019-07-01 13:10:00+05:30,173.35,173.5,172.95,173.0,106338
48,2019-07-01 13:15:00+05:30,173.0,173.4,172.85,173.1,34651
49,2019-07-01 13:20:00+05:30,173.1,173.1,172.75,173.1,54620
50,2019-07-01 13:25:00+05:30,173.1,173.15,172.8,173.05,20787
51,2019-07-01 13:30:00+05:30,173.0,173.65,173.0,173.35,46288
52,2019-07-01 13:35:00+05:30,173.35,173.6,173.2,173.4,29223
53,2019-07-01 13:40:00+05:30,173.4,173.65,173.3,173.55,29654
54,2019-07-01 13:45:00+05:30,173.6,173.8,173.55,173.55,52746
55,2019-07-01 13:50:00+05:30,173.6,173.75,173.5,173.6,20937
56,2019-07-01 13:55:00+05:30,173.7,173.8,173.55,173.8,24976
57,2019-07-01 14:00:00+05:30,173.8,173.95,173.7,173.75,43966
58,2019-07-01 14:05:00+05:30,173.85,173.95,173.75,173.95,29810
59,2019-07-01 14:10:00+05:30,173.95,173.95,173.55,173.65,27147
60,2019-07-01 14:15:00+05:30,173.65,173.85,173.55,173.8,23578
61,2019-07-01 14:20:00+05:30,173.75,174.6,173.7,174.1,184380
62,2019-07-01 14:25:00+05:30,174.1,174.2,173.75,173.9,95892
63,2019-07-01 14:30:00+05:30,173.9,173.95,173.75,173.8,23081
64,2019-07-01 14:35:00+05:30,173.9,173.9,173.4,173.45,43140
65,2019-07-01 14:40:00+05:30,173.5,173.9,173.4,173.75,30183
66,2019-07-01 14:45:00+05:30,173.75,173.95,173.7,173.8,31798
67,2019-07-01 14:50:00+05:30,173.85,174.15,173.8,174.05,92649
68,2019-07-01 14:55:00+05:30,174.15,174.15,173.95,174.1,34992
69,2019-07-01 15:00:00+05:30,174.1,174.45,174.05,174.15,158776
70,2019-07-01 15:05:00+05:30,174.15,174.25,173.9,174.0,158822
71,2019-07-01 15:10:00+05:30,174.0,174.1,173.7,173.95,220686
72,2019-07-01 15:15:00+05:30,173.95,174.45,173.65,174.3,452940
73,2019-07-01 15:20:00+05:30,174.4,174.4,173.75,174.3,360762
74,2019-07-01 15:25:00+05:30,174.3,174.4,173.8,173.95,245462
75,2019-07-02 09:15:00+05:30,173.95,174.5,173.35,174.15,255125
76,2019-07-02 09:20:00+05:30,174.15,174.95,173.4,174.5,151962
77,2019-07-02 09:25:00+05:30,174.5,174.6,174.05,174.35,58453
78,2019-07-02 09:30:00+05:30,174.3,174.75,174.25,174.65,53535
79,2019-07-02 09:35:00+05:30,174.65,174.65,173.9,174.05,64180
80,2019-07-02 09:40:00+05:30,174.05,174.45,173.85,174.15,42535
81,2019-07-02 09:45:00+05:30,174.15,174.3,173.65,173.65,50647
82,2019-07-02 09:50:00+05:30,173.65,174.0,173.3,173.6,82234
83,2019-07-02 09:55:00+05:30,173.55,173.55,172.8,172.8,120405
84,2019-07-02 10:00:00+05:30,172.75,173.35,172.75,172.85,106596
85,2019-07-02 10:05:00+05:30,172.85,172.85,172.35,172.7,159756
86,2019-07-02 10:10:00+05:30,172.7,173.35,172.55,172.65,91254
87,2019-07-02 10:15:00+05:30,172.65,172.95,171.85,172.1,194629
88,2019-07-02 10:20:00+05:30,172.1,172.15,171.45,171.5,254277
89,2019-07-02 10:25:00+05:30,171.4,172.3,171.25,172.05,209196
90,2019-07-02 10:30:00+05:30,172.05,172.15,171.75,171.85,20212
91,2019-07-02 10:35:00+05:30,171.85,171.9,171.55,171.6,23263
92,2019-07-02 10:40:00+05:30,171.6,172.0,171.55,171.9,29091
