,date,open,high,low,close,volume
0,2019-06-03 09:15:00+05:30,426.0,426.0,422.15,422.8,775307
1,2019-06-03 09:20:00+05:30,422.9,425.25,422.75,425.2,445898
2,2019-06-03 09:25:00+05:30,425.2,426.35,425.0,425.25,373446
3,2019-06-03 09:30:00+05:30,425.45,426.1,425.0,425.1,242759
4,2019-06-03 09:35:00+05:30,425.05,425.35,424.35,424.4,241109
5,2019-06-03 09:40:00+05:30,424.35,424.8,424.0,424.45,194828
6,2019-06-03 09:45:00+05:30,424.45,424.45,423.55,423.7,249703
7,2019-06-03 09:50:00+05:30,423.8,424.4,423.65,423.8,143952
8,2019-06-03 09:55:00+05:30,423.75,423.95,422.9,423.35,217167
9,2019-06-03 10:00:00+05:30,423.4,423.75,423.3,423.55,109796
10,2019-06-03 10:05:00+05:30,423.45,423.5,423.0,423.0,118102
11,2019-06-03 10:10:00+05:30,423.05,423.75,422.85,423.75,139409
12,2019-06-03 10:15:00+05:30,423.7,425.4,423.55,425.05,282567
13,2019-06-03 10:20:00+05:30,425.05,425.45,424.4,424.65,166105
14,2019-06-03 10:25:00+05:30,424.7,424.7,423.85,423.95,181348
15,2019-06-03 10:30:00+05:30,424.0,424.0,423.1,423.15,224188
16,2019-06-03 10:35:00+05:30,423.15,423.4,422.4,423.25,221518
17,2019-06-03 10:40:00+05:30,423.2,423.25,422.75,423.15,110449
18,2019-06-03 10:45:00+05:30,423.2,424.85,423.15,424.8,223621
19,2019-06-03 10:50:00+05:30,424.8,424.85,424.3,424.45,207098
20,2019-06-03 10:55:00+05:30,424.45,424.5,423.9,423.95,126294
21,2019-06-03 11:00:00+05:30,423.9,424.25,423.5,423.75,141805
22,2019-06-03 11:05:00+05:30,423.75,424.3,423.6,424.3,129404
23,2019-06-03 11:10:00+05:30,424.3,424.65,424.2,424.4,142265
24,2019-06-03 11:15:00+05:30,424.4,424.7,424.1,424.7,205167
25,2019-06-03 11:20:00+05:30,424.75,425.4,424.75,425.0,193710
26,2019-06-03 11:25:00+05:30,425.0,425.15,424.35,424.7,124560
27,2019-06-03 11:30:00+05:30,424.65,425.4,424.55,424.9,162303
28,2019-06-03 11:35:00+05:30,424.95,425.25,424.45,424.6,142566
29,2019-06-03 11:40:00+05:30,424.65,424.7,423.75,423.9,117529
30,2019-06-03 11:45:00+05:30,423.95,424.0,423.35,423.45,116210
31,2019-06-03 11:50:00+05:30,423.45,423.45,423.0,423.1,171337
32,2019-06-03 11:55:00+05:30,423.2,423.4,422.4,422.75,192532
33,2019-06-03 12:00:00+05:30,422.8,423.2,422.6,422.8,113355
34,2019-06-03 12:05:00+05:30,422.7,423.95,422.7,423.65,160814
35,2019-06-03 12:10:00+05:30,423.65,424.7,423.4,424.6,141382
36,2019-06-03 12:15:00+05:30,424.6,425.2,424.5,425.2,256469
37,2019-06-03 12:20:00+05:30,425.35,426.0,425.2,425.6,360414
38,2019-06-03 12:25:00+05:30,425.6,425.65,425.0,425.55,167781
39,2019-06-03 12:30:00+05:30,425.55,425.55,424.65,424.95,137871
40,2019-06-03 12:35:00+05:30,424.95,425.1,423.75,423.8,202079
41,2019-06-03 12:40:00+05:30,423.8,423.85,423.0,423.2,166641
42,2019-06-03 12:45:00+05:30,423.15,423.55,423.0,423.5,150188
43,2019-06-03 12:50:00+05:30,423.55,423.85,423.1,423.3,121628
44,2019-06-03 12:55:00+05:30,423.3,423.35,423.0,423.05,139405
45,2019-06-03 13:00:00+05:30,423.0,423.05,422.05,422.2,341748
46,2019-06-03 13:05:00+05:30,422.2,422.4,422.0,422.15,162948
47,2019-06-03 13:10:00+05:30,422.3,422.65,422.0,422.2,174180
48,2019-06-03 13:15:00+05:30,422.2,422.25,421.0,421.4,340075
49,2019-06-03 13:20:00+05:30,421.3,421.75,421.0,421.0,117303
50,2019-06-03 13:25:00+05:30,421.05,421.8,421.0,421.1,169098
51,2019-06-03 13:30:00+05:30,421.05,421.45,420.4,420.45,244141
52,2019-06-03 13:35:00+05:30,420.45,420.45,419.6,420.0,433420
53,2019-06-03 13:40:00+05:30,420.2,420.4,419.7,419.85,166279
54,2019-06-03 13:45:00+05:30,419.85,420.3,419.8,420.0,169464
55,2019-06-03 13:50:00+05:30,420.0,421.7,419.95,420.75,346017
56,2019-06-03 13:55:00+05:30,420.75,420.8,419.65,419.85,209742
57,2019-06-03 14:00:00+05:30,419.95,421.75,419.8,421.4,237691
58,2019-06-03 14:05:00+05:30,421.4,421.45,420.75,421.05,120039
59,2019-06-03 14:10:00+05:30,421.1,421.5,420.5,421.4,173643
60,2019-06-03 14:15:00+05:30,421.5,422.65,421.15,422.2,363073
61,2019-06-03 14:20:00+05:30,422.25,422.65,421.6,421.95,174552
62,2019-06-03 14:25:00+05:30,421.85,422.5,421.5,421.9,181352
63,2019-06-03 14:30:00+05:30,421.9,422.5,421.65,422.15,176920
64,2019-06-03 14:35:00+05:30,422.2,422.55,421.8,422.5,137835
65,2019-06-03 14:40:00+05:30,422.6,423.65,422.6,422.7,386679
66,2019-06-03 14:45:00+05:30,422.65,423.25,422.65,422.95,263603
67,2019-06-03 14:50:00+05:30,423.0,423.0,421.8,421.95,248329
68,2019-06-03 14:55:00+05:30,422.0,423.0,421.8,421.9,447592
69,2019-06-03 15:00:00+05:30,421.95,423.25,421.85,423.0,417550
70,2019-06-03 15:05:00+05:30,423.0,423.2,422.55,422.9,441014
71,2019-06-03 15:10:00+05:30,422.85,423.2,422.7,423.0,404413
72,2019-06-03 15:15:00+05:30,423.0,423.2,422.5,422.7,403246
73,2019-06-03 15:20:00+05:30,422.7,423.2,422.7,422.95,352183
74,2019-06-03 15:25:00+05:30,422.95,423.1,422.7,422.85,312737
75,2019-06-04 09:15:00+05:30,417.7,420.9,417.7,420.2,1278933
76,2019-06-04 09:20:00+05:30,420.15,421.2,419.2,419.3,409561
77,2019-06-04 09:25:00+05:30,419.3,419.55,419.1,419.25,204477
78,2019-06-04 09:30:00+05:30,419.4,421.8,419.4,421.35,457558
79,2019-06-04 09:35:00+05:30,421.5,422.75,421.3,421.5,458307
80,2019-06-04 09:40:00+05:30,421.6,421.65,420.55,420.95,220349
81,2019-06-04 09:45:00+05:30,421.0,421.3,420.2,420.45,178395
82,2019-06-04 09:50:00+05:30,420.4,420.8,420.0,420.45,186801
