,date,open,high,low,close,volume
0,2019-03-01 09:15:00+05:30,338.25,339.4,337.7,338.0,92428
1,2019-03-01 09:20:00+05:30,338.0,338.95,338.0,338.8,56237
2,2019-03-01 09:25:00+05:30,338.8,338.9,337.65,338.25,32953
3,2019-03-01 09:30:00+05:30,338.4,340.45,338.4,339.7,84605
4,2019-03-01 09:35:00+05:30,339.75,340.2,339.0,339.0,43123
5,2019-03-01 09:40:00+05:30,338.85,339.75,338.65,339.5,38745
6,2019-03-01 09:45:00+05:30,339.5,339.65,339.0,339.2,19245
7,2019-03-01 09:50:00+05:30,339.15,339.25,338.85,338.9,29249
8,2019-03-01 09:55:00+05:30,338.9,339.8,338.9,339.75,25274
9,2019-03-01 10:00:00+05:30,339.75,339.9,339.5,339.65,23315
10,2019-03-01 10:05:00+05:30,339.6,340.5,339.6,340.15,75264
11,2019-03-01 10:10:00+05:30,340.15,340.8,340.0,340.05,42945
12,2019-03-01 10:15:00+05:30,340.25,340.25,339.7,339.8,17983
13,2019-03-01 10:20:00+05:30,339.75,339.8,339.0,339.1,25035
14,2019-03-01 10:25:00+05:30,339.2,339.3,338.55,338.6,30222
15,2019-03-01 10:30:00+05:30,338.6,338.95,338.5,338.9,16162
16,2019-03-01 10:35:00+05:30,338.9,339.65,338.7,339.55,15717
17,2019-03-01 10:40:00+05:30,339.55,340.0,339.5,339.75,21786
18,2019-03-01 10:45:00+05:30,339.75,340.2,339.5,339.7,27633
19,2019-03-01 10:50:00+05:30,339.7,339.7,338.9,338.9,18844
20,2019-03-01 10:55:00+05:30,338.9,339.0,338.65,338.95,12454
21,2019-03-01 11:00:00+05:30,338.9,338.95,337.7,338.15,53444
22,2019-03-01 11:05:00+05:30,338.15,338.3,338.0,338.1,14056
23,2019-03-01 11:10:00+05:30,338.1,338.2,337.15,337.35,29547
24,2019-03-01 11:15:00+05:30,337.25,337.8,337.25,337.75,31869
25,2019-03-01 11:20:00+05:30,337.75,338.25,337.65,337.75,42291
26,2019-03-01 11:25:00+05:30,337.85,338.5,337.55,338.35,64182
27,2019-03-01 11:30:00+05:30,338.35,338.5,338.0,338.25,22805
28,2019-03-01 11:35:00+05:30,338.2,339.6,338.2,339.3,72234
29,2019-03-01 11:40:00+05:30,339.5,339.75,339.05,339.15,26963
30,2019-03-01 11:45:00+05:30,339.1,339.55,338.75,339.2,30170
31,2019-03-01 11:50:00+05:30,339.2,339.2,338.75,338.85,8393
32,2019-03-01 11:55:00+05:30,338.75,338.85,338.35,338.8,14764
33,2019-03-01 12:00:00+05:30,338.8,339.4,338.45,339.35,14296
34,2019-03-01 12:05:00+05:30,339.35,339.4,339.0,339.1,7313
35,2019-03-01 12:10:00+05:30,339.1,339.15,338.85,339.05,8827
36,2019-03-01 12:15:00+05:30,339.05,339.2,338.9,339.05,6340
37,2019-03-01 12:20:00+05:30,339.05,339.15,338.75,339.15,16410
38,2019-03-01 12:25:00+05:30,339.15,339.25,338.55,338.85,17116
39,2019-03-01 12:30:00+05:30,338.85,339.0,338.85,338.9,5251
40,2019-03-01 12:35:00+05:30,338.9,338.9,338.2,338.35,9138
41,2019-03-01 12:40:00+05:30,338.35,338.4,338.0,338.3,13727
42,2019-03-01 12:45:00+05:30,338.25,338.3,338.1,338.3,6043
43,2019-03-01 12:50:00+05:30,338.3,338.75,338.05,338.65,11113
44,2019-03-01 12:55:00+05:30,338.65,338.75,338.3,338.35,4001
45,2019-03-01 13:00:00+05:30,338.35,338.45,338.2,338.45,7462
46,2019-03-01 13:05:00+05:30,338.45,339.15,338.4,339.15,16598
47,2019-03-01 13:10:00+05:30,339.15,339.5,339.0,339.3,11431
48,2019-03-01 13:15:00+05:30,339.3,339.8,339.25,339.75,13215
49,2019-03-01 13:20:00+05:30,339.75,339.75,339.15,339.45,11297
50,2019-03-01 13:25:00+05:30,339.45,339.75,339.25,339.65,18014
51,2019-03-01 13:30:00+05:30,339.75,340.0,339.5,339.95,29990
52,2019-03-01 13:35:00+05:30,339.95,339.95,339.45,339.65,7058
53,2019-03-01 13:40:00+05:30,339.65,339.7,339.45,339.7,10997
54,2019-03-01 13:45:00+05:30,339.7,340.25,339.6,339.65,32715
55,2019-03-01 13:50:00+05:30,339.65,339.7,339.2,339.35,11278
56,2019-03-01 13:55:00+05:30,339.25,339.6,339.05,339.6,14015
57,2019-03-01 14:00:00+05:30,339.65,340.1,339.6,340.0,27828
58,2019-03-01 14:05:00+05:30,340.0,341.6,339.7,341.6,97705
59,2019-03-01 14:10:00+05:30,341.6,341.7,340.6,340.65,42236
60,2019-03-01 14:15:00+05:30,340.65,342.2,340.05,342.05,138155
61,2019-03-01 14:20:00+05:30,342.1,342.2,341.05,341.2,55831
62,2019-03-01 14:25:00+05:30,341.2,341.9,341.1,341.85,29021
63,2019-03-01 14:30:00+05:30,341.95,342.8,341.8,342.45,63521
64,2019-03-01 14:35:00+05:30,342.55,343.5,342.3,343.3,62492
65,2019-03-01 14:40:00+05:30,343.3,344.35,342.7,344.05,113879
66,2019-03-01 14:45:00+05:30,344.15,344.5,343.6,344.5,73539
