,date,open,high,low,close,volume
0,2019-03-01 09:15:00+05:30,171.75,173.1,171.65,172.35,290348
1,2019-03-01 09:20:00+05:30,172.5,173.1,172.5,173.0,156652
2,2019-03-01 09:25:00+05:30,172.95,173.15,172.3,173.15,102288
3,2019-03-01 09:30:00+05:30,173.05,173.25,172.65,173.0,103157
4,2019-03-01 09:35:00+05:30,173.0,173.3,172.65,172.7,95185
5,2019-03-01 09:40:00+05:30,172.5,173.25,172.5,172.95,95088
6,2019-03-01 09:45:00+05:30,172.95,173.2,172.8,173.1,73304
7,2019-03-01 09:50:00+05:30,173.05,173.35,173.05,173.15,102950
8,2019-03-01 09:55:00+05:30,173.15,173.3,172.95,173.25,60249
9,2019-03-01 10:00:00+05:30,173.25,173.3,172.95,173.1,64637
10,2019-03-01 10:05:00+05:30,173.1,173.65,173.0,173.3,115077
11,2019-03-01 10:10:00+05:30,173.3,173.3,172.75,172.8,80006
12,2019-03-01 10:15:00+05:30,172.8,173.0,172.6,172.6,57935
13,2019-03-01 10:20:00+05:30,172.6,172.7,171.9,172.2,93626
14,2019-03-01 10:25:00+05:30,172.2,172.45,171.9,172.15,64432
15,2019-03-01 10:30:00+05:30,172.15,172.55,172.15,172.45,41629
16,2019-03-01 10:35:00+05:30,172.45,173.0,172.45,172.85,63172
17,2019-03-01 10:40:00+05:30,172.85,172.95,172.6,172.75,55907
18,2019-03-01 10:45:00+05:30,172.75,173.25,172.75,173.25,42785
19,2019-03-01 10:50:00+05:30,173.2,173.25,172.7,172.75,47298
20,2019-03-01 10:55:00+05:30,172.75,173.05,172.65,173.05,89739
21,2019-03-01 11:00:00+05:30,173.0,173.55,172.85,173.35,110731
22,2019-03-01 11:05:00+05:30,173.25,173.6,173.25,173.5,75011
23,2019-03-01 11:10:00+05:30,173.5,173.75,173.4,173.7,98418
24,2019-03-01 11:15:00+05:30,173.7,173.7,173.35,173.55,62526
25,2019-03-01 11:20:00+05:30,173.55,173.85,173.55,173.8,44272
26,2019-03-01 11:25:00+05:30,173.8,173.8,173.5,173.55,44867
27,2019-03-01 11:30:00+05:30,173.55,173.55,173.05,173.15,80837
28,2019-03-01 11:35:00+05:30,173.1,173.2,173.1,173.2,31444
29,2019-03-01 11:40:00+05:30,173.2,173.2,172.9,172.95,55876
30,2019-03-01 11:45:00+05:30,172.95,173.1,172.95,173.05,55125
31,2019-03-01 11:50:00+05:30,173.05,173.55,172.95,173.55,59181
32,2019-03-01 11:55:00+05:30,173.55,173.55,173.35,173.35,61650
33,2019-03-01 12:00:00+05:30,173.35,173.7,173.3,173.65,54743
34,2019-03-01 12:05:00+05:30,173.65,173.65,173.45,173.55,55678
35,2019-03-01 12:10:00+05:30,173.55,173.7,173.5,173.65,42471
36,2019-03-01 12:15:00+05:30,173.65,174.1,173.55,174.05,95161
37,2019-03-01 12:20:00+05:30,174.0,174.35,173.85,174.35,77504
38,2019-03-01 12:25:00+05:30,174.35,174.4,174.1,174.2,81587
39,2019-03-01 12:30:00+05:30,174.2,174.4,174.05,174.4,56024
40,2019-03-01 12:35:00+05:30,174.4,174.6,174.1,174.55,164464
41,2019-03-01 12:40:00+05:30,174.55,174.65,174.3,174.5,94382
42,2019-03-01 12:45:00+05:30,174.5,174.6,174.3,174.4,61675
43,2019-03-01 12:50:00+05:30,174.4,174.5,174.2,174.45,61392
44,2019-03-01 12:55:00+05:30,174.4,174.5,174.25,174.4,49629
45,2019-03-01 13:00:00+05:30,174.4,174.4,174.15,174.35,135675
46,2019-03-01 13:05:00+05:30,174.35,174.45,174.1,174.25,62618
47,2019-03-01 13:10:00+05:30,174.2,174.25,173.8,173.95,88533
48,2019-03-01 13:15:00+05:30,173.95,174.0,173.6,173.85,112242
49,2019-03-01 13:20:00+05:30,173.85,173.95,173.3,173.45,90425
50,2019-03-01 13:25:00+05:30,173.45,173.5,173.3,173.5,59531
51,2019-03-01 13:30:00+05:30,173.5,173.6,173.4,173.5,49310
52,2019-03-01 13:35:00+05:30,173.5,173.55,173.2,173.35,53362
53,2019-03-01 13:40:00+05:30,173.35,173.35,172.75,172.85,86433
54,2019-03-01 13:45:00+05:30,172.85,172.85,172.4,172.6,107438
55,2019-03-01 13:50:00+05:30,172.6,172.75,172.5,172.6,65193
56,2019-03-01 13:55:00+05:30,172.7,172.7,172.5,172.6,51444
57,2019-03-01 14:00:00+05:30,172.6,173.05,172.5,173.0,173305
58,2019-03-01 14:05:00+05:30,173.0,173.0,172.65,172.75,112287
59,2019-03-01 14:10:00+05:30,172.75,173.0,172.7,172.75,50785
60,2019-03-01 14:15:00+05:30,172.75,172.85,172.6,172.65,53307
61,2019-03-01 14:20:00+05:30,172.65,172.65,172.1,172.45,87157
62,2019-03-01 14:25:00+05:30,172.45,172.5,172.3,172.45,50197
63,2019-03-01 14:30:00+05:30,172.45,172.85,172.4,172.8,86935
64,2019-03-01 14:35:00+05:30,172.85,172.85,172.5,172.8,57372
65,2019-03-01 14:40:00+05:30,172.8,172.85,172.45,172.5,55221
66,2019-03-01 14:45:00+05:30,172.5,172.8,172.4,172.45,58149
67,2019-03-01 14:50:00+05:30,172.45,172.7,172.45,172.55,61047
68,2019-03-01 14:55:00+05:30,172.55,172.55,172.2,172.25,64688
69,2019-03-01 15:00:00+05:30,172.25,172.4,171.85,172.4,107858
70,2019-03-01 15:05:00+05:30,172.4,172.55,172.35,172.45,85546
71,2019-03-01 15:10:00+05:30,172.45,172.45,171.5,171.85,119671
72,2019-03-01 15:15:00+05:30,171.8,171.85,171.25,171.75,110760
73,2019-03-01 15:20:00+05:30,171.75,171.85,171.5,171.75,88623
74,2019-03-01 15:25:00+05:30,171.75,171.8,171.25,171.6,59768
75,2019-03-05 09:15:00+05:30,171.5,172.4,170.65,171.15,137749
76,2019-03-05 09:20:00+05:30,171.15,171.35,171.0,171.3,52144
77,2019-03-05 09:25:00+05:30,171.3,171.6,171.25,171.25,45835
78,2019-03-05 09:30:00+05:30,171.25,171.45,170.85,171.45,48457
79,2019-03-05 09:35:00+05:30,171.45,171.9,171.25,171.65,60473
80,2019-03-05 09:40:00+05:30,171.65,171.75,171.5,171.6,33212
81,2019-03-05 09:45:00+05:30,171.6,171.7,171.1,171.2,41071
82,2019-03-05 09:50:00+05:30,171.25,171.35,171.05,171.35,36237
83,2019-03-05 09:55:00+05:30,171.35,171.75,171.35,171.5,19689
