,date,open,high,low,close,volume
0,2019-03-01 09:15:00+05:30,297.65,297.65,294.25,295.4,128160
1,2019-03-01 09:20:00+05:30,295.4,297.35,295.3,296.9,92592
2,2019-03-01 09:25:00+05:30,296.9,297.3,296.0,297.0,70198
3,2019-03-01 09:30:00+05:30,296.75,297.05,296.0,296.0,33427
4,2019-03-01 09:35:00+05:30,296.0,296.5,295.15,296.25,36626
5,2019-03-01 09:40:00+05:30,296.25,296.9,295.65,295.75,56742
6,2019-03-01 09:45:00+05:30,295.75,295.75,295.2,295.7,23483
7,2019-03-01 09:50:00+05:30,295.7,296.7,295.45,296.45,24491
8,2019-03-01 09:55:00+05:30,296.45,297.5,295.65,295.95,82568
9,2019-03-01 10:00:00+05:30,295.95,296.8,294.35,295.1,59201
10,2019-03-01 10:05:00+05:30,294.65,295.95,294.4,295.45,43970
11,2019-03-01 10:10:00+05:30,295.45,296.1,294.95,295.8,33050
12,2019-03-01 10:15:00+05:30,296.0,296.4,295.1,295.25,29831
13,2019-03-01 10:20:00+05:30,295.25,295.4,294.8,295.0,19321
14,2019-03-01 10:25:00+05:30,295.0,295.0,294.5,294.65,11782
15,2019-03-01 10:30:00+05:30,294.55,294.85,294.05,294.1,52798
16,2019-03-01 10:35:00+05:30,294.2,295.25,294.1,295.2,22511
17,2019-03-01 10:40:00+05:30,295.25,295.6,295.05,295.6,29301
18,2019-03-01 10:45:00+05:30,295.4,295.8,295.35,295.5,49452
19,2019-03-01 10:50:00+05:30,295.5,295.75,295.4,295.6,47380
20,2019-03-01 10:55:00+05:30,295.6,295.6,295.15,295.35,20460
21,2019-03-01 11:00:00+05:30,295.35,295.5,294.8,295.3,46891
22,2019-03-01 11:05:00+05:30,295.3,295.95,295.1,295.35,31301
23,2019-03-01 11:10:00+05:30,295.35,295.5,295.2,295.4,6247
24,2019-03-01 11:15:00+05:30,295.4,295.9,295.3,295.7,13914
25,2019-03-01 11:20:00+05:30,295.7,295.7,295.1,295.35,13118
26,2019-03-01 11:25:00+05:30,295.35,295.5,295.15,295.35,7324
27,2019-03-01 11:30:00+05:30,295.35,295.5,295.15,295.4,10827
28,2019-03-01 11:35:00+05:30,295.4,295.4,295.1,295.15,5216
29,2019-03-01 11:40:00+05:30,295.15,295.4,295.1,295.25,14846
30,2019-03-01 11:45:00+05:30,295.25,295.5,295.1,295.2,13438
31,2019-03-01 11:50:00+05:30,295.2,295.85,295.2,295.55,28334
32,2019-03-01 11:55:00+05:30,295.55,295.6,295.25,295.25,7541
33,2019-03-01 12:00:00+05:30,295.3,295.65,295.15,295.35,9869
34,2019-03-01 12:05:00+05:30,295.35,295.6,295.15,295.35,29600
35,2019-03-01 12:10:00+05:30,295.35,295.55,295.3,295.45,10642
36,2019-03-01 12:15:00+05:30,295.45,295.45,295.05,295.35,13207
37,2019-03-01 12:20:00+05:30,295.35,295.65,295.3,295.6,9682
38,2019-03-01 12:25:00+05:30,295.6,295.6,295.5,295.55,4665
39,2019-03-01 12:30:00+05:30,295.55,295.55,295.5,295.55,4567
40,2019-03-01 12:35:00+05:30,295.5,295.6,295.2,295.4,11663
41,2019-03-01 12:40:00+05:30,295.4,295.65,295.25,295.25,9262
42,2019-03-01 12:45:00+05:30,295.25,295.5,295.05,295.1,14125
43,2019-03-01 12:50:00+05:30,295.1,295.2,295.0,295.1,12014
44,2019-03-01 12:55:00+05:30,295.0,295.4,294.8,294.9,33808
45,2019-03-01 13:00:00+05:30,294.9,295.25,294.65,295.0,15876
46,2019-03-01 13:05:00+05:30,295.0,295.1,294.85,294.95,5484
47,2019-03-01 13:10:00+05:30,294.95,295.25,294.9,295.0,20746
48,2019-03-01 13:15:00+05:30,295.0,295.05,294.7,294.8,18615
49,2019-03-01 13:20:00+05:30,294.8,295.0,294.7,295.0,10557
50,2019-03-01 13:25:00+05:30,295.0,295.05,294.75,294.95,20222
51,2019-03-01 13:30:00+05:30,294.95,295.3,294.85,295.3,12384
52,2019-03-01 13:35:00+05:30,295.3,295.5,295.2,295.45,15180
53,2019-03-01 13:40:00+05:30,295.45,296.0,295.1,295.45,22834
54,2019-03-01 13:45:00+05:30,295.45,295.5,295.35,295.45,4481
55,2019-03-01 13:50:00+05:30,295.4,295.8,295.0,295.1,23465
56,2019-03-01 13:55:00+05:30,295.05,295.1,294.5,294.9,17327
57,2019-03-01 14:00:00+05:30,294.9,295.25,294.8,295.15,5338
58,2019-03-01 14:05:00+05:30,295.15,295.15,294.85,295.05,7339
59,2019-03-01 14:10:00+05:30,295.05,295.4,295.0,295.3,8426
60,2019-03-01 14:15:00+05:30,295.35,295.45,295.15,295.35,11695
61,2019-03-01 14:20:00+05:30,295.4,295.45,295.1,295.15,6040
62,2019-03-01 14:25:00+05:30,295.15,295.4,295.15,295.35,17453
63,2019-03-01 14:30:00+05:30,295.35,295.45,295.1,295.3,12511
64,2019-03-01 14:35:00+05:30,295.3,295.75,295.1,295.55,24996
65,2019-03-01 14:40:00+05:30,295.55,295.65,295.15,295.25,13829
66,2019-03-01 14:45:00+05:30,295.25,295.25,294.55,294.75,19099
67,2019-03-01 14:50:00+05:30,294.75,294.8,292.35,293.3,66644
68,2019-03-01 14:55:00+05:30,293.3,294.75,293.25,294.75,23280
69,2019-03-01 15:00:00+05:30,294.6,294.6,293.7,293.95,44838
70,2019-03-01 15:05:00+05:30,293.95,294.25,293.3,293.75,54865
71,2019-03-01 15:10:00+05:30,293.75,294.0,292.6,293.5,69397
72,2019-03-01 15:15:00+05:30,293.45,293.5,292.5,292.6,82088
73,2019-03-01 15:20:00+05:30,292.6,293.2,292.1,292.9,80777
74,2019-03-01 15:25:00+05:30,292.9,293.3,292.4,292.8,43830
75,2019-03-05 09:15:00+05:30,295.0,296.0,291.6,293.65,111332
76,2019-03-05 09:20:00+05:30,294.05,294.5,293.6,294.4,56807
77,2019-03-05 09:25:00+05:30,294.4,294.5,293.9,294.0,37567
78,2019-03-05 09:30:00+05:30,294.15,295.2,294.15,295.05,52020
79,2019-03-05 09:35:00+05:30,295.05,295.2,294.2,294.4,33434
80,2019-03-05 09:40:00+05:30,294.5,295.15,293.6,293.85,63034
81,2019-03-05 09:45:00+05:30,293.85,293.9,292.25,293.5,98210
82,2019-03-05 09:50:00+05:30,293.5,295.0,293.35,295.0,58239
83,2019-03-05 09:55:00+05:30,294.95,295.15,293.5,294.6,40576
84,2019-03-05 10:00:00+05:30,294.6,296.0,294.55,295.65,54587
85,2019-03-05 10:05:00+05:30,295.55,295.8,294.8,294.85,35466
86,2019-03-05 10:10:00+05:30,294.95,295.0,294.55,294.85,38005
87,2019-03-05 10:15:00+05:30,294.8,294.95,294.7,294.9,14405
88,2019-03-05 10:20:00+05:30,294.9,295.0,294.65,294.9,11069
89,2019-03-05 10:25:00+05:30,294.85,294.9,294.6,294.6,19999
90,2019-03-05 10:30:00+05:30,294.55,294.55,294.0,294.45,14580
91,2019-03-05 10:35:00+05:30,294.45,295.1,294.3,294.7,19102
92,2019-03-05 10:40:00+05:30,294.65,294.9,294.65,294.75,4029
93,2019-03-05 10:45:00+05:30,294.9,294.9,294.65,294.75,5215
94,2019-03-05 10:50:00+05:30,294.75,294.9,294.5,294.7,17670
95,2019-03-05 10:55:00+05:30,294.7,294.8,294.6,294.75,7963
96,2019-03-05 11:00:00+05:30,294.7,295.0,294.7,294.85,13184
97,2019-03-05 11:05:00+05:30,294.8,295.0,294.75,294.9,6710
98,2019-03-05 11:10:00+05:30,294.9,295.0,294.7,294.7,7822
99,2019-03-05 11:15:00+05:30,294.8,294.8,294.1,294.15,10111
100,2019-03-05 11:20:00+05:30,294.15,294.4,294.1,294.25,4755
101,2019-03-05 11:25:00+05:30,294.25,294.75,294.25,294.75,4927
102,2019-03-05 11:30:00+05:30,294.7,294.9,294.5,294.9,9181
103,2019-03-05 11:35:00+05:30,294.9,295.0,294.55,294.75,54013
104,2019-03-05 11:40:00+05:30,294.7,294.9,294.5,294.85,7424
105,2019-03-05 11:45:00+05:30,294.85,294.85,294.45,294.8,4506
106,2019-03-05 11:50:00+05:30,294.8,294.9,294.35,294.85,63477
107,2019-03-05 11:55:00+05:30,294.8,295.0,294.75,295.0,39692
108,2019-03-05 12:00:00+05:30,294.95,295.25,294.65,295.1,15787
109,2019-03-05 12:05:00+05:30,295.05,295.4,294.85,295.2,28361
110,2019-03-05 12:10:00+05:30,295.15,295.2,294.9,295.1,8626
111,2019-03-05 12:15:00+05:30,295.05,295.25,294.8,294.9,55178
112,2019-03-05 12:20:00+05:30,294.85,295.35,294.8,295.0,19100
113,2019-03-05 12:25:00+05:30,294.95,295.3,294.8,295.0,33693
114,2019-03-05 12:30:00+05:30,295.0,295.25,294.8,295.0,20050
115,2019-03-05 12:35:00+05:30,295.0,295.0,294.6,294.8,5944
116,2019-03-05 12:40:00+05:30,294.75,294.9,294.55,294.85,3804
117,2019-03-05 12:45:00+05:30,294.85,294.9,294.65,294.8,3448
118,2019-03-05 12:50:00+05:30,294.8,294.85,294.35,294.6,7074
119,2019-03-05 12:55:00+05:30,294.55,294.65,294.35,294.6,6218
120,2019-03-05 13:00:00+05:30,294.5,294.6,294.35,294.4,7866
121,2019-03-05 13:05:00+05:30,294.35,294.8,294.35,294.75,12998
122,2019-03-05 13:10:00+05:30,294.7,294.9,294.5,294.65,4837
123,2019-03-05 13:15:00+05:30,294.65,295.0,294.5,294.9,63476
124,2019-03-05 13:20:00+05:30,294.85,295.0,294.6,294.95,10178
125,2019-03-05 13:25:00+05:30,294.95,295.0,294.7,294.9,55052
126,2019-03-05 13:30:00+05:30,294.9,294.9,294.65,294.85,1997
127,2019-03-05 13:35:00+05:30,294.8,294.95,294.5,294.6,7794
128,2019-03-05 13:40:00+05:30,294.55,294.9,294.55,294.8,4450
129,2019-03-05 13:45:00+05:30,294.8,294.85,294.6,294.8,2782
130,2019-03-05 13:50:00+05:30,294.75,294.9,294.6,294.8,54759
131,2019-03-05 13:55:00+05:30,294.75,294.9,294.5,294.7,6002
132,2019-03-05 14:00:00+05:30,294.7,294.7,294.5,294.55,6825
133,2019-03-05 14:05:00+05:30,294.5,294.95,294.5,294.95,8319
134,2019-03-05 14:10:00+05:30,294.95,294.95,294.6,294.9,5777
135,2019-03-05 14:15:00+05:30,294.9,295.5,294.65,294.95,95444
136,2019-03-05 14:20:00+05:30,294.95,295.0,294.65,294.75,37492
137,2019-03-05 14:25:00+05:30,294.75,295.0,294.6,295.0,5413
138,2019-03-05 14:30:00+05:30,294.95,295.0,294.8,294.95,27827
139,2019-03-05 14:35:00+05:30,294.95,295.15,294.8,295.0,65430
140,2019-03-05 14:40:00+05:30,295.0,295.0,294.7,295.0,8798
141,2019-03-05 14:45:00+05:30,295.0,295.0,294.7,295.0,35788
142,2019-03-05 14:50:00+05:30,295.0,295.0,294.5,294.95,10494
143,2019-03-05 14:55:00+05:30,294.9,295.15,294.8,295.15,48254
144,2019-03-05 15:00:00+05:30,295.2,296.4,294.8,296.1,119323
145,2019-03-05 15:05:00+05:30,296.1,296.5,295.7,296.4,58706
146,2019-03-05 15:10:00+05:30,296.5,297.0,296.2,296.8,67954
147,2019-03-05 15:15:00+05:30,296.8,297.0,295.8,296.6,69336
148,2019-03-05 15:20:00+05:30,296.6,296.6,295.25,296.45,50875
149,2019-03-05 15:25:00+05:30,296.45,296.55,295.1,295.55,33193
150,2019-03-06 09:15:00+05:30,296.95,298.0,295.35,297.75,71865
151,2019-03-06 09:20:00+05:30,298.0,301.65,297.75,300.2,165831
152,2019-03-06 09:25:00+05:30,300.2,302.75,300.05,302.6,118765
153,2019-03-06 09:30:00+05:30,302.55,304.85,302.4,304.2,317948
154,2019-03-06 09:35:00+05:30,304.15,304.3,302.7,302.9,132890
155,2019-03-06 09:40:00+05:30,302.9,305.45,302.9,305.25,188035
156,2019-03-06 09:45:00+05:30,305.25,305.8,304.0,305.2,170294
157,2019-03-06 09:50:00+05:30,305.2,306.25,304.75,305.4,148780
158,2019-03-06 09:55:00+05:30,305.4,306.5,304.8,306.2,153013
159,2019-03-06 10:00:00+05:30,306.35,306.5,305.0,305.15,141454
160,2019-03-06 10:05:00+05:30,305.2,305.2,304.15,304.6,97089
161,2019-03-06 10:10:00+05:30,304.6,305.0,304.2,304.9,46932
162,2019-03-06 10:15:00+05:30,304.9,305.0,304.2,304.6,30682
163,2019-03-06 10:20:00+05:30,304.6,304.8,303.4,303.8,80522
164,2019-03-06 10:25:00+05:30,303.75,304.85,303.5,304.85,51128
165,2019-03-06 10:30:00+05:30,304.85,304.9,303.9,304.1,31734
166,2019-03-06 10:35:00+05:30,304.1,304.85,304.0,304.85,24540
167,2019-03-06 10:40:00+05:30,304.8,305.7,304.4,304.7,112539
168,2019-03-06 10:45:00+05:30,304.7,305.0,304.4,304.85,38375
169,2019-03-06 10:50:00+05:30,304.8,305.4,304.6,305.0,62057
170,2019-03-06 10:55:00+05:30,305.0,305.35,304.85,305.1,49451
171,2019-03-06 11:00:00+05:30,305.2,305.3,305.0,305.2,18282
172,2019-03-06 11:05:00+05:30,305.2,305.2,304.5,304.95,30181
173,2019-03-06 11:10:00+05:30,304.9,304.95,303.8,303.9,53807
174,2019-03-06 11:15:00+05:30,303.9,304.9,303.9,304.85,30052
175,2019-03-06 11:20:00+05:30,304.85,304.85,304.15,304.3,9725
176,2019-03-06 11:25:00+05:30,304.3,304.8,304.3,304.7,21926
177,2019-03-06 11:30:00+05:30,304.7,304.9,304.35,304.75,20436
178,2019-03-06 11:35:00+05:30,304.75,304.8,304.5,304.75,8482
179,2019-03-06 11:40:00+05:30,304.75,304.85,304.5,304.75,11162
180,2019-03-06 11:45:00+05:30,304.7,304.9,304.6,304.75,17601
181,2019-03-06 11:50:00+05:30,304.75,305.05,304.5,304.9,69041
182,2019-03-06 11:55:00+05:30,304.9,305.35,304.75,305.1,53674
183,2019-03-06 12:00:00+05:30,305.1,305.2,304.35,304.55,22216
184,2019-03-06 12:05:00+05:30,304.5,304.8,304.0,304.2,21868
185,2019-03-06 12:10:00+05:30,304.2,304.6,304.2,304.5,6213
186,2019-03-06 12:15:00+05:30,304.5,304.55,300.9,302.4,143157
187,2019-03-06 12:20:00+05:30,302.45,302.95,302.0,302.85,50473
188,2019-03-06 12:25:00+05:30,302.9,304.45,302.75,304.1,46779
189,2019-03-06 12:30:00+05:30,304.1,304.1,302.3,302.45,27261
190,2019-03-06 12:35:00+05:30,302.5,303.6,302.45,303.6,20612
191,2019-03-06 12:40:00+05:30,303.6,303.6,302.9,303.25,20842
192,2019-03-06 12:45:00+05:30,303.25,303.5,303.0,303.2,7498
193,2019-03-06 12:50:00+05:30,303.2,303.7,303.1,303.2,9659
194,2019-03-06 12:55:00+05:30,303.2,303.3,303.0,303.05,17092
195,2019-03-06 13:00:00+05:30,303.05,303.35,302.7,302.8,20590
196,2019-03-06 13:05:00+05:30,302.8,303.15,302.5,303.1,22379
197,2019-03-06 13:10:00+05:30,303.2,303.7,303.0,303.45,30385
198,2019-03-06 13:15:00+05:30,303.45,303.65,302.8,303.05,14825
199,2019-03-06 13:20:00+05:30,303.05,303.35,302.4,303.0,49345
200,2019-03-06 13:25:00+05:30,303.0,303.2,302.7,303.0,22707
201,2019-03-06 13:30:00+05:30,303.0,303.85,302.75,303.55,27904
202,2019-03-06 13:35:00+05:30,303.55,303.7,303.0,303.5,20760
203,2019-03-06 13:40:00+05:30,303.5,303.8,303.0,303.45,22123
204,2019-03-06 13:45:00+05:30,303.45,303.5,302.75,303.45,48443
205,2019-03-06 13:50:00+05:30,303.45,303.5,302.8,303.05,15917
206,2019-03-06 13:55:00+05:30,303.05,303.3,302.8,303.0,11397
207,2019-03-06 14:00:00+05:30,303.0,303.4,303.0,303.3,7382
208,2019-03-06 14:05:00+05:30,303.3,303.35,302.85,303.2,22574
209,2019-03-06 14:10:00+05:30,303.2,303.45,303.15,303.35,12903
210,2019-03-06 14:15:00+05:30,303.35,303.4,302.85,303.2,23677
211,2019-03-06 14:20:00+05:30,303.2,303.25,302.8,303.0,30799
212,2019-03-06 14:25:00+05:30,303.05,303.2,302.6,303.05,36214
213,2019-03-06 14:30:00+05:30,303.1,303.35,302.7,303.2,32051
214,2019-03-06 14:35:00+05:30,303.2,303.25,302.7,303.0,27236
215,2019-03-06 14:40:00+05:30,303.0,303.2,302.9,303.05,28485
216,2019-03-06 14:45:00+05:30,303.05,303.5,302.75,303.15,46570
217,2019-03-06 14:50:00+05:30,303.2,303.2,302.8,303.05,30236
218,2019-03-06 14:55:00+05:30,303.0,303.15,302.3,302.5,66854
219,2019-03-06 15:00:00+05:30,302.55,302.8,301.9,302.2,103625
220,2019-03-06 15:05:00+05:30,302.2,302.45,301.6,302.0,73661
221,2019-03-06 15:10:00+05:30,302.3,302.45,302.0,302.15,70464
222,2019-03-06 15:15:00+05:30,302.15,302.5,301.95,302.5,109546
223,2019-03-06 15:20:00+05:30,302.45,303.8,302.45,303.75,105677
224,2019-03-06 15:25:00+05:30,303.75,303.8,302.15,302.25,86930
225,2019-03-07 09:15:00+05:30,305.9,309.5,305.1,308.9,357966
226,2019-03-07 09:20:00+05:30,308.9,308.9,305.95,306.4,234245
227,2019-03-07 09:25:00+05:30,306.4,306.8,304.7,306.25,141470
228,2019-03-07 09:30:00+05:30,306.25,306.5,305.35,306.4,48835
229,2019-03-07 09:35:00+05:30,306.4,307.15,306.0,307.15,37133
230,2019-03-07 09:40:00+05:30,307.2,307.5,306.8,307.3,58725
231,2019-03-07 09:45:00+05:30,307.3,307.5,307.1,307.4,53876
232,2019-03-07 09:50:00+05:30,307.4,308.0,307.05,307.4,63293
233,2019-03-07 09:55:00+05:30,307.6,307.95,307.5,307.7,30938
234,2019-03-07 10:00:00+05:30,307.7,307.8,307.0,307.35,40243
235,2019-03-07 10:05:00+05:30,307.2,307.6,307.1,307.45,13804
236,2019-03-07 10:10:00+05:30,307.35,307.5,307.0,307.0,20368
237,2019-03-07 10:15:00+05:30,307.0,307.5,306.0,306.0,40118
238,2019-03-07 10:20:00+05:30,306.0,306.5,306.0,306.3,26668
239,2019-03-07 10:25:00+05:30,306.3,306.75,306.0,306.45,28881
240,2019-03-07 10:30:00+05:30,306.45,307.2,306.45,307.2,21069
241,2019-03-07 10:35:00+05:30,307.2,307.85,307.1,307.65,31123
242,2019-03-07 10:40:00+05:30,307.65,308.0,307.1,307.55,42458
243,2019-03-07 10:45:00+05:30,307.55,308.0,307.25,307.25,14274
244,2019-03-07 10:50:00+05:30,307.25,307.4,307.0,307.25,10134
245,2019-03-07 10:55:00+05:30,307.05,307.25,305.85,305.85,34928
246,2019-03-07 11:00:00+05:30,305.85,306.55,305.5,306.35,37223
247,2019-03-07 11:05:00+05:30,306.35,306.55,306.0,306.1,11590
248,2019-03-07 11:10:00+05:30,306.1,307.0,306.1,306.85,12294
249,2019-03-07 11:15:00+05:30,306.85,307.4,306.85,307.25,28541
250,2019-03-07 11:20:00+05:30,307.25,307.25,306.9,307.0,3473
251,2019-03-07 11:25:00+05:30,307.0,307.55,306.8,307.45,30304
252,2019-03-07 11:30:00+05:30,307.45,307.5,307.15,307.35,7899
253,2019-03-07 11:35:00+05:30,307.35,307.65,306.9,307.5,21916
254,2019-03-07 11:40:00+05:30,307.5,307.65,307.2,307.45,7572
255,2019-03-07 11:45:00+05:30,307.35,307.65,307.2,307.4,17933
256,2019-03-07 11:50:00+05:30,307.65,307.8,307.3,307.45,12551
257,2019-03-07 11:55:00+05:30,307.45,307.5,307.3,307.5,5039
258,2019-03-07 12:00:00+05:30,307.5,307.5,307.05,307.05,11808
259,2019-03-07 12:05:00+05:30,307.05,307.15,306.45,306.9,14742
260,2019-03-07 12:10:00+05:30,307.05,307.05,306.6,306.75,4290
261,2019-03-07 12:15:00+05:30,306.75,306.95,306.55,306.85,6688
262,2019-03-07 12:20:00+05:30,306.85,307.0,306.6,306.6,11315
263,2019-03-07 12:25:00+05:30,306.6,306.7,305.65,306.45,26937
264,2019-03-07 12:30:00+05:30,306.45,306.7,306.3,306.45,13127
265,2019-03-07 12:35:00+05:30,306.45,306.95,306.35,306.7,16779
266,2019-03-07 12:40:00+05:30,306.7,306.7,306.6,306.7,2696
267,2019-03-07 12:45:00+05:30,306.7,306.7,306.45,306.6,5609
268,2019-03-07 12:50:00+05:30,306.6,306.95,306.5,306.6,10872
269,2019-03-07 12:55:00+05:30,306.6,307.45,306.6,307.35,36990
270,2019-03-07 13:00:00+05:30,307.35,307.4,306.85,306.9,8557
271,2019-03-07 13:05:00+05:30,306.9,307.3,306.7,306.95,7764
272,2019-03-07 13:10:00+05:30,306.95,307.25,306.95,307.05,2719
273,2019-03-07 13:15:00+05:30,307.05,307.5,307.0,307.5,13508
274,2019-03-07 13:20:00+05:30,307.5,307.5,307.05,307.2,4655
275,2019-03-07 13:25:00+05:30,307.2,307.4,307.1,307.2,4619
276,2019-03-07 13:30:00+05:30,307.15,307.4,306.85,307.0,8426
277,2019-03-07 13:35:00+05:30,307.0,307.2,307.0,307.1,4071
278,2019-03-07 13:40:00+05:30,307.1,307.2,306.8,306.8,5270
279,2019-03-07 13:45:00+05:30,306.8,307.45,306.1,306.7,27072
280,2019-03-07 13:50:00+05:30,306.7,307.0,306.6,306.85,8731
281,2019-03-07 13:55:00+05:30,306.85,307.0,306.7,306.75,5124
282,2019-03-07 14:00:00+05:30,306.75,307.0,306.65,306.9,4372
283,2019-03-07 14:05:00+05:30,306.7,306.9,306.15,306.3,31814
284,2019-03-07 14:10:00+05:30,306.3,306.45,305.6,306.35,51168
285,2019-03-07 14:15:00+05:30,306.35,306.35,305.65,305.75,32943
286,2019-03-07 14:20:00+05:30,305.9,306.8,305.65,306.75,35015
287,2019-03-07 14:25:00+05:30,306.8,307.15,306.55,307.0,36996
288,2019-03-07 14:30:00+05:30,307.0,307.2,306.55,306.6,43687
289,2019-03-07 14:35:00+05:30,306.7,307.35,306.1,307.05,28038
290,2019-03-07 14:40:00+05:30,307.05,307.2,306.6,306.75,12308
291,2019-03-07 14:45:00+05:30,306.8,306.85,306.55,306.65,7324
292,2019-03-07 14:50:00+05:30,306.65,306.65,305.7,305.95,45494
293,2019-03-07 14:55:00+05:30,306.05,306.5,305.05,306.35,57880
294,2019-03-07 15:00:00+05:30,306.35,306.55,306.15,306.35,51871
295,2019-03-07 15:05:00+05:30,306.4,306.4,305.1,305.9,61382
296,2019-03-07 15:10:00+05:30,305.9,306.45,305.6,305.9,77490
297,2019-03-07 15:15:00+05:30,305.9,306.25,305.05,305.5,116393
298,2019-03-07 15:20:00+05:30,305.5,305.9,304.55,304.65,85193
299,2019-03-07 15:25:00+05:30,304.7,306.0,304.65,305.55,51908
300,2019-03-08 09:15:00+05:30,304.8,308.6,304.8,308.3,99649
301,2019-03-08 09:20:00+05:30,308.3,308.8,307.5,308.15,66142
302,2019-03-08 09:25:00+05:30,308.15,309.85,308.1,309.3,110813
303,2019-03-08 09:30:00+05:30,309.3,310.0,308.8,309.5,66192
304,2019-03-08 09:35:00+05:30,309.4,309.6,308.8,309.4,36538
305,2019-03-08 09:40:00+05:30,309.4,309.5,308.0,308.6,38524
306,2019-03-08 09:45:00+05:30,308.6,309.4,308.3,308.8,21165
307,2019-03-08 09:50:00+05:30,308.8,308.8,308.1,308.35,15559
308,2019-03-08 09:55:00+05:30,308.35,308.5,307.3,308.0,43439
309,2019-03-08 10:00:00+05:30,308.05,308.35,307.1,307.4,31722
310,2019-03-08 10:05:00+05:30,307.4,307.8,306.1,306.25,54116
311,2019-03-08 10:10:00+05:30,306.35,306.9,306.25,306.7,39492
312,2019-03-08 10:15:00+05:30,306.5,307.35,306.5,307.25,28373
313,2019-03-08 10:20:00+05:30,307.05,307.35,306.75,307.15,12380
314,2019-03-08 10:25:00+05:30,307.15,307.25,306.55,307.2,14451
315,2019-03-08 10:30:00+05:30,307.2,307.5,306.8,307.05,11969
