,date,open,high,low,close,volume
0,2019-03-01 09:15:00+05:30,178.65,179.5,178.05,179.1,709184
1,2019-03-01 09:20:00+05:30,179.1,179.7,179.1,179.6,388874
2,2019-03-01 09:25:00+05:30,179.65,179.65,178.55,178.8,358834
3,2019-03-01 09:30:00+05:30,178.85,180.7,178.75,179.95,974057
4,2019-03-01 09:35:00+05:30,179.9,179.9,179.1,179.3,225161
5,2019-03-01 09:40:00+05:30,179.35,179.5,178.7,179.15,211468
6,2019-03-01 09:45:00+05:30,179.15,179.25,178.65,178.85,168318
7,2019-03-01 09:50:00+05:30,178.85,179.0,178.65,178.75,98107
8,2019-03-01 09:55:00+05:30,178.7,179.1,178.4,178.6,199657
9,2019-03-01 10:00:00+05:30,178.6,179.2,178.5,178.7,113388
10,2019-03-01 10:05:00+05:30,178.7,178.95,178.4,178.65,153548
11,2019-03-01 10:10:00+05:30,178.65,178.95,178.4,178.9,124963
12,2019-03-01 10:15:00+05:30,178.9,179.15,178.6,178.85,103251
13,2019-03-01 10:20:00+05:30,178.75,178.9,178.2,178.5,143299
14,2019-03-01 10:25:00+05:30,178.45,178.55,178.1,178.35,137549
15,2019-03-01 10:30:00+05:30,178.3,178.5,178.2,178.3,70706
16,2019-03-01 10:35:00+05:30,178.3,178.75,178.2,178.75,96181
17,2019-03-01 10:40:00+05:30,178.75,178.8,178.5,178.75,45118
18,2019-03-01 10:45:00+05:30,178.75,179.0,178.6,178.95,113633
19,2019-03-01 10:50:00+05:30,178.9,179.1,178.35,178.35,194475
20,2019-03-01 10:55:00+05:30,178.35,178.8,177.9,178.4,345034
21,2019-03-01 11:00:00+05:30,178.35,178.65,178.15,178.55,70475
22,2019-03-01 11:05:00+05:30,178.55,178.6,178.25,178.5,60043
23,2019-03-01 11:10:00+05:30,178.5,178.65,178.25,178.3,99927
24,2019-03-01 11:15:00+05:30,178.25,178.5,178.25,178.4,21924
25,2019-03-01 11:20:00+05:30,178.4,178.7,178.15,178.7,115264
26,2019-03-01 11:25:00+05:30,178.7,178.8,178.45,178.6,51915
27,2019-03-01 11:30:00+05:30,178.6,178.75,178.5,178.6,25572
28,2019-03-01 11:35:00+05:30,178.6,178.8,178.55,178.8,31413
