,date,open,high,low,close,volume
0,2019-03-01 09:15:00+05:30,584.05,586.6,582.45,586.2,78759
1,2019-03-01 09:20:00+05:30,586.35,587.85,584.15,586.35,60258
2,2019-03-01 09:25:00+05:30,586.35,586.65,584.65,585.25,28687
3,2019-03-01 09:30:00+05:30,585.25,585.3,584.65,584.85,19839
4,2019-03-01 09:35:00+05:30,584.85,585.65,584.75,585.05,21275
5,2019-03-01 09:40:00+05:30,585.05,585.05,583.75,583.8,43947
6,2019-03-01 09:45:00+05:30,583.85,585.55,583.8,585.3,23891
7,2019-03-01 09:50:00+05:30,585.3,585.75,584.55,584.75,23678
8,2019-03-01 09:55:00+05:30,584.75,585.85,584.35,585.45,16878
9,2019-03-01 10:00:00+05:30,585.45,586.55,585.05,585.55,20631
10,2019-03-01 10:05:00+05:30,585.55,586.0,585.15,585.5,14033
11,2019-03-01 10:10:00+05:30,585.35,585.5,585.0,585.2,10885
12,2019-03-01 10:15:00+05:30,585.2,585.65,584.9,585.35,20064
13,2019-03-01 10:20:00+05:30,585.45,585.85,585.2,585.85,16102
14,2019-03-01 10:25:00+05:30,585.85,586.0,585.35,585.6,9220
15,2019-03-01 10:30:00+05:30,585.55,586.65,585.55,585.75,20964
16,2019-03-01 10:35:00+05:30,585.65,586.0,585.4,585.95,5094
17,2019-03-01 10:40:00+05:30,585.9,586.35,585.85,586.0,7516
18,2019-03-01 10:45:00+05:30,586.0,586.1,585.3,585.3,14179
19,2019-03-01 10:50:00+05:30,585.45,585.45,584.65,584.7,10523
20,2019-03-01 10:55:00+05:30,584.75,585.3,584.0,584.0,22857
21,2019-03-01 11:00:00+05:30,584.1,584.35,583.35,584.3,29888
22,2019-03-01 11:05:00+05:30,584.3,584.35,583.5,583.8,19895
23,2019-03-01 11:10:00+05:30,583.8,584.25,583.65,583.8,12412
24,2019-03-01 11:15:00+05:30,583.75,584.65,583.6,584.2,18372
25,2019-03-01 11:20:00+05:30,584.2,585.15,584.05,585.05,13490
26,2019-03-01 11:25:00+05:30,585.05,585.55,584.85,585.35,12668
27,2019-03-01 11:30:00+05:30,585.35,585.35,584.95,585.0,10535
28,2019-03-01 11:35:00+05:30,585.05,585.35,584.65,584.95,13383
29,2019-03-01 11:40:00+05:30,584.75,585.05,583.65,583.85,11616
30,2019-03-01 11:45:00+05:30,583.85,584.45,583.85,584.25,5818
31,2019-03-01 11:50:00+05:30,584.25,584.6,584.15,584.25,4164
32,2019-03-01 11:55:00+05:30,584.25,584.45,583.7,583.7,13083
33,2019-03-01 12:00:00+05:30,583.7,584.2,582.85,583.05,24056
34,2019-03-01 12:05:00+05:30,583.05,583.45,581.75,581.75,40416
35,2019-03-01 12:10:00+05:30,581.75,582.6,581.4,581.65,50958
36,2019-03-01 12:15:00+05:30,581.55,581.65,580.0,580.25,82145
37,2019-03-01 12:20:00+05:30,580.6,581.85,580.25,581.7,27267
38,2019-03-01 12:25:00+05:30,581.7,582.7,581.65,582.25,22648
39,2019-03-01 12:30:00+05:30,582.25,583.0,582.15,582.45,20481
40,2019-03-01 12:35:00+05:30,582.45,582.65,580.95,581.15,19919
41,2019-03-01 12:40:00+05:30,581.15,582.55,581.15,581.45,11509
42,2019-03-01 12:45:00+05:30,581.45,581.95,581.35,581.7,9396
43,2019-03-01 12:50:00+05:30,581.7,582.2,581.7,582.15,7152
44,2019-03-01 12:55:00+05:30,582.15,583.25,582.1,582.95,11952
45,2019-03-01 13:00:00+05:30,582.85,583.25,582.0,582.2,14115
46,2019-03-01 13:05:00+05:30,582.15,583.2,582.1,582.65,10294
47,2019-03-01 13:10:00+05:30,582.7,583.8,582.5,583.15,18737
48,2019-03-01 13:15:00+05:30,583.15,584.65,582.85,583.45,35625
49,2019-03-01 13:20:00+05:30,583.45,583.95,582.3,582.9,14704
50,2019-03-01 13:25:00+05:30,582.9,583.05,582.05,582.75,8982
51,2019-03-01 13:30:00+05:30,582.75,583.05,582.5,582.6,6401
52,2019-03-01 13:35:00+05:30,582.6,582.8,581.45,581.7,16628
53,2019-03-01 13:40:00+05:30,581.6,582.6,581.15,581.35,16736
54,2019-03-01 13:45:00+05:30,581.35,581.85,581.35,581.75,11470
55,2019-03-01 13:50:00+05:30,581.75,582.4,581.75,582.2,8689
56,2019-03-01 13:55:00+05:30,582.2,583.55,581.85,582.9,25694
57,2019-03-01 14:00:00+05:30,582.9,583.35,582.55,583.35,8810
58,2019-03-01 14:05:00+05:30,582.95,583.65,582.65,583.0,11781
59,2019-03-01 14:10:00+05:30,583.0,583.55,582.9,583.4,9450
60,2019-03-01 14:15:00+05:30,583.5,583.55,581.95,582.85,24829
61,2019-03-01 14:20:00+05:30,582.85,583.3,582.2,582.25,17192
62,2019-03-01 14:25:00+05:30,582.25,583.35,582.25,583.0,7454
63,2019-03-01 14:30:00+05:30,582.95,583.05,581.75,581.8,14946
64,2019-03-01 14:35:00+05:30,581.8,582.35,581.7,582.0,9368
65,2019-03-01 14:40:00+05:30,582.0,582.0,580.55,581.05,24787
66,2019-03-01 14:45:00+05:30,581.15,581.35,580.65,581.05,16007
67,2019-03-01 14:50:00+05:30,581.0,581.15,580.0,580.65,29142
68,2019-03-01 14:55:00+05:30,580.65,581.85,580.35,581.65,19626
69,2019-03-01 15:00:00+05:30,581.65,582.45,581.35,582.1,21593
70,2019-03-01 15:05:00+05:30,582.1,582.15,581.1,581.7,16502
71,2019-03-01 15:10:00+05:30,581.7,581.7,578.85,579.35,74028
72,2019-03-01 15:15:00+05:30,579.35,580.65,578.75,579.85,82691
73,2019-03-01 15:20:00+05:30,579.85,580.0,578.95,579.5,60010
74,2019-03-01 15:25:00+05:30,579.35,580.45,578.95,580.4,38176
75,2019-03-05 09:15:00+05:30,581.85,581.85,577.05,578.1,48636
76,2019-03-05 09:20:00+05:30,578.25,580.85,578.1,579.5,32733
77,2019-03-05 09:25:00+05:30,579.5,582.45,579.5,581.65,31514
78,2019-03-05 09:30:00+05:30,581.65,583.35,581.35,581.8,28664
79,2019-03-05 09:35:00+05:30,581.8,581.8,580.15,580.35,18985
80,2019-03-05 09:40:00+05:30,580.35,582.5,580.35,582.05,15444
81,2019-03-05 09:45:00+05:30,582.0,582.0,581.25,581.35,16253
82,2019-03-05 09:50:00+05:30,581.35,581.4,578.35,578.7,22422
83,2019-03-05 09:55:00+05:30,578.65,579.3,578.2,578.85,16227
84,2019-03-05 10:00:00+05:30,578.85,579.35,578.65,578.9,11180
85,2019-03-05 10:05:00+05:30,579.05,579.05,577.95,578.75,23994
86,2019-03-05 10:10:00+05:30,578.75,579.25,578.55,579.05,6511
87,2019-03-05 10:15:00+05:30,579.05,581.65,579.05,581.65,20471
88,2019-03-05 10:20:00+05:30,581.65,582.25,581.25,581.9,22739
89,2019-03-05 10:25:00+05:30,581.95,582.65,581.7,582.65,16026
90,2019-03-05 10:30:00+05:30,582.45,582.95,582.0,582.85,16618
91,2019-03-05 10:35:00+05:30,582.8,583.0,581.4,582.05,12643
92,2019-03-05 10:40:00+05:30,582.05,582.6,581.4,582.05,8812
93,2019-03-05 10:45:00+05:30,582.05,582.65,582.05,582.55,4613
94,2019-03-05 10:50:00+05:30,582.55,582.85,582.15,582.15,8712
