,date,open,high,low,close,volume
0,2019-11-01 09:15:00+05:30,188.05,188.25,187.35,187.45,122761
1,2019-11-01 09:20:00+05:30,187.6,188.75,187.6,188.6,131087
2,2019-11-01 09:25:00+05:30,188.6,188.9,188.3,188.9,69182
3,2019-11-01 09:30:00+05:30,188.9,189.2,188.75,188.8,64119
4,2019-11-01 09:35:00+05:30,188.8,189.4,188.6,189.3,69327
5,2019-11-01 09:40:00+05:30,189.3,189.5,189.0,189.3,56964
6,2019-11-01 09:45:00+05:30,189.3,189.4,188.95,189.15,39740
7,2019-11-01 09:50:00+05:30,189.25,190.05,189.15,190.0,143297
8,2019-11-01 09:55:00+05:30,189.95,190.2,189.7,190.0,81962
9,2019-11-01 10:00:00+05:30,189.9,190.1,189.4,190.05,96053
10,2019-11-01 10:05:00+05:30,190.05,190.05,189.55,189.9,43844
11,2019-11-01 10:10:00+05:30,189.9,190.1,189.7,189.8,38259
12,2019-11-01 10:15:00+05:30,189.8,190.0,189.5,189.85,57142
13,2019-11-01 10:20:00+05:30,189.85,190.0,189.6,189.8,52688
14,2019-11-01 10:25:00+05:30,189.8,190.1,189.55,189.75,65176
15,2019-11-01 10:30:00+05:30,189.75,189.9,189.3,189.3,40094
16,2019-11-01 10:35:00+05:30,189.3,189.3,188.55,189.0,102778
17,2019-11-01 10:40:00+05:30,189.0,189.1,188.8,189.0,26794
18,2019-11-01 10:45:00+05:30,189.0,189.4,188.9,189.35,33886
19,2019-11-01 10:50:00+05:30,189.35,189.6,189.3,189.35,23554
20,2019-11-01 10:55:00+05:30,189.4,189.6,189.2,189.45,25072
21,2019-11-01 11:00:00+05:30,189.6,189.9,189.4,189.55,26374
22,2019-11-01 11:05:00+05:30,189.55,190.0,189.45,189.8,34598
23,2019-11-01 11:10:00+05:30,189.8,190.0,189.6,189.6,22341
24,2019-11-01 11:15:00+05:30,189.7,189.8,189.45,189.7,21070
25,2019-11-01 11:20:00+05:30,189.7,190.0,189.55,189.55,26317
26,2019-11-01 11:25:00+05:30,189.7,190.0,189.6,189.9,39389
27,2019-11-01 11:30:00+05:30,189.9,190.1,189.65,189.7,43202
28,2019-11-01 11:35:00+05:30,189.7,190.0,189.6,189.95,27227
29,2019-11-01 11:40:00+05:30,189.95,190.0,189.8,189.85,13470
30,2019-11-01 11:45:00+05:30,189.85,189.95,189.5,189.55,25413
31,2019-11-01 11:50:00+05:30,189.6,189.85,189.25,189.35,47619
32,2019-11-01 11:55:00+05:30,189.3,189.6,189.05,189.1,35675
33,2019-11-01 12:00:00+05:30,189.15,189.2,188.8,189.1,56489
34,2019-11-01 12:05:00+05:30,189.1,189.25,189.05,189.05,12073
35,2019-11-01 12:10:00+05:30,189.05,189.6,189.05,189.55,23965
36,2019-11-01 12:15:00+05:30,189.65,190.0,189.45,189.5,60852
37,2019-11-01 12:20:00+05:30,189.5,189.7,189.45,189.55,12569
38,2019-11-01 12:25:00+05:30,189.55,189.85,189.5,189.8,14857
39,2019-11-01 12:30:00+05:30,189.8,190.1,189.65,189.9,86547
40,2019-11-01 12:35:00+05:30,190.0,190.0,189.65,189.75,95144
41,2019-11-01 12:40:00+05:30,189.75,189.95,189.6,189.8,22945
42,2019-11-01 12:45:00+05:30,189.8,190.05,189.6,190.0,67006
43,2019-11-01 12:50:00+05:30,190.0,190.05,189.65,189.7,40973
44,2019-11-01 12:55:00+05:30,189.7,190.45,189.6,190.3,91577
45,2019-11-01 13:00:00+05:30,190.25,190.65,189.85,189.95,112549
46,2019-11-01 13:05:00+05:30,190.0,190.0,189.6,189.85,37308
47,2019-11-01 13:10:00+05:30,189.85,190.05,189.65,189.7,20871
48,2019-11-01 13:15:00+05:30,189.7,189.9,189.6,189.8,20720
49,2019-11-01 13:20:00+05:30,189.8,190.05,189.75,189.9,24055
50,2019-11-01 13:25:00+05:30,189.9,190.05,189.75,189.9,28058
51,2019-11-01 13:30:00+05:30,189.75,190.3,189.75,190.2,34030
52,2019-11-01 13:35:00+05:30,190.25,190.25,189.85,190.1,23662
53,2019-11-01 13:40:00+05:30,190.1,190.25,189.8,189.9,20131
54,2019-11-01 13:45:00+05:30,189.9,190.05,189.7,189.8,23343
55,2019-11-01 13:50:00+05:30,189.8,190.0,189.7,189.75,25998
56,2019-11-01 13:55:00+05:30,189.75,190.05,189.75,189.95,16265
57,2019-11-01 14:00:00+05:30,189.95,190.8,189.9,190.8,67135
58,2019-11-01 14:05:00+05:30,190.8,192.25,190.65,192.0,452918
59,2019-11-01 14:10:00+05:30,192.15,193.25,192.05,193.15,616772
60,2019-11-01 14:15:00+05:30,193.0,193.15,192.65,193.1,256489
61,2019-11-01 14:20:00+05:30,193.15,193.5,192.6,192.9,285407
62,2019-11-01 14:25:00+05:30,192.9,193.35,192.6,192.8,248909
63,2019-11-01 14:30:00+05:30,192.8,193.75,192.6,193.15,271265
64,2019-11-01 14:35:00+05:30,193.1,193.75,192.85,193.6,157336
65,2019-11-01 14:40:00+05:30,193.6,194.35,193.45,193.9,365365
66,2019-11-01 14:45:00+05:30,193.85,194.0,193.1,193.35,185488
67,2019-11-01 14:50:00+05:30,193.35,194.0,193.3,194.0,136614
68,2019-11-01 14:55:00+05:30,193.9,194.1,193.6,193.8,118343
69,2019-11-01 15:00:00+05:30,193.9,194.25,193.2,193.3,191938
70,2019-11-01 15:05:00+05:30,193.2,193.7,193.05,193.5,137348
71,2019-11-01 15:10:00+05:30,193.5,194.0,193.5,193.8,183115
72,2019-11-01 15:15:00+05:30,193.8,194.15,193.75,193.8,254712
73,2019-11-01 15:20:00+05:30,193.8,194.0,193.5,193.6,124073
74,2019-11-01 15:25:00+05:30,193.6,194.0,193.6,193.8,125166
75,2019-11-04 09:15:00+05:30,195.5,199.85,195.5,199.45,596021
76,2019-11-04 09:20:00+05:30,199.7,200.5,198.9,200.25,686806
77,2019-11-04 09:25:00+05:30,200.25,200.95,199.85,200.05,719953
78,2019-11-04 09:30:00+05:30,200.05,201.5,199.8,201.4,467513
79,2019-11-04 09:35:00+05:30,201.5,203.65,201.35,203.25,817515
80,2019-11-04 09:40:00+05:30,203.4,203.9,203.0,203.5,372701
81,2019-11-04 09:45:00+05:30,203.5,204.1,203.3,203.75,331130
82,2019-11-04 09:50:00+05:30,203.8,204.0,201.65,201.8,610558
83,2019-11-04 09:55:00+05:30,201.75,202.15,201.4,201.7,369492
84,2019-11-04 10:00:00+05:30,201.65,201.95,201.2,201.65,175615
85,2019-11-04 10:05:00+05:30,201.65,202.25,201.5,201.9,293616
86,2019-11-04 10:10:00+05:30,201.8,202.0,201.4,201.95,197775
