,date,open,high,low,close,volume
0,2019-11-01 09:15:00+05:30,434.65,436.45,433.65,435.45,138884
1,2019-11-01 09:20:00+05:30,435.45,437.45,435.4,437.2,89619
2,2019-11-01 09:25:00+05:30,437.2,437.2,435.1,435.15,48308
3,2019-11-01 09:30:00+05:30,435.15,435.25,433.3,433.7,64767
4,2019-11-01 09:35:00+05:30,433.6,434.9,433.5,433.95,37126
5,2019-11-01 09:40:00+05:30,433.95,434.8,433.1,434.3,40679
6,2019-11-01 09:45:00+05:30,434.3,436.3,434.3,436.1,39676
7,2019-11-01 09:50:00+05:30,436.5,436.5,435.25,435.3,27303
8,2019-11-01 09:55:00+05:30,435.35,435.9,435.1,435.3,26603
9,2019-11-01 10:00:00+05:30,435.3,437.25,435.0,436.3,54211
10,2019-11-01 10:05:00+05:30,436.3,438.3,436.3,437.95,95474
11,2019-11-01 10:10:00+05:30,437.95,438.9,437.45,438.55,86602
12,2019-11-01 10:15:00+05:30,438.4,438.7,436.75,436.8,62648
13,2019-11-01 10:20:00+05:30,436.8,437.5,436.45,436.9,56296
14,2019-11-01 10:25:00+05:30,436.9,438.5,436.75,437.9,163318
15,2019-11-01 10:30:00+05:30,437.9,438.0,436.5,436.9,51672
16,2019-11-01 10:35:00+05:30,436.9,438.2,436.7,437.8,68640
17,2019-11-01 10:40:00+05:30,437.85,439.4,437.5,438.5,98791
18,2019-11-01 10:45:00+05:30,438.6,438.9,437.45,438.1,21776
19,2019-11-01 10:50:00+05:30,438.0,438.3,436.8,436.95,35984
20,2019-11-01 10:55:00+05:30,436.95,438.2,436.75,437.45,21919
21,2019-11-01 11:00:00+05:30,437.45,438.0,437.25,437.6,8917
22,2019-11-01 11:05:00+05:30,437.6,438.5,437.55,438.5,21428
23,2019-11-01 11:10:00+05:30,438.5,438.8,437.05,437.35,30711
24,2019-11-01 11:15:00+05:30,437.35,437.5,436.7,436.95,46062
25,2019-11-01 11:20:00+05:30,437.2,437.5,436.9,437.0,15283
26,2019-11-01 11:25:00+05:30,437.0,439.4,436.75,439.25,84405
27,2019-11-01 11:30:00+05:30,439.35,440.8,439.2,440.15,156065
28,2019-11-01 11:35:00+05:30,440.3,440.3,437.75,438.0,47162
29,2019-11-01 11:40:00+05:30,438.0,438.2,436.9,437.0,67895
30,2019-11-01 11:45:00+05:30,436.9,437.9,436.55,436.7,53205
31,2019-11-01 11:50:00+05:30,436.7,437.3,435.75,436.0,68950
32,2019-11-01 11:55:00+05:30,436.05,436.5,435.4,435.85,30351
33,2019-11-01 12:00:00+05:30,435.85,437.15,435.7,436.8,20687
34,2019-11-01 12:05:00+05:30,436.8,436.95,436.0,436.15,17016
35,2019-11-01 12:10:00+05:30,436.15,437.45,436.0,437.45,26387
36,2019-11-01 12:15:00+05:30,437.45,438.5,437.15,437.85,44448
37,2019-11-01 12:20:00+05:30,437.9,438.0,436.55,436.8,22723
38,2019-11-01 12:25:00+05:30,436.8,437.35,436.55,436.9,16391
39,2019-11-01 12:30:00+05:30,437.1,437.7,436.55,437.65,17640
40,2019-11-01 12:35:00+05:30,437.65,438.6,437.3,438.3,28244
41,2019-11-01 12:40:00+05:30,438.3,438.3,437.6,437.65,18906
42,2019-11-01 12:45:00+05:30,437.75,437.75,437.05,437.7,16708
43,2019-11-01 12:50:00+05:30,437.7,437.75,436.5,436.9,18210
44,2019-11-01 12:55:00+05:30,436.9,437.45,436.7,437.2,11672
45,2019-11-01 13:00:00+05:30,437.25,437.35,436.5,436.6,14420
46,2019-11-01 13:05:00+05:30,436.6,437.75,436.5,437.75,23125
47,2019-11-01 13:10:00+05:30,437.75,438.3,437.2,437.95,38931
48,2019-11-01 13:15:00+05:30,437.95,438.2,437.2,437.85,21147
49,2019-11-01 13:20:00+05:30,437.85,438.5,437.65,438.5,25705
50,2019-11-01 13:25:00+05:30,438.45,439.0,438.25,438.8,30570
51,2019-11-01 13:30:00+05:30,438.8,439.45,438.25,438.5,48184
52,2019-11-01 13:35:00+05:30,438.5,439.0,437.85,438.4,49304
53,2019-11-01 13:40:00+05:30,438.4,438.7,437.85,438.2,14511
54,2019-11-01 13:45:00+05:30,438.2,438.8,437.5,438.25,20906
55,2019-11-01 13:50:00+05:30,438.25,438.25,436.75,436.95,52276
56,2019-11-01 13:55:00+05:30,437.0,437.25,436.3,436.5,36857
57,2019-11-01 14:00:00+05:30,436.5,437.4,435.85,437.4,51822
58,2019-11-01 14:05:00+05:30,437.4,437.8,437.0,437.3,24095
59,2019-11-01 14:10:00+05:30,437.3,437.5,436.75,437.25,28221
60,2019-11-01 14:15:00+05:30,437.25,437.75,436.75,437.5,36905
61,2019-11-01 14:20:00+05:30,437.25,437.55,436.75,437.05,18722
62,2019-11-01 14:25:00+05:30,437.05,437.15,436.6,436.9,21552
63,2019-11-01 14:30:00+05:30,436.9,437.7,436.6,437.05,32515
64,2019-11-01 14:35:00+05:30,437.05,437.5,436.7,437.5,20430
65,2019-11-01 14:40:00+05:30,437.5,438.2,436.8,437.7,51630
66,2019-11-01 14:45:00+05:30,437.75,437.75,436.75,437.1,29738
67,2019-11-01 14:50:00+05:30,437.1,437.4,436.75,437.0,20578
68,2019-11-01 14:55:00+05:30,437.0,437.0,436.75,436.85,26449
69,2019-11-01 15:00:00+05:30,436.85,437.0,436.5,436.55,58486
70,2019-11-01 15:05:00+05:30,436.55,437.2,435.85,437.1,67994
71,2019-11-01 15:10:00+05:30,437.05,437.65,436.5,437.2,75865
72,2019-11-01 15:15:00+05:30,437.15,438.6,437.0,437.55,175710
73,2019-11-01 15:20:00+05:30,437.55,438.75,437.45,438.1,109542
74,2019-11-01 15:25:00+05:30,438.1,438.95,437.4,438.9,93926
75,2019-11-04 09:15:00+05:30,439.95,440.5,437.5,439.75,111365
76,2019-11-04 09:20:00+05:30,439.95,440.5,438.5,439.75,94048
77,2019-11-04 09:25:00+05:30,440.0,441.0,439.5,439.8,80924
78,2019-11-04 09:30:00+05:30,439.8,441.85,439.75,441.6,116868
79,2019-11-04 09:35:00+05:30,441.6,442.4,440.4,440.4,122145
80,2019-11-04 09:40:00+05:30,440.6,441.85,438.4,439.45,90764
81,2019-11-04 09:45:00+05:30,439.45,440.2,438.75,439.35,60958
82,2019-11-04 09:50:00+05:30,439.3,440.2,439.3,439.6,39705
83,2019-11-04 09:55:00+05:30,439.9,440.05,439.1,439.1,28231
84,2019-11-04 10:00:00+05:30,439.1,441.0,439.1,439.85,61760
85,2019-11-04 10:05:00+05:30,439.9,441.35,439.75,441.0,31838
86,2019-11-04 10:10:00+05:30,441.0,441.4,439.5,439.7,537780
87,2019-11-04 10:15:00+05:30,439.6,440.45,439.25,440.25,27214
88,2019-11-04 10:20:00+05:30,440.0,441.0,439.85,440.1,31868
89,2019-11-04 10:25:00+05:30,440.1,440.9,439.7,440.85,18845
90,2019-11-04 10:30:00+05:30,440.85,441.25,439.55,440.55,25840
91,2019-11-04 10:35:00+05:30,440.5,441.8,440.3,441.4,64868
92,2019-11-04 10:40:00+05:30,441.45,441.65,440.2,440.5,51175
93,2019-11-04 10:45:00+05:30,440.5,441.0,440.25,440.65,19928
94,2019-11-04 10:50:00+05:30,440.65,441.2,440.35,440.95,13502
95,2019-11-04 10:55:00+05:30,440.85,441.4,440.6,441.15,22635
96,2019-11-04 11:00:00+05:30,441.3,441.9,440.7,441.0,360832
97,2019-11-04 11:05:00+05:30,440.95,441.5,440.75,440.95,28832
98,2019-11-04 11:10:00+05:30,440.8,441.55,440.65,441.3,42416
99,2019-11-04 11:15:00+05:30,441.4,441.7,440.8,440.8,30890
100,2019-11-04 11:20:00+05:30,440.75,440.95,438.6,439.65,87590
101,2019-11-04 11:25:00+05:30,439.65,440.0,439.25,439.75,20758
102,2019-11-04 11:30:00+05:30,439.7,440.0,439.25,439.75,14068
103,2019-11-04 11:35:00+05:30,439.75,440.0,439.1,439.9,8756
104,2019-11-04 11:40:00+05:30,439.55,440.15,438.55,438.95,31439
105,2019-11-04 11:45:00+05:30,438.8,439.5,438.2,438.35,27572
106,2019-11-04 11:50:00+05:30,438.4,438.75,437.35,438.2,76671
107,2019-11-04 11:55:00+05:30,438.25,439.0,437.8,438.15,15126
108,2019-11-04 12:00:00+05:30,438.1,439.8,438.1,439.0,27566
109,2019-11-04 12:05:00+05:30,439.0,439.5,438.1,439.2,22672
110,2019-11-04 12:10:00+05:30,438.85,439.4,438.1,439.0,12305
111,2019-11-04 12:15:00+05:30,439.0,439.75,438.9,439.4,11366
112,2019-11-04 12:20:00+05:30,439.2,440.05,439.0,439.95,18094
113,2019-11-04 12:25:00+05:30,440.0,440.0,437.7,438.0,44381
114,2019-11-04 12:30:00+05:30,437.75,438.1,437.55,437.85,31171
115,2019-11-04 12:35:00+05:30,437.85,438.2,435.8,435.8,224388
116,2019-11-04 12:40:00+05:30,435.6,435.75,433.7,434.65,112270
117,2019-11-04 12:45:00+05:30,434.65,435.85,434.5,435.65,35997
118,2019-11-04 12:50:00+05:30,435.65,435.7,435.0,435.15,23114
119,2019-11-04 12:55:00+05:30,435.15,435.6,434.9,435.25,11765
120,2019-11-04 13:00:00+05:30,435.25,436.8,435.1,436.45,34074
121,2019-11-04 13:05:00+05:30,436.6,436.8,434.95,435.7,78045
122,2019-11-04 13:10:00+05:30,435.7,435.9,434.65,435.1,42761
123,2019-11-04 13:15:00+05:30,435.05,435.3,434.85,435.05,46588
124,2019-11-04 13:20:00+05:30,435.05,435.45,434.9,435.0,27916
125,2019-11-04 13:25:00+05:30,435.1,435.6,434.85,434.95,23621
126,2019-11-04 13:30:00+05:30,434.95,436.4,434.95,436.35,17771
127,2019-11-04 13:35:00+05:30,436.35,436.75,435.9,436.2,26636
128,2019-11-04 13:40:00+05:30,436.25,437.5,436.05,437.35,37317
129,2019-11-04 13:45:00+05:30,437.35,437.8,436.8,437.5,20928
130,2019-11-04 13:50:00+05:30,437.5,439.5,437.15,439.2,57509
131,2019-11-04 13:55:00+05:30,439.15,440.0,438.85,439.5,58713
132,2019-11-04 14:00:00+05:30,439.5,441.45,439.45,441.15,131567
133,2019-11-04 14:05:00+05:30,441.15,441.2,438.0,438.0,108770
134,2019-11-04 14:10:00+05:30,438.0,439.5,437.6,438.65,95084
135,2019-11-04 14:15:00+05:30,438.65,439.25,438.5,439.15,18811
136,2019-11-04 14:20:00+05:30,439.0,440.3,438.9,439.85,43526
137,2019-11-04 14:25:00+05:30,439.85,440.0,439.3,439.8,22961
138,2019-11-04 14:30:00+05:30,439.7,440.0,439.5,439.95,27532
