,date,open,high,low,close,volume
0,2019-11-01 09:15:00+05:30,175.2,175.2,172.5,173.15,2773719
1,2019-11-01 09:20:00+05:30,173.05,174.3,173.0,174.2,1326219
2,2019-11-01 09:25:00+05:30,174.1,174.8,173.85,174.4,1316430
3,2019-11-01 09:30:00+05:30,174.4,175.9,173.9,174.65,1490540
4,2019-11-01 09:35:00+05:30,174.7,175.25,174.65,174.95,975129
5,2019-11-01 09:40:00+05:30,175.05,175.15,174.15,174.25,663872
6,2019-11-01 09:45:00+05:30,174.25,174.85,174.25,174.45,395634
7,2019-11-01 09:50:00+05:30,174.35,176.25,174.3,175.75,996328
8,2019-11-01 09:55:00+05:30,175.85,176.05,175.2,175.35,834565
9,2019-11-01 10:00:00+05:30,175.35,177.15,174.65,176.6,1669788
10,2019-11-01 10:05:00+05:30,176.7,177.55,176.3,176.9,1236766
11,2019-11-01 10:10:00+05:30,176.9,177.2,176.5,176.7,637474
12,2019-11-01 10:15:00+05:30,176.7,176.9,175.75,175.8,760841
13,2019-11-01 10:20:00+05:30,175.8,175.95,175.5,175.75,418823
14,2019-11-01 10:25:00+05:30,175.8,176.65,175.45,176.15,575097
15,2019-11-01 10:30:00+05:30,176.2,176.3,175.3,175.3,397613
16,2019-11-01 10:35:00+05:30,175.3,175.8,175.05,175.3,543077
17,2019-11-01 10:40:00+05:30,175.25,175.95,175.15,175.7,312639
18,2019-11-01 10:45:00+05:30,175.7,176.3,175.4,176.15,457549
19,2019-11-01 10:50:00+05:30,176.2,176.4,175.6,175.7,353843
20,2019-11-01 10:55:00+05:30,175.65,176.6,175.65,176.2,341757
21,2019-11-01 11:00:00+05:30,176.2,176.65,176.1,176.4,316057
22,2019-11-01 11:05:00+05:30,176.35,177.4,176.35,177.05,1025757
23,2019-11-01 11:10:00+05:30,177.15,177.3,176.5,176.6,364943
24,2019-11-01 11:15:00+05:30,176.6,177.2,176.4,177.15,458871
25,2019-11-01 11:20:00+05:30,177.15,177.15,176.75,177.05,262424
26,2019-11-01 11:25:00+05:30,177.05,177.05,176.45,176.7,300806
27,2019-11-01 11:30:00+05:30,176.7,178.0,176.7,177.25,1335754
28,2019-11-01 11:35:00+05:30,177.25,177.85,177.0,177.55,420648
29,2019-11-01 11:40:00+05:30,177.6,177.7,177.1,177.1,333032
30,2019-11-01 11:45:00+05:30,177.15,177.25,176.65,176.85,474000
31,2019-11-01 11:50:00+05:30,176.85,177.1,176.65,176.7,254081
32,2019-11-01 11:55:00+05:30,176.75,177.45,176.65,177.25,422504
33,2019-11-01 12:00:00+05:30,177.25,177.35,176.3,176.35,372308
34,2019-11-01 12:05:00+05:30,176.35,176.85,176.3,176.7,302770
35,2019-11-01 12:10:00+05:30,176.7,177.0,176.4,176.95,262837
36,2019-11-01 12:15:00+05:30,177.0,177.45,176.9,177.15,465824
37,2019-11-01 12:20:00+05:30,177.15,177.15,176.75,176.95,198721
38,2019-11-01 12:25:00+05:30,177.0,177.05,176.7,177.0,154326
39,2019-11-01 12:30:00+05:30,176.9,177.05,176.4,176.7,296207
40,2019-11-01 12:35:00+05:30,176.75,176.95,176.7,176.8,114884
41,2019-11-01 12:40:00+05:30,176.7,176.9,176.55,176.7,111649
42,2019-11-01 12:45:00+05:30,176.7,176.75,176.1,176.25,325696
43,2019-11-01 12:50:00+05:30,176.25,176.4,175.7,176.15,530991
44,2019-11-01 12:55:00+05:30,176.25,176.4,175.85,176.4,275386
45,2019-11-01 13:00:00+05:30,176.35,176.55,175.95,176.05,224828
46,2019-11-01 13:05:00+05:30,176.05,176.1,175.65,175.85,378066
47,2019-11-01 13:10:00+05:30,175.85,176.2,175.6,175.85,311645
48,2019-11-01 13:15:00+05:30,175.9,176.0,175.6,175.95,225691
49,2019-11-01 13:20:00+05:30,175.95,176.5,175.95,176.4,228219
50,2019-11-01 13:25:00+05:30,176.4,176.75,176.3,176.55,213729
51,2019-11-01 13:30:00+05:30,176.6,176.8,175.9,176.2,289708
52,2019-11-01 13:35:00+05:30,176.15,176.4,176.05,176.1,129355
53,2019-11-01 13:40:00+05:30,176.1,176.15,175.05,175.4,764197
54,2019-11-01 13:45:00+05:30,175.35,175.5,174.5,174.7,885716
55,2019-11-01 13:50:00+05:30,174.7,175.35,174.4,175.2,491843
56,2019-11-01 13:55:00+05:30,175.25,175.4,175.0,175.0,202916
57,2019-11-01 14:00:00+05:30,175.05,176.4,175.0,176.1,536277
58,2019-11-01 14:05:00+05:30,176.05,176.7,175.7,175.8,514354
59,2019-11-01 14:10:00+05:30,175.85,176.2,175.5,175.9,312672
60,2019-11-01 14:15:00+05:30,175.9,176.1,175.65,175.9,178321
61,2019-11-01 14:20:00+05:30,175.8,176.0,175.65,175.65,137531
62,2019-11-01 14:25:00+05:30,175.7,175.85,175.0,175.1,344456
63,2019-11-01 14:30:00+05:30,175.1,175.9,175.1,175.45,262066
64,2019-11-01 14:35:00+05:30,175.45,175.8,175.45,175.6,133634
65,2019-11-01 14:40:00+05:30,175.6,176.2,175.4,175.55,350939
