,date,open,high,low,close,volume
0,2019-11-01 09:15:00+05:30,148.45,149.4,147.65,148.05,361153
1,2019-11-01 09:20:00+05:30,148.05,148.95,147.9,148.6,257269
2,2019-11-01 09:25:00+05:30,148.6,148.8,148.25,148.45,205517
3,2019-11-01 09:30:00+05:30,148.45,148.65,148.2,148.3,138276
4,2019-11-01 09:35:00+05:30,148.3,148.65,148.05,148.6,153767
5,2019-11-01 09:40:00+05:30,148.6,149.2,148.5,148.9,190534
6,2019-11-01 09:45:00+05:30,148.9,148.9,148.5,148.75,115722
7,2019-11-01 09:50:00+05:30,148.75,149.5,148.75,149.4,197833
8,2019-11-01 09:55:00+05:30,149.35,150.3,149.1,150.0,385321
9,2019-11-01 10:00:00+05:30,150.0,150.0,148.8,149.0,242903
10,2019-11-01 10:05:00+05:30,149.0,149.2,148.7,148.95,121033
11,2019-11-01 10:10:00+05:30,148.95,149.3,148.9,148.9,131132
12,2019-11-01 10:15:00+05:30,148.95,149.1,148.55,148.9,106080
13,2019-11-01 10:20:00+05:30,148.9,149.3,148.7,148.9,174879
14,2019-11-01 10:25:00+05:30,148.9,149.2,148.65,148.9,92905
15,2019-11-01 10:30:00+05:30,148.9,149.0,148.05,148.05,135305
16,2019-11-01 10:35:00+05:30,148.1,148.3,148.0,148.05,159203
17,2019-11-01 10:40:00+05:30,148.05,148.25,147.7,147.9,174803
18,2019-11-01 10:45:00+05:30,147.9,148.0,147.5,147.8,178088
19,2019-11-01 10:50:00+05:30,147.85,148.15,147.8,148.0,104640
20,2019-11-01 10:55:00+05:30,148.05,148.45,148.0,148.2,76443
21,2019-11-01 11:00:00+05:30,148.2,148.25,148.0,148.05,62980
22,2019-11-01 11:05:00+05:30,148.05,148.3,148.05,148.25,95357
23,2019-11-01 11:10:00+05:30,148.25,148.3,147.9,148.2,187551
24,2019-11-01 11:15:00+05:30,148.25,148.3,147.8,148.1,136066
25,2019-11-01 11:20:00+05:30,148.1,148.15,147.8,147.85,50500
