,date,open,high,low,close,volume
0,2019-10-01 09:15:00+05:30,436.95,441.55,436.8,441.1,1113887
1,2019-10-01 09:20:00+05:30,441.1,441.75,439.35,440.1,558874
2,2019-10-01 09:25:00+05:30,440.0,440.85,439.3,440.5,327558
3,2019-10-01 09:30:00+05:30,440.4,442.45,440.4,442.15,357815
4,2019-10-01 09:35:00+05:30,442.15,443.15,442.0,442.55,332532
5,2019-10-01 09:40:00+05:30,442.5,442.8,439.5,440.85,453205
6,2019-10-01 09:45:00+05:30,440.85,440.9,437.55,438.65,567806
7,2019-10-01 09:50:00+05:30,438.7,439.1,437.5,438.75,321641
8,2019-10-01 09:55:00+05:30,438.9,439.1,435.9,435.9,376282
9,2019-10-01 10:00:00+05:30,435.95,436.05,433.0,434.3,936557
10,2019-10-01 10:05:00+05:30,434.25,434.25,431.5,433.25,997856
11,2019-10-01 10:10:00+05:30,433.3,435.0,432.7,434.0,721581
12,2019-10-01 10:15:00+05:30,434.05,436.0,434.0,435.65,351734
13,2019-10-01 10:20:00+05:30,435.7,436.25,435.2,435.65,274505
14,2019-10-01 10:25:00+05:30,435.7,436.65,434.0,434.15,335753
15,2019-10-01 10:30:00+05:30,434.1,435.0,434.0,434.4,226915
16,2019-10-01 10:35:00+05:30,434.2,434.7,433.9,434.2,564296
17,2019-10-01 10:40:00+05:30,434.05,436.75,434.05,436.0,389683
18,2019-10-01 10:45:00+05:30,436.0,438.0,435.85,437.95,710257
19,2019-10-01 10:50:00+05:30,437.75,438.2,436.5,437.4,320390
20,2019-10-01 10:55:00+05:30,437.2,438.45,437.2,437.35,192843
21,2019-10-01 11:00:00+05:30,437.35,439.1,437.3,438.35,266275
22,2019-10-01 11:05:00+05:30,438.3,439.2,438.3,438.8,200594
23,2019-10-01 11:10:00+05:30,438.9,439.0,437.05,438.35,478187
24,2019-10-01 11:15:00+05:30,438.35,438.5,437.75,438.1,307921
25,2019-10-01 11:20:00+05:30,438.05,438.3,436.65,436.75,124875
26,2019-10-01 11:25:00+05:30,436.75,437.75,436.1,437.75,135197
27,2019-10-01 11:30:00+05:30,437.75,437.9,436.7,437.25,92023
28,2019-10-01 11:35:00+05:30,437.05,438.0,436.8,437.9,93998
29,2019-10-01 11:40:00+05:30,437.9,439.0,437.85,439.0,219293
30,2019-10-01 11:45:00+05:30,439.0,439.0,437.75,437.8,111962
31,2019-10-01 11:50:00+05:30,437.95,438.25,437.7,437.8,69779
32,2019-10-01 11:55:00+05:30,437.85,438.4,437.35,437.65,89434
33,2019-10-01 12:00:00+05:30,437.65,437.65,436.25,436.6,109916
34,2019-10-01 12:05:00+05:30,436.6,437.2,436.55,436.6,84848
35,2019-10-01 12:10:00+05:30,436.6,436.6,435.3,435.7,166343
36,2019-10-01 12:15:00+05:30,435.6,436.0,435.0,435.45,178691
37,2019-10-01 12:20:00+05:30,435.45,435.8,434.4,435.05,242739
38,2019-10-01 12:25:00+05:30,435.0,435.7,434.65,435.5,187450
39,2019-10-01 12:30:00+05:30,435.4,435.5,434.65,434.85,216519
40,2019-10-01 12:35:00+05:30,435.0,435.8,434.7,434.7,141174
41,2019-10-01 12:40:00+05:30,434.65,436.5,434.5,436.25,187177
42,2019-10-01 12:45:00+05:30,436.3,438.25,435.95,437.95,231005
43,2019-10-01 12:50:00+05:30,438.0,438.0,436.8,436.85,134111
44,2019-10-01 12:55:00+05:30,436.85,437.0,435.95,436.2,96069
45,2019-10-01 13:00:00+05:30,436.3,437.3,436.3,436.7,90208
46,2019-10-01 13:05:00+05:30,436.8,437.35,435.7,435.85,97820
47,2019-10-01 13:10:00+05:30,435.85,436.8,435.5,436.05,83218
48,2019-10-01 13:15:00+05:30,436.15,436.8,435.2,436.3,86299
49,2019-10-01 13:20:00+05:30,436.45,436.6,434.6,434.95,171350
50,2019-10-01 13:25:00+05:30,434.95,435.2,433.4,433.7,394075
51,2019-10-01 13:30:00+05:30,433.75,433.75,431.65,432.05,449846
52,2019-10-01 13:35:00+05:30,432.1,432.35,427.65,428.3,1297417
53,2019-10-01 13:40:00+05:30,428.1,430.9,425.9,429.6,922072
54,2019-10-01 13:45:00+05:30,429.7,430.2,426.05,426.15,542981
55,2019-10-01 13:50:00+05:30,425.0,427.8,424.85,426.35,719980
56,2019-10-01 13:55:00+05:30,426.3,426.8,425.55,426.3,211245
57,2019-10-01 14:00:00+05:30,426.0,426.3,417.05,423.6,1330835
58,2019-10-01 14:05:00+05:30,423.6,424.7,422.35,423.15,495758
59,2019-10-01 14:10:00+05:30,423.25,423.7,420.85,420.85,571958
60,2019-10-01 14:15:00+05:30,421.0,424.1,419.5,423.3,723933
61,2019-10-01 14:20:00+05:30,423.3,425.85,422.2,424.15,833933
62,2019-10-01 14:25:00+05:30,424.1,425.1,422.45,424.4,478863
63,2019-10-01 14:30:00+05:30,424.4,424.95,422.5,423.75,410854
64,2019-10-01 14:35:00+05:30,423.85,423.85,419.5,421.1,666805
65,2019-10-01 14:40:00+05:30,421.1,423.1,420.8,421.75,374897
66,2019-10-01 14:45:00+05:30,421.95,424.0,421.85,422.55,542963
67,2019-10-01 14:50:00+05:30,422.55,426.55,422.55,425.2,580658
68,2019-10-01 14:55:00+05:30,425.15,426.45,424.0,425.05,394845
69,2019-10-01 15:00:00+05:30,424.9,426.5,424.9,426.3,460304
70,2019-10-01 15:05:00+05:30,426.15,426.3,423.6,423.8,587684
71,2019-10-01 15:10:00+05:30,423.8,423.9,421.6,423.5,711444
72,2019-10-01 15:15:00+05:30,423.1,425.5,423.0,425.25,715907
73,2019-10-01 15:20:00+05:30,425.25,425.85,424.55,425.45,559315
74,2019-10-01 15:25:00+05:30,425.4,425.9,424.85,425.6,496339
75,2019-10-03 09:15:00+05:30,424.0,426.15,422.3,424.0,1173955
76,2019-10-03 09:20:00+05:30,423.9,426.0,423.6,424.9,967668
77,2019-10-03 09:25:00+05:30,424.7,427.65,424.5,425.9,673493
78,2019-10-03 09:30:00+05:30,426.0,427.5,425.8,425.8,470992
79,2019-10-03 09:35:00+05:30,425.85,427.5,424.65,427.0,709841
80,2019-10-03 09:40:00+05:30,427.0,428.3,426.9,427.45,637908
81,2019-10-03 09:45:00+05:30,427.45,433.15,427.3,430.55,955897
82,2019-10-03 09:50:00+05:30,430.6,432.65,430.0,430.85,457418
83,2019-10-03 09:55:00+05:30,430.85,431.3,429.5,430.35,422242
84,2019-10-03 10:00:00+05:30,430.4,430.5,428.6,428.85,643393
85,2019-10-03 10:05:00+05:30,428.85,429.75,428.15,429.3,181210
86,2019-10-03 10:10:00+05:30,429.3,430.7,429.0,429.7,197709
87,2019-10-03 10:15:00+05:30,429.7,429.7,427.8,428.6,186715
88,2019-10-03 10:20:00+05:30,428.7,428.95,427.7,428.15,153024
89,2019-10-03 10:25:00+05:30,428.25,430.3,427.75,429.9,196802
90,2019-10-03 10:30:00+05:30,429.9,431.4,429.6,430.05,297844
91,2019-10-03 10:35:00+05:30,430.05,430.4,428.7,428.75,458391
92,2019-10-03 10:40:00+05:30,428.9,429.7,428.8,429.25,447277
93,2019-10-03 10:45:00+05:30,429.2,430.25,429.2,429.95,179403
94,2019-10-03 10:50:00+05:30,429.9,430.2,428.4,430.05,150427
95,2019-10-03 10:55:00+05:30,430.05,430.6,429.55,430.15,117641
96,2019-10-03 11:00:00+05:30,430.15,430.35,429.05,429.1,100370
97,2019-10-03 11:05:00+05:30,429.05,429.45,428.65,429.2,127665
98,2019-10-03 11:10:00+05:30,429.15,432.85,429.0,431.9,390060
99,2019-10-03 11:15:00+05:30,431.9,431.95,430.5,431.25,201081
100,2019-10-03 11:20:00+05:30,431.15,432.4,431.05,432.0,180236
101,2019-10-03 11:25:00+05:30,432.05,433.0,431.45,431.45,249374
102,2019-10-03 11:30:00+05:30,431.45,431.5,430.55,430.55,148200
103,2019-10-03 11:35:00+05:30,430.55,430.9,429.4,430.1,230725
104,2019-10-03 11:40:00+05:30,430.25,430.9,429.9,430.5,112738
105,2019-10-03 11:45:00+05:30,430.5,431.0,429.7,430.25,116369
106,2019-10-03 11:50:00+05:30,430.25,430.9,429.7,430.55,90461
107,2019-10-03 11:55:00+05:30,430.6,432.0,430.35,431.45,141931
108,2019-10-03 12:00:00+05:30,431.4,432.8,431.15,432.35,224208
109,2019-10-03 12:05:00+05:30,432.35,432.95,431.7,431.7,166619
110,2019-10-03 12:10:00+05:30,431.65,432.7,431.2,432.25,174940
111,2019-10-03 12:15:00+05:30,432.25,433.0,431.5,431.7,294544
112,2019-10-03 12:20:00+05:30,431.7,432.8,430.8,432.4,184416
113,2019-10-03 12:25:00+05:30,432.35,433.75,432.35,433.0,566612
114,2019-10-03 12:30:00+05:30,432.75,433.0,431.6,432.25,142229
115,2019-10-03 12:35:00+05:30,432.05,432.35,431.1,431.15,135966
116,2019-10-03 12:40:00+05:30,431.15,431.45,429.65,430.1,268364
117,2019-10-03 12:45:00+05:30,430.0,431.1,429.8,430.25,194832
118,2019-10-03 12:50:00+05:30,430.05,430.4,429.4,430.0,302389
119,2019-10-03 12:55:00+05:30,430.0,430.75,429.65,430.1,236989
120,2019-10-03 13:00:00+05:30,430.1,430.85,429.55,430.5,135878
121,2019-10-03 13:05:00+05:30,430.5,432.3,430.45,432.1,166323
122,2019-10-03 13:10:00+05:30,432.1,432.2,430.05,430.4,125859
123,2019-10-03 13:15:00+05:30,430.3,430.8,429.85,430.05,113659
124,2019-10-03 13:20:00+05:30,429.95,430.9,428.0,428.1,355478
125,2019-10-03 13:25:00+05:30,428.35,429.15,427.6,428.7,347796
126,2019-10-03 13:30:00+05:30,428.8,429.55,427.85,427.9,291987
127,2019-10-03 13:35:00+05:30,427.8,428.25,427.0,427.9,259911
128,2019-10-03 13:40:00+05:30,427.85,430.0,427.55,429.6,253519
129,2019-10-03 13:45:00+05:30,429.65,430.55,429.5,429.9,233780
130,2019-10-03 13:50:00+05:30,429.85,430.25,429.2,429.75,119519
131,2019-10-03 13:55:00+05:30,429.6,431.7,429.0,431.25,252146
132,2019-10-03 14:00:00+05:30,431.2,431.2,429.8,430.25,126341
133,2019-10-03 14:05:00+05:30,430.15,430.6,429.15,429.6,120433
134,2019-10-03 14:10:00+05:30,429.5,431.0,429.4,430.45,132307
135,2019-10-03 14:15:00+05:30,430.4,430.7,429.6,429.65,167267
136,2019-10-03 14:20:00+05:30,429.6,430.0,429.15,429.75,93232
137,2019-10-03 14:25:00+05:30,429.7,430.2,429.3,429.6,119145
138,2019-10-03 14:30:00+05:30,429.5,430.3,429.3,429.35,152343
139,2019-10-03 14:35:00+05:30,429.35,429.65,428.5,429.0,249196
140,2019-10-03 14:40:00+05:30,428.9,429.0,427.2,427.3,817949
141,2019-10-03 14:45:00+05:30,427.3,428.45,426.25,427.45,648925
142,2019-10-03 14:50:00+05:30,427.4,429.15,427.1,428.6,283587
143,2019-10-03 14:55:00+05:30,428.3,428.6,427.2,427.2,327076
144,2019-10-03 15:00:00+05:30,427.1,427.75,426.5,427.6,385603
145,2019-10-03 15:05:00+05:30,427.5,428.15,427.5,428.0,414744
146,2019-10-03 15:10:00+05:30,428.0,428.6,427.1,427.45,478862
147,2019-10-03 15:15:00+05:30,427.45,428.0,426.95,427.0,567332
148,2019-10-03 15:20:00+05:30,426.9,426.95,426.05,426.95,463486
149,2019-10-03 15:25:00+05:30,426.95,427.75,426.65,427.5,311126
150,2019-10-04 09:15:00+05:30,428.5,428.8,425.65,428.25,1116181
151,2019-10-04 09:20:00+05:30,428.4,429.05,427.4,427.85,471185
152,2019-10-04 09:25:00+05:30,427.75,427.85,425.75,426.15,353731
153,2019-10-04 09:30:00+05:30,426.0,427.05,425.5,426.1,204838
154,2019-10-04 09:35:00+05:30,426.1,426.5,424.9,425.0,284258
155,2019-10-04 09:40:00+05:30,425.2,426.7,424.8,425.75,200051
156,2019-10-04 09:45:00+05:30,425.9,426.45,425.35,426.2,103023
157,2019-10-04 09:50:00+05:30,426.2,427.5,425.8,426.6,151424
158,2019-10-04 09:55:00+05:30,426.65,426.95,426.15,426.35,96825
159,2019-10-04 10:00:00+05:30,426.35,426.8,425.8,426.3,85864
160,2019-10-04 10:05:00+05:30,426.25,427.45,426.05,427.0,146859
161,2019-10-04 10:10:00+05:30,427.1,427.2,426.3,426.6,83741
162,2019-10-04 10:15:00+05:30,426.55,427.0,425.15,425.4,96565
163,2019-10-04 10:20:00+05:30,425.4,426.35,425.25,426.25,84818
164,2019-10-04 10:25:00+05:30,426.1,426.8,425.7,426.2,108163
165,2019-10-04 10:30:00+05:30,426.2,426.35,425.55,425.8,56803
166,2019-10-04 10:35:00+05:30,425.95,426.65,425.8,426.15,83734
167,2019-10-04 10:40:00+05:30,426.25,428.0,426.15,427.6,225349
168,2019-10-04 10:45:00+05:30,427.75,428.0,427.0,427.35,117818
169,2019-10-04 10:50:00+05:30,427.35,427.9,427.15,427.45,74557
170,2019-10-04 10:55:00+05:30,427.45,427.75,427.2,427.7,58069
171,2019-10-04 11:00:00+05:30,427.7,428.6,427.65,428.25,131899
172,2019-10-04 11:05:00+05:30,428.2,428.5,427.6,427.7,89731
173,2019-10-04 11:10:00+05:30,427.7,428.6,427.35,428.05,96083
174,2019-10-04 11:15:00+05:30,428.2,428.2,427.2,427.2,58598
175,2019-10-04 11:20:00+05:30,427.2,427.9,426.9,427.3,125760
176,2019-10-04 11:25:00+05:30,427.15,427.75,426.1,426.75,154423
177,2019-10-04 11:30:00+05:30,426.85,426.85,426.0,426.5,108005
