,date,open,high,low,close,volume
0,2019-10-01 09:15:00+05:30,42.0,43.5,42.0,42.8,13777533
1,2019-10-01 09:20:00+05:30,42.85,43.15,42.35,42.85,8320396
2,2019-10-01 09:25:00+05:30,42.8,43.5,42.8,43.4,11336303
3,2019-10-01 09:30:00+05:30,43.35,44.1,43.3,43.35,13442222
4,2019-10-01 09:35:00+05:30,43.4,43.9,43.3,43.3,5665227
5,2019-10-01 09:40:00+05:30,43.35,44.3,43.3,43.65,8482818
6,2019-10-01 09:45:00+05:30,43.65,43.65,41.65,42.65,15817649
7,2019-10-01 09:50:00+05:30,42.65,42.7,42.25,42.4,4822044
8,2019-10-01 09:55:00+05:30,42.35,42.55,41.85,41.9,5799346
9,2019-10-01 10:00:00+05:30,41.85,41.95,40.6,41.3,13312199
10,2019-10-01 10:05:00+05:30,41.35,41.85,41.05,41.1,6198767
11,2019-10-01 10:10:00+05:30,41.2,41.2,39.75,40.5,14170748
12,2019-10-01 10:15:00+05:30,40.45,41.2,40.3,41.0,6092755
13,2019-10-01 10:20:00+05:30,41.0,41.8,40.8,41.55,6470733
14,2019-10-01 10:25:00+05:30,41.55,42.15,41.35,41.5,6583193
15,2019-10-01 10:30:00+05:30,41.5,41.7,41.2,41.65,2996029
16,2019-10-01 10:35:00+05:30,41.7,42.0,41.55,41.9,3152405
17,2019-10-01 10:40:00+05:30,41.9,42.6,41.85,42.4,7457079
18,2019-10-01 10:45:00+05:30,42.4,42.9,42.35,42.8,5616014
19,2019-10-01 10:50:00+05:30,42.85,43.15,42.7,43.0,6126745
20,2019-10-01 10:55:00+05:30,43.0,43.0,42.45,42.5,3819250
21,2019-10-01 11:00:00+05:30,42.5,42.9,42.5,42.75,2614514
22,2019-10-01 11:05:00+05:30,42.75,42.75,42.25,42.5,2820676
23,2019-10-01 11:10:00+05:30,42.5,42.7,42.4,42.45,1733657
24,2019-10-01 11:15:00+05:30,42.45,42.5,41.65,41.8,6460867
25,2019-10-01 11:20:00+05:30,41.8,41.8,40.9,40.95,8698186
26,2019-10-01 11:25:00+05:30,41.0,41.7,40.9,41.65,4837500
27,2019-10-01 11:30:00+05:30,41.65,41.8,41.45,41.75,3521549
28,2019-10-01 11:35:00+05:30,41.75,41.75,40.7,40.9,6690759
29,2019-10-01 11:40:00+05:30,40.8,41.45,40.7,41.35,3959224
30,2019-10-01 11:45:00+05:30,41.3,41.4,40.45,40.45,6306479
31,2019-10-01 11:50:00+05:30,40.4,40.75,40.15,40.55,5516013
32,2019-10-01 11:55:00+05:30,40.55,40.8,40.4,40.45,3253094
33,2019-10-01 12:00:00+05:30,40.45,40.5,39.9,40.15,7231051
34,2019-10-01 12:05:00+05:30,40.15,40.25,39.85,40.0,5170209
35,2019-10-01 12:10:00+05:30,40.0,40.0,38.55,39.2,17221297
36,2019-10-01 12:15:00+05:30,39.1,39.15,38.0,38.25,13041293
37,2019-10-01 12:20:00+05:30,38.25,38.3,37.6,37.8,12234970
38,2019-10-01 12:25:00+05:30,37.75,37.85,37.3,37.8,12623350
39,2019-10-01 12:30:00+05:30,37.85,37.9,37.05,37.15,7732636
40,2019-10-01 12:35:00+05:30,37.1,37.65,36.7,37.35,12503031
41,2019-10-01 12:40:00+05:30,37.3,37.9,37.15,37.9,6283656
42,2019-10-01 12:45:00+05:30,37.95,38.65,37.8,37.95,10851081
43,2019-10-01 12:50:00+05:30,37.95,37.95,36.7,36.7,9892699
44,2019-10-01 12:55:00+05:30,36.7,36.8,36.0,36.2,15633685
45,2019-10-01 13:00:00+05:30,36.2,36.7,35.65,35.75,12335178
46,2019-10-01 13:05:00+05:30,35.8,35.9,34.1,34.1,26199934
47,2019-10-01 13:10:00+05:30,34.05,34.15,33.15,34.1,25217481
48,2019-10-01 13:15:00+05:30,34.1,35.1,33.95,34.85,15620153
49,2019-10-01 13:20:00+05:30,34.85,35.15,34.5,35.05,8294803
50,2019-10-01 13:25:00+05:30,35.0,36.3,34.75,35.6,13470583
51,2019-10-01 13:30:00+05:30,35.65,35.65,34.5,34.9,11006496
