,date,open,high,low,close,volume
0,2019-09-03 09:15:00+05:30,139.25,139.3,136.45,137.45,493694
1,2019-09-03 09:20:00+05:30,137.2,137.8,136.7,137.3,163951
2,2019-09-03 09:25:00+05:30,137.4,138.2,137.1,137.5,190727
3,2019-09-03 09:30:00+05:30,137.5,138.0,137.05,137.45,125912
4,2019-09-03 09:35:00+05:30,137.45,138.3,137.35,137.65,135997
5,2019-09-03 09:40:00+05:30,137.7,137.75,136.9,137.0,138704
6,2019-09-03 09:45:00+05:30,137.0,137.75,136.65,137.6,99577
7,2019-09-03 09:50:00+05:30,137.5,138.2,137.4,137.85,113545
8,2019-09-03 09:55:00+05:30,137.85,138.1,137.7,137.8,73457
9,2019-09-03 10:00:00+05:30,137.8,138.6,137.75,138.35,127634
10,2019-09-03 10:05:00+05:30,138.35,138.55,137.7,138.35,126695
11,2019-09-03 10:10:00+05:30,138.35,138.95,138.3,138.4,114587
12,2019-09-03 10:15:00+05:30,138.4,138.5,137.7,138.0,74402
13,2019-09-03 10:20:00+05:30,138.1,138.6,137.9,138.2,53687
14,2019-09-03 10:25:00+05:30,138.2,138.3,137.95,138.0,41187
15,2019-09-03 10:30:00+05:30,138.0,138.75,137.95,138.6,106552
16,2019-09-03 10:35:00+05:30,138.6,138.75,138.0,138.1,55626
17,2019-09-03 10:40:00+05:30,138.2,138.9,138.05,138.55,80283
18,2019-09-03 10:45:00+05:30,138.55,138.8,138.5,138.7,78722
19,2019-09-03 10:50:00+05:30,138.7,139.1,138.4,138.6,135279
20,2019-09-03 10:55:00+05:30,138.6,138.9,138.45,138.6,64123
21,2019-09-03 11:00:00+05:30,138.6,138.65,138.4,138.5,31589
22,2019-09-03 11:05:00+05:30,138.5,138.5,138.0,138.2,132444
23,2019-09-03 11:10:00+05:30,138.2,138.55,138.05,138.2,31069
24,2019-09-03 11:15:00+05:30,138.1,138.2,137.7,137.75,122994
25,2019-09-03 11:20:00+05:30,137.75,137.9,137.35,137.6,68180
26,2019-09-03 11:25:00+05:30,137.6,137.95,137.35,137.7,57677
27,2019-09-03 11:30:00+05:30,137.7,138.05,137.55,137.65,52450
28,2019-09-03 11:35:00+05:30,137.75,137.9,137.5,137.5,41077
29,2019-09-03 11:40:00+05:30,137.45,137.7,137.4,137.65,40873
30,2019-09-03 11:45:00+05:30,137.65,137.65,136.95,137.15,140575
31,2019-09-03 11:50:00+05:30,137.15,137.65,137.05,137.45,50798
32,2019-09-03 11:55:00+05:30,137.4,137.55,136.85,137.05,55680
33,2019-09-03 12:00:00+05:30,137.05,137.05,136.6,136.95,77949
34,2019-09-03 12:05:00+05:30,136.95,137.0,135.85,136.2,274368
35,2019-09-03 12:10:00+05:30,136.2,136.5,136.1,136.4,76724
36,2019-09-03 12:15:00+05:30,136.4,136.75,136.35,136.55,60766
37,2019-09-03 12:20:00+05:30,136.55,136.65,136.2,136.3,43822
38,2019-09-03 12:25:00+05:30,136.3,136.7,136.1,136.6,38441
39,2019-09-03 12:30:00+05:30,136.6,136.65,136.35,136.4,26945
40,2019-09-03 12:35:00+05:30,136.4,136.45,136.1,136.2,21693
41,2019-09-03 12:40:00+05:30,136.25,136.65,136.0,136.6,65565
42,2019-09-03 12:45:00+05:30,136.6,136.85,136.55,136.75,35962
43,2019-09-03 12:50:00+05:30,136.75,137.35,136.75,137.2,129017
44,2019-09-03 12:55:00+05:30,137.25,137.45,137.15,137.2,61968
45,2019-09-03 13:00:00+05:30,137.2,137.2,136.8,136.85,38209
46,2019-09-03 13:05:00+05:30,136.85,137.0,136.4,136.45,31430
47,2019-09-03 13:10:00+05:30,136.4,136.8,136.4,136.8,39841
48,2019-09-03 13:15:00+05:30,136.8,137.2,136.75,136.95,48421
49,2019-09-03 13:20:00+05:30,136.95,137.15,136.55,136.6,39036
50,2019-09-03 13:25:00+05:30,136.6,136.8,136.3,136.55,62407
51,2019-09-03 13:30:00+05:30,136.65,136.75,136.35,136.35,35414
52,2019-09-03 13:35:00+05:30,136.3,136.7,136.2,136.35,32104
53,2019-09-03 13:40:00+05:30,136.25,136.5,135.9,136.1,169424
54,2019-09-03 13:45:00+05:30,136.1,136.15,135.65,135.9,107526
55,2019-09-03 13:50:00+05:30,135.9,135.9,135.35,135.55,105673
56,2019-09-03 13:55:00+05:30,135.5,135.6,135.25,135.35,82613
57,2019-09-03 14:00:00+05:30,135.35,135.4,134.7,135.0,199674
58,2019-09-03 14:05:00+05:30,135.0,135.0,134.4,134.6,158484
59,2019-09-03 14:10:00+05:30,134.5,134.9,134.35,134.45,87641
60,2019-09-03 14:15:00+05:30,134.4,134.4,133.55,133.75,256465
61,2019-09-03 14:20:00+05:30,133.8,134.6,133.65,134.3,182936
62,2019-09-03 14:25:00+05:30,134.25,134.35,134.0,134.15,108213
63,2019-09-03 14:30:00+05:30,134.1,135.0,134.05,135.0,156839
64,2019-09-03 14:35:00+05:30,135.0,135.0,134.45,134.6,107310
