Company,Token,Lot_Size
BANKNIFTY,260105,20
NIFTY,256265,75
ACC,5633,400
ADANIENT,6401,4000
ADANIPORTS,3861249,2500
ADANIPOWER,4451329,10000
AMARAJABAT,25601,800
AMBUJACEM,325121,2500
APOLLOHOSP,40193,500
APOLLOTYRE,41729,3000
ASHOKLEY,54273,8000
ASIANPAINT,60417,600
AUROPHARMA,70401,1000
AXISBANK,1510401,1200
BAJAJ-AUTO,4267265,250
BAJAJFINSV,4268801,125
BAJFINANCE,81153,250
BALKRISIND,85761,800
BANDHANBNK,579329,1200
BANKBARODA,1195009,5400
BATAINDIA,94977,550
BEL,98049,6000
BERGEPAINT,103425,2200
BHARATFORG,108033,1300
BHARTIARTL,2714625,1851
BIOCON,2911489,2300
BOSCHLTD,558337,40
BPCL,134657,1800
BRITANNIA,140033,200
CADILAHC,2029825,2200
CANBK,2763265,2600
CENTURYTEX,160769,600
CESC,160769,800
CHOLAFIN,175361,2500
CIPLA,177665,1150
COALINDIA,5215745,2700
COLPAL,3876097,700
CONCOR,1215745,1563
CUMMINSIND,486657,900
DABUR,197633,1250
DIVISLAB,2800641,400
DLF,3771393,3300
DRREDDY,225537,250
EICHERMOT,232961,30
EQUITAS,4314113,4900
ESCORTS,245249,1100
EXIDEIND,173057,2900
GAIL,1207553,5334
GLENMARK,1895937,1400
GODREJCP,2585345,800
GODREJPROP,4576001,650
GRASIM,315393,750
HAVELLS,2513665,1000
HCLTECH,1850625,1400
HDFC,340481,250
HDFCBANK,341249,500
HDFCLIFE,119553,900
HEROMOTOCO,345089,200
HINDALCO,348929,3500
HINDPETRO,359937,2100
HINDUNILVR,356865,300
IBULHSGFIN,7712001,1200
ICICIBANK,1270529,1375
ICICIPRULI,4774913,1500
IGL,2883073,2750
INDIGO,2865921,300
INDUSINDBK,1346049,400
INFRATEL,2714625,2000
INFY,408065,1200
IOC,415745,4000
ITC,424961,2400
JINDALSTEL,1723649,5000
JSWSTEEL,3001089,2300
JUBLFOOD,4632577,500
JUSTDIAL,7670273,1400
KOTAKBANK,492033,400
L&TFH,6386689,5600
LICHSGFIN,511233,1300
LT,2939649,375
LUPIN,2672641,700
M&M,519937,1000
M&MFIN,3400961,1600
MANAPPURAM,4879617,6000
MARICO,1041153,1300
MARUTI,2815745,100
MCDOWELL-N,2674433,1250
MFSL,548353,1300
MGL,4488705,600
MINDTREE,3675137,800
MOTHERSUMI,1076225,5000
MUTHOOTFIN,6054401,1500
NAUKRI,3520257,200
NCC,593665,9000
NESTLEIND,4598529,50
NIITTECH,2955009,375
NMDC,3924993,6000
NTPC,2977281,4800
PAGEIND,3689729,25
PEL,617473,309
PETRONET,2905857,3000
PFC,3660545,6200
PIDILITIND,681985,500
PNB,2730497,8300
POWERGRID,3834113,4000
PVR,3365633,400
RAMCOCEM,4708097,800
RBLBANK,4708097,1500
RECLTD,3930881,6000
RELIANCE,738561,500
SBIN,779521,3000
SHREECEM,794369,50
SIEMENS,806401,550
SRF,837889,250
SRTRANSFIN,1102337,600
SUNPHARMA,857857,1250
SUNTV,3431425,1200
TATACHEM,871681,900
TATACONSUM,878593,2700
TATAMOTORS,884737,4300
TATASTEEL,895745,1500
TCS,2953217,250
TECHM,3465729,1200
TITAN,897537,750
TORNTPHARM,900609,500
TORNTPOWER,3529217,3000
TVSMOTOR,2170625,1350
UBL,4278529,700
UJJIVAN,4369665,1700
ULTRACEMCO,2952193,200
UPL,2889473,900
VEDL,784129,3500
VOLTAS,951809,1000
WIPRO,969473,3200
ZEEL,975873,1700
