,local_order_id,order_id,order_type,parent_order_id,price,status,transaction_type,trigger_price
0,1,191204000208918,LIMIT,NA,250.7,COMPLETE,SELL,0
1,,191204000208921,LIMIT,191204000208918,237.2,OPEN,BUY,0.0
2,,191204000208922,SL,191204000208918,282.95,TRIGGER PENDING,BUY,253.8
3,,191204000208923,LIMIT,191204000208918,237.2,OPEN,BUY,0.0
4,,191204000208924,SL,191204000208918,282.95,TRIGGER PENDING,BUY,253.8
0,2,191204000328882,LIMIT,NA,249.7,COMPLETE,BUY,0
1,,191204000331807,LIMIT,191204000328882,255.0,OPEN,SELL,0.0
2,,191204000331808,SL,191204000328882,231.55,TRIGGER PENDING,SELL,247.8
0,3,191204000592802,LIMIT,NA,250.7,COMPLETE,SELL,0
1,,191204000592806,LIMIT,191204000592802,237.25,OPEN,BUY,0.0
2,,191204000592807,SL,191204000592802,282.95,TRIGGER PENDING,BUY,253.85
0,4,191204001044628,LIMIT,NA,253.85,COMPLETE,BUY,0
1,,191204001051311,LIMIT,191204001044628,258.15,OPEN,SELL,0.0
2,,191204001051312,SL,191204001044628,231.55,TRIGGER PENDING,SELL,247.85
