,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,meta,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,391.9,0,0,NSE,1300000000531336,2019-12-04 09:20:07,2019-12-04 09:20:07,11,12499XpTOIk0Jruwbs,895745,0,{},191204000208912,2019-12-04 09:20:07,LIMIT,,0,UD8801,391.8,BO,11,COMPLETE,,,,TATASTEEL,SELL,0.0,DAY,bo
1,250.8,0,0,NSE,1200000000398500,2019-12-04 09:20:07,2019-12-04 09:20:07,20,12499XNFq2Pq0n97d5,3001089,0,{},191204000208918,2019-12-04 09:20:07,LIMIT,,0,UD8801,250.7,BO,20,COMPLETE,,,,JSWSTEEL,SELL,0.0,DAY,bo
2,0.0,11,11,NSE,1300000000531342,2019-12-04 09:20:17,2019-12-04 09:20:17,0,,895745,0,{},191204000208914,2019-12-04 09:20:17,LIMIT,191204000208912,11,UD8801,388.9,BO,11,CANCELLED,,,,TATASTEEL,BUY,0.0,DAY,bo
3,392.2,0,0,NSE,1300000000531343,2019-12-04 09:20:17,2019-12-04 09:20:17,11,,895745,0,{},191204000208915,2019-12-04 09:20:17,LIMIT,191204000208912,0,UD8801,439.6,BO,11,COMPLETE,,,,TATASTEEL,BUY,392.2,DAY,bo
4,391.7,0,0,NSE,1300000000557891,2019-12-04 09:20:31,2019-12-04 09:20:31,11,12499Xi4GTJbz07qsX,895745,0,{},191204000218534,2019-12-04 09:20:31,LIMIT,,0,UD8801,392.2,BO,11,COMPLETE,,,,TATASTEEL,BUY,0.0,DAY,bo
5,0.0,1,1,NSE,1200000000398504,2019-12-04 09:25:23,2019-12-04 09:25:23,0,,3001089,0,{},191204000208921,2019-12-04 09:25:23,LIMIT,191204000208918,1,UD8801,237.2,BO,1,CANCELLED,,,,JSWSTEEL,BUY,0.0,DAY,bo
6,249.7,0,0,NSE,1200000000398506,2019-12-04 09:25:23,2019-12-04 09:25:23,1,,3001089,0,{},191204000208922,2019-12-04 09:25:23,LIMIT,191204000208918,0,UD8801,282.95,BO,1,COMPLETE,,,,JSWSTEEL,BUY,249.7,DAY,bo
7,0.0,19,19,NSE,1200000000398502,2019-12-04 09:25:23,2019-12-04 09:25:23,0,,3001089,0,{},191204000208923,2019-12-04 09:25:23,LIMIT,191204000208918,19,UD8801,237.2,BO,19,CANCELLED,,,,JSWSTEEL,BUY,0.0,DAY,bo
8,249.7,0,0,NSE,1200000000398505,2019-12-04 09:25:23,2019-12-04 09:25:23,19,,3001089,0,{},191204000208924,2019-12-04 09:25:23,LIMIT,191204000208918,0,UD8801,282.95,BO,19,COMPLETE,,,,JSWSTEEL,BUY,249.7,DAY,bo
9,249.7,0,0,NSE,1200000000659902,2019-12-04 09:25:30,2019-12-04 09:25:38,20,12499XsV046GF2tQpP,3001089,0,{},191204000328882,2019-12-04 09:25:38,LIMIT,,0,UD8801,249.7,BO,20,COMPLETE,,,,JSWSTEEL,BUY,0.0,DAY,bo
10,0.0,20,20,NSE,1200000000666552,2019-12-04 09:40:31,2019-12-04 09:40:31,0,,3001089,0,{},191204000331807,2019-12-04 09:40:31,LIMIT,191204000328882,20,UD8801,255.0,BO,20,CANCELLED,,,,JSWSTEEL,SELL,0.0,DAY,bo
11,250.7,0,0,NSE,1200000000666556,2019-12-04 09:40:31,2019-12-04 09:40:31,20,,3001089,0,{},191204000331808,2019-12-04 09:40:31,LIMIT,191204000328882,0,UD8801,231.55,BO,20,COMPLETE,,,,JSWSTEEL,SELL,250.7,DAY,bo
12,250.85,0,0,NSE,1200000001132286,2019-12-04 09:40:40,2019-12-04 09:40:40,20,12499XnswSgqmIDhHV,3001089,0,{},191204000592802,2019-12-04 09:40:40,LIMIT,,0,UD8801,250.7,BO,20,COMPLETE,,,,JSWSTEEL,SELL,0.0,DAY,bo
13,0.0,0,0,NSE,1300000001681448,2019-12-04 09:45:07,2019-12-04 09:45:07,0,12499XwnX97KiMze3g,3050241,0,{},191204000675878,2019-12-04 09:45:07,LIMIT,,22,UD8801,58.6,BO,22,OPEN,,,,YESBANK,BUY,0.0,DAY,bo
14,0.0,20,20,NSE,1200000001132289,2019-12-04 10:07:24,2019-12-04 10:07:24,0,,3001089,0,{},191204000592806,2019-12-04 10:07:24,LIMIT,191204000592802,20,UD8801,237.25,BO,20,CANCELLED,,,,JSWSTEEL,BUY,0.0,DAY,bo
15,253.9,0,0,NSE,1200000001132292,2019-12-04 10:07:24,2019-12-04 10:07:24,20,,3001089,0,{},191204000592807,2019-12-04 10:07:24,LIMIT,191204000592802,0,UD8801,282.95,BO,20,COMPLETE,,,,JSWSTEEL,BUY,253.85,DAY,bo
16,396.8,0,0,NSE,1300000000557903,2019-12-04 09:20:31,2019-12-04 10:07:33,11,,895745,0,{},191204000218535,2019-12-04 10:07:33,LIMIT,191204000218534,0,UD8801,396.8,BO,11,COMPLETE,,,,TATASTEEL,SELL,0.0,DAY,bo
17,0.0,11,11,NSE,1300000000557901,2019-12-04 10:07:33,2019-12-04 10:07:33,0,,895745,0,{},191204000218536,2019-12-04 10:07:33,SL,191204000218534,11,UD8801,359.7,BO,11,CANCELLED,,,,TATASTEEL,SELL,393.7,DAY,bo
18,0.0,0,0,NSE,1300000002497271,2019-12-04 10:07:40,2019-12-04 10:07:40,0,12499XP1tugfY9z3rg,895745,0,{},191204001047141,2019-12-04 10:07:41,SL,,11,UD8801,389.0,BO,11,TRIGGER PENDING,,,,TATASTEEL,SELL,389.0,DAY,bo
19,253.85,0,0,NSE,1200000001946436,2019-12-04 10:07:30,2019-12-04 10:08:00,20,12499XH6JujS9rk627,3001089,0,{},191204001044628,2019-12-04 10:08:00,LIMIT,,0,UD8801,253.85,BO,20,COMPLETE,,,,JSWSTEEL,BUY,0.0,DAY,bo
20,0.0,0,20,NSE,1200000001968091,2019-12-04 10:08:00,2019-12-04 10:08:00,0,,3001089,0,{},191204001051311,2019-12-04 10:08:00,LIMIT,191204001044628,20,UD8801,258.15,BO,20,OPEN,,,,JSWSTEEL,SELL,0.0,DAY,bo
21,0.0,0,20,NSE,1200000001968090,2019-12-04 10:08:00,2019-12-04 10:08:00,0,,3001089,0,{},191204001051312,2019-12-04 10:08:00,SL,191204001044628,20,UD8801,231.55,BO,20,TRIGGER PENDING,,,,JSWSTEEL,SELL,247.85,DAY,bo
