,average_price,cancelled_quantity,disclosed_quantity,exchange,exchange_order_id,exchange_timestamp,exchange_update_timestamp,filled_quantity,guid,instrument_token,market_protection,order_id,order_timestamp,order_type,parent_order_id,pending_quantity,placed_by,price,product,quantity,status,status_message,status_message_raw,tag,tradingsymbol,transaction_type,trigger_price,validity,variety
0,0.0,0,0,NSE,1300000003868914,2019-11-21 10:50:05,2019-11-21 10:50:05,0,12499XV1Gb5PpR93N2,3050241,0,191121001386890,2019-11-21 10:50:05,LIMIT,,22,UD8801,65.65,BO,22,OPEN,,,,YESBANK,SELL,0.0,DAY,bo
1,1404.5,0,0,NSE,1200000002441062,2019-11-21 10:50:05,2019-11-21 10:50:05,4,12499X6ZW2PHtakdVP,2939649,0,191121001386892,2019-11-21 10:50:05,LIMIT,,0,UD8801,1404.5,BO,4,COMPLETE,,,,LT,BUY,0.0,DAY,bo
2,0.0,0,4,NSE,1200000002441063,2019-11-21 10:50:05,2019-11-21 10:50:05,0,,2939649,0,191121001386894,2019-11-21 10:50:05,LIMIT,191121001386892,4,UD8801,1432.9,BO,4,OPEN,,,,LT,SELL,0.0,DAY,bo
3,0.0,0,4,NSE,1200000002441064,2019-11-21 10:50:05,2019-11-21 10:50:05,0,,2939649,0,191121001386895,2019-11-21 10:50:05,SL,191121001386892,4,UD8801,1242.75,BO,4,TRIGGER PENDING,,,,LT,SELL,1365.3,DAY,bo
4,325.9,0,0,NSE,1300000003868923,2019-11-21 10:50:05,2019-11-21 10:50:06,13,12499XuvozOD8LMoaq,975873,0,191121001386897,2019-11-21 10:50:06,LIMIT,,0,UD8801,325.9,BO,13,COMPLETE,,,,ZEEL,BUY,0.0,DAY,bo
5,0.0,13,13,NSE,1300000003869127,2019-11-21 11:53:14,2019-11-21 11:53:14,0,,975873,0,191121001386985,2019-11-21 11:53:14,LIMIT,191121001386897,13,UD8801,348.9,BO,13,CANCELLED,,,,ZEEL,SELL,0.0,DAY,bo
6,327.5,0,0,NSE,1300000003869126,2019-11-21 11:53:14,2019-11-21 11:53:14,13,,975873,0,191121001386986,2019-11-21 11:53:14,LIMIT,191121001386897,0,UD8801,276.3,BO,13,COMPLETE,,,,ZEEL,SELL,327.5,DAY,bo
7,327.65,0,0,NSE,1300000005023504,2019-11-21 11:53:20,2019-11-21 11:53:20,13,12499XPujDuSwzvndg,975873,0,191121001809860,2019-11-21 11:53:20,LIMIT,,0,UD8801,282.7,BO,13,COMPLETE,,,,ZEEL,SELL,0.0,DAY,bo
8,0.0,0,13,NSE,1300000005023508,2019-11-21 11:53:20,2019-11-21 11:53:20,0,,975873,0,191121001809862,2019-11-21 11:53:20,LIMIT,191121001809860,13,UD8801,323.35,BO,13,OPEN,,,,ZEEL,BUY,0.0,DAY,bo
9,0.0,0,13,NSE,1300000005023509,2019-11-21 11:53:20,2019-11-21 11:53:20,0,,975873,0,191121001809863,2019-11-21 11:53:20,SL,191121001809860,13,UD8801,368.4,BO,13,TRIGGER PENDING,,,,ZEEL,BUY,368.4,DAY,bo
